class	lig_vol
Sterol	336.31
Sterol	338.75
Sterol	305.24
Sterol	297.4
Sterol	314.48
Sterol	339.1
Sterol	288.85
Sterol	311.44
Sterol	243.15
Sterol	336.82
Sterol	312.42
Sterol	270.63
Sterol	363.92
Sterol	371.27
Sterol	204.38
Sterol	425.54
Sterol	320.59
Sterol	452.9
Sterol	282.24
Sterol	318.5
Sterol	378.47
Sterol	425.28
Sterol	262.41
Sterol	234.1
Sterol	412.01
Sterol	349.81
Sterol	217.58
Sterol	356.45
Sterol	400.01
Sterol	300.76
Sterol	382.9
Sterol	566.72
Sterol	328.27
Sterol	588.32
Sterol	456
Sterol	406.03
Sterol	333.93
Sterol	273.16
Sterol	283.13
Sterol	450.57
Sterol	359.96
Sterol	437.95
Sterol	324.46
Sterol	354.06
Sterol	357.1
Sterol	296.21
Sterol	285.3
Sterol	279.79
Sterol	326.91
Sterol	346.26
Sterol	300.77
Sterol	357.89
Sterol	317.05
Sterol	465.93
Sterol	359.69
Sterol	287.41
Sterol	372.01
Sterol	368.24
Sterol	353.84
Sterol	396.55
Sterol	367.49
Sterol	306.11
Sterol	211.3
Sterol	264.88
Sterol	302.72
Sterol	306.86
Sterol	234.48
Sterol	396.84
Sterol	346.74
Sterol	700.65
Sterol	283.99
Sterol	356.24
Sterol	287.6
Sterol	349.29
Sterol	329.58
Sterol	340.99
Sterol	318.39
Sterol	320.9
Sterol	316.23
Sterol	396.18
Sterol	276.59
Sterol	317.13
Sterol	371.88
Sterol	346.52
Sterol	326.9
Sterol	364.82
Sterol	304.22
Sterol	412.49
Sterol	294.81
Sterol	337.41
Sterol	261.09
Sterol	328.63
Sterol	499.15
Sterol	369.72
Sterol	338.44
Sterol	309.63
Sterol	387.96
Sterol	314.33
Sterol	287.29
Sterol	317.27
Sterol	357.33
Sterol	281.71
Sterol	292.84
Sterol	390.62
Sterol	324.97
Sterol	357.56
Sterol	317.69
Sterol	386.83
Sterol	237.36
Sterol	300.78
Sterol	381.44
Sterol	327.36
Sterol	338.27
Sterol	312.19
Sterol	328.31
Sterol	457.94
Sterol	276.39
Sterol	376.14
Sterol	301.62
Sterol	369.26
Sterol	262.01
Sterol	337.5
Sterol	330.05
Sterol	413.47
Sterol	347.18
Sterol	420.46
Sterol	342.16
Sterol	223.94
Sterol	339.63
Sterol	330.64
Sterol	365.33
