class	GO_CC	lig_vol
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	443.89
Prenol	photosystem I reaction center [GO:0009538]	443.89
Prenol	plasma membrane-derived photosystem I [GO:0030094]	443.89
Prenol	plasma membrane light-harvesting complex [GO:0030077]	817.89
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	817.89
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	394.69
Prenol	photosystem I [GO:0009522]	394.69
Prenol	plasma membrane light-harvesting complex [GO:0030077]	512.37
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	512.37
Prenol	membrane [GO:0016020]	448.34
Prenol	chloroplast [GO:0009507]	448.34
Prenol	light-harvesting complex [GO:0030076]	448.34
Prenol	thylakoid [GO:0009579]	448.34
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	654.64
Prenol	photosystem I [GO:0009522]	654.64
Prenol	lipid droplet [GO:0005811]	263.5
Prenol	nucleoplasm [GO:0005654]	263.5
Prenol	nucleus [GO:0005634]	263.5
Prenol	cytosol [GO:0005829]	263.5
Prenol	protein farnesyltransferase complex [GO:0005965]	224.2
Prenol	microtubule associated complex [GO:0005875]	224.2
Prenol	cytosol [GO:0005829]	452.97
Prenol	extracellular exosome [GO:0070062]	452.97
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	507.43
Prenol	photosystem I [GO:0009522]	507.43
Prenol	photosystem II [GO:0009523]	439.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	439.57
Prenol	photosystem II [GO:0009523]	439.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	439.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	617.48
Prenol	photosystem I [GO:0009522]	617.48
Prenol	photosystem II [GO:0009523]	395.94
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	395.94
Prenol	photosystem II [GO:0009523]	395.94
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	395.94
Prenol	chloroplast thylakoid membrane [GO:0009535]	581.84
Prenol	plastoglobule [GO:0010287]	581.84
Prenol	chloroplast thylakoid [GO:0009534]	581.84
