class	GO_CC	lig_vol
Polyketide	filopodium [GO:0030175]	494.48
Polyketide	protein-containing complex [GO:0032991]	237.38
Polyketide	cytosol [GO:0005829]	237.38
Polyketide	nucleoplasm [GO:0005654]	237.38
Polyketide	membrane [GO:0016020]	237.38
Polyketide	plasma membrane [GO:0005886]	237.38
Polyketide	euchromatin [GO:0000791]	237.38
Polyketide	chromatin [GO:0000785]	237.38
Polyketide	transcription regulator complex [GO:0005667]	237.38
Polyketide	nucleus [GO:0005634]	237.38
Polyketide	cytoplasm [GO:0005737]	237.38
Polyketide	Golgi apparatus [GO:0005794]	237.38
Polyketide	nucleoplasm [GO:0005654]	384.53
Polyketide	nucleus [GO:0005634]	384.53
Polyketide	chromatin [GO:0000785]	384.53
Polyketide	microtubule [GO:0005874]	508.87
Polyketide	cytoplasm [GO:0005737]	508.87
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	181.37
Polyketide	endoplasmic reticulum membrane [GO:0005789]	181.37
Polyketide	cell body [GO:0044297]	777.67
Polyketide	actin filament [GO:0005884]	777.67
Polyketide	skeletal muscle myofibril [GO:0098723]	777.67
Polyketide	stress fiber [GO:0001725]	777.67
Polyketide	filamentous actin [GO:0031941]	777.67
Polyketide	actin filament bundle [GO:0032432]	777.67
Polyketide	lamellipodium [GO:0030027]	777.67
Polyketide	striated muscle thin filament [GO:0005865]	777.67
Polyketide	cytoplasm [GO:0005737]	777.67
Polyketide	filopodium [GO:0030175]	777.67
Polyketide	cytosol [GO:0005829]	266.34
Polyketide	extracellular exosome [GO:0070062]	266.34
Polyketide	membrane [GO:0016020]	184.11
Polyketide	vesicle [GO:0031982]	328.94
Polyketide	cytoplasm [GO:0005737]	328.94
Polyketide	secretory granule lumen [GO:0034774]	328.94
Polyketide	cytosol [GO:0005829]	328.94
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	328.94
Polyketide	extracellular exosome [GO:0070062]	328.94
Polyketide	nucleoplasm [GO:0005654]	328.94
Polyketide	plasma membrane [GO:0005886]	328.94
Polyketide	extracellular region [GO:0005576]	328.94
Polyketide	extracellular space [GO:0005615]	328.94
Polyketide	cell surface [GO:0009986]	328.94
Polyketide	protein-containing complex [GO:0032991]	241.17
Polyketide	cytosol [GO:0005829]	241.17
Polyketide	nucleoplasm [GO:0005654]	241.17
Polyketide	membrane [GO:0016020]	241.17
