class	GO_CC	lig_vol
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	388.29
Fatty Acyl	recycling endosome [GO:0055037]	379.02
Fatty Acyl	cytosol [GO:0005829]	379.02
Fatty Acyl	clathrin-coated vesicle [GO:0030136]	379.02
Fatty Acyl	nucleus [GO:0005634]	379.02
Fatty Acyl	cytoplasm [GO:0005737]	379.02
Fatty Acyl	nucleolus [GO:0005730]	379.02
Fatty Acyl	plasma membrane [GO:0005886]	233.25
Fatty Acyl	membrane [GO:0016020]	80.69
Fatty Acyl	respiratory chain complex IV [GO:0045277]	397.96
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	397.96
Fatty Acyl	cytoplasm [GO:0005737]	114.32
Fatty Acyl	cytosol [GO:0005829]	201.77
Fatty Acyl	fascia adherens [GO:0005916]	201.77
Fatty Acyl	contractile fiber [GO:0043292]	201.77
Fatty Acyl	Golgi membrane [GO:0000139]	201.77
Fatty Acyl	intercalated disc [GO:0014704]	201.77
Fatty Acyl	connexin complex [GO:0005922]	201.77
Fatty Acyl	focal adhesion [GO:0005925]	201.77
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	201.77
Fatty Acyl	apical plasma membrane [GO:0016324]	201.77
Fatty Acyl	plasma membrane [GO:0005886]	201.77
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	201.77
Fatty Acyl	membrane raft [GO:0045121]	201.77
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	201.77
Fatty Acyl	lateral plasma membrane [GO:0016328]	201.77
Fatty Acyl	tight junction [GO:0070160]	201.77
Fatty Acyl	cytoplasm [GO:0005737]	201.77
Fatty Acyl	Golgi apparatus [GO:0005794]	201.77
Fatty Acyl	mitochondrion [GO:0005739]	201.77
Fatty Acyl	cell junction [GO:0030054]	201.77
Fatty Acyl	gap junction [GO:0005921]	201.77
Fatty Acyl	intermediate filament [GO:0005882]	201.77
Fatty Acyl	cell-cell contact zone [GO:0044291]	201.77
Fatty Acyl	nucleoplasm [GO:0005654]	201.77
Fatty Acyl	nucleus [GO:0005634]	201.77
Fatty Acyl	membrane [GO:0016020]	205.01
Fatty Acyl	cytoplasm [GO:0005737]	571.23
Fatty Acyl	extracellular exosome [GO:0070062]	245.01
Fatty Acyl	cytoplasm [GO:0005737]	245.01
Fatty Acyl	protein-containing complex [GO:0032991]	245.01
Fatty Acyl	blood microparticle [GO:0072562]	245.01
Fatty Acyl	Golgi apparatus [GO:0005794]	245.01
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	245.01
Fatty Acyl	extracellular region [GO:0005576]	245.01
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	245.01
Fatty Acyl	extracellular space [GO:0005615]	245.01
Fatty Acyl	nucleus [GO:0005634]	245.01
Fatty Acyl	endoplasmic reticulum [GO:0005783]	245.01
Fatty Acyl	host cell cytoplasm [GO:0030430]	188.06
Fatty Acyl	cytosol [GO:0005829]	47.88
Fatty Acyl	chloride channel complex [GO:0034707]	85.67
Fatty Acyl	postsynaptic membrane [GO:0045211]	85.67
Fatty Acyl	plasma membrane [GO:0005886]	85.67
Fatty Acyl	presynaptic membrane [GO:0042734]	85.67
Fatty Acyl	GABA-A receptor complex [GO:1902711]	85.67
Fatty Acyl	GABA-ergic synapse [GO:0098982]	85.67
Fatty Acyl	glutamatergic synapse [GO:0098978]	85.67
Fatty Acyl	neuron projection [GO:0043005]	85.67
Fatty Acyl	synapse [GO:0045202]	85.67
Fatty Acyl	transmembrane transporter complex [GO:1902495]	85.67
Fatty Acyl	membrane [GO:0016020]	254.65
Fatty Acyl	plasma membrane [GO:0005886]	358.95
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	358.95
Fatty Acyl	plasma membrane [GO:0005886]	100.88
Fatty Acyl	ciliary plasm [GO:0097014]	73.62
Fatty Acyl	cytosol [GO:0005829]	73.62
Fatty Acyl	cytoplasm [GO:0005737]	73.62
Fatty Acyl	glycosome [GO:0020015]	73.62
Fatty Acyl	cytoophidium [GO:0097268]	73.15
Fatty Acyl	cytosol [GO:0005829]	73.15
Fatty Acyl	protein-containing complex [GO:0032991]	73.15
Fatty Acyl	membrane [GO:0016020]	260.33
Fatty Acyl	host cell plasma membrane [GO:0020002]	260.33
Fatty Acyl	host cell cytoplasm [GO:0030430]	260.33
Fatty Acyl	virion membrane [GO:0055036]	260.33
Fatty Acyl	T=4 icosahedral viral capsid [GO:0039619]	260.33
Fatty Acyl	host cell nucleus [GO:0042025]	260.33
Fatty Acyl	chloride channel complex [GO:0034707]	82.52
Fatty Acyl	postsynaptic membrane [GO:0045211]	82.52
Fatty Acyl	plasma membrane [GO:0005886]	82.52
Fatty Acyl	presynaptic membrane [GO:0042734]	82.52
Fatty Acyl	GABA-A receptor complex [GO:1902711]	82.52
Fatty Acyl	GABA-ergic synapse [GO:0098982]	82.52
Fatty Acyl	glutamatergic synapse [GO:0098978]	82.52
Fatty Acyl	neuron projection [GO:0043005]	82.52
Fatty Acyl	synapse [GO:0045202]	82.52
Fatty Acyl	transmembrane transporter complex [GO:1902495]	82.52
Fatty Acyl	mitochondrion [GO:0005739]	48.05
Fatty Acyl	cytoplasm [GO:0005737]	48.05
Fatty Acyl	apical plasma membrane [GO:0016324]	145.62
Fatty Acyl	astrocyte projection [GO:0097449]	145.62
Fatty Acyl	cell surface [GO:0009986]	145.62
Fatty Acyl	plasma membrane [GO:0005886]	145.62
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	145.62
Fatty Acyl	calyx of Held [GO:0044305]	145.62
Fatty Acyl	neuronal cell body [GO:0043025]	145.62
Fatty Acyl	axon [GO:0030424]	145.62
Fatty Acyl	axon terminus [GO:0043679]	145.62
Fatty Acyl	endoplasmic reticulum [GO:0005783]	145.62
Fatty Acyl	plasma membrane [GO:0005886]	1098.84
Fatty Acyl	connexin complex [GO:0005922]	1098.84
Fatty Acyl	synapse [GO:0045202]	1098.84
Fatty Acyl	periplasmic space [GO:0042597]	43.31
Fatty Acyl	cytosol [GO:0005829]	319.32
Fatty Acyl	cytoplasm [GO:0005737]	319.32
Fatty Acyl	chloride channel complex [GO:0034707]	83.86
Fatty Acyl	postsynaptic membrane [GO:0045211]	83.86
Fatty Acyl	plasma membrane [GO:0005886]	83.86
Fatty Acyl	GABA-A receptor complex [GO:1902711]	83.86
Fatty Acyl	neuron projection [GO:0043005]	83.86
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	83.86
Fatty Acyl	synapse [GO:0045202]	83.86
Fatty Acyl	extracellular exosome [GO:0070062]	68.82
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	68.82
Fatty Acyl	endolysosome lumen [GO:0036021]	68.82
Fatty Acyl	Golgi apparatus [GO:0005794]	68.82
Fatty Acyl	extracellular space [GO:0005615]	68.82
Fatty Acyl	chromaffin granule [GO:0042583]	68.82
Fatty Acyl	apical plasma membrane [GO:0016324]	68.82
Fatty Acyl	lysosomal lumen [GO:0043202]	68.82
Fatty Acyl	plasma membrane [GO:0005886]	68.82
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	68.82
Fatty Acyl	multivesicular body [GO:0005771]	68.82
Fatty Acyl	lysosome [GO:0005764]	68.82
Fatty Acyl	extracellular region [GO:0005576]	68.82
Fatty Acyl	endocytic vesicle lumen [GO:0071682]	68.82
Fatty Acyl	nucleus [GO:0005634]	68.82
Fatty Acyl	plasma membrane [GO:0005886]	76.28
Fatty Acyl	chloride channel complex [GO:0034707]	86.09
Fatty Acyl	GABA receptor complex [GO:1902710]	86.09
Fatty Acyl	plasma membrane [GO:0005886]	86.09
Fatty Acyl	postsynaptic specialization membrane [GO:0099634]	86.09
Fatty Acyl	GABA-A receptor complex [GO:1902711]	86.09
Fatty Acyl	GABA-ergic synapse [GO:0098982]	86.09
Fatty Acyl	glutamatergic synapse [GO:0098978]	86.09
Fatty Acyl	neuron projection [GO:0043005]	86.09
Fatty Acyl	presynaptic active zone membrane [GO:0048787]	86.09
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	86.09
Fatty Acyl	synapse [GO:0045202]	86.09
Fatty Acyl	pore complex [GO:0046930]	146.08
Fatty Acyl	cell outer membrane [GO:0009279]	146.08
Fatty Acyl	plasma membrane [GO:0005886]	84.68
Fatty Acyl	membrane [GO:0016020]	84.68
Fatty Acyl	cell-cell junction [GO:0005911]	269.49
Fatty Acyl	cytosol [GO:0005829]	269.49
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	269.49
Fatty Acyl	ciliary basal body [GO:0036064]	269.49
Fatty Acyl	basal plasma membrane [GO:0009925]	269.49
Fatty Acyl	plasma membrane [GO:0005886]	269.49
Fatty Acyl	motile cilium [GO:0031514]	269.49
Fatty Acyl	non-motile cilium [GO:0097730]	269.49
Fatty Acyl	ciliary membrane [GO:0060170]	269.49
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	269.49
Fatty Acyl	migrasome [GO:0140494]	269.49
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	269.49
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	269.49
Fatty Acyl	lamellipodium [GO:0030027]	269.49
Fatty Acyl	membrane [GO:0016020]	269.49
Fatty Acyl	extracellular exosome [GO:0070062]	269.49
Fatty Acyl	basolateral plasma membrane [GO:0016323]	269.49
Fatty Acyl	cytoplasm [GO:0005737]	269.49
Fatty Acyl	Golgi apparatus [GO:0005794]	269.49
Fatty Acyl	polycystin complex [GO:0002133]	269.49
Fatty Acyl	cilium [GO:0005929]	269.49
Fatty Acyl	basal cortex [GO:0045180]	269.49
Fatty Acyl	mitotic spindle [GO:0072686]	269.49
Fatty Acyl	cation channel complex [GO:0034703]	269.49
Fatty Acyl	endoplasmic reticulum [GO:0005783]	269.49
Fatty Acyl	periplasmic space [GO:0042597]	270.74
Fatty Acyl	membrane [GO:0016020]	209.09
Fatty Acyl	extracellular exosome [GO:0070062]	48.63
Fatty Acyl	cytosol [GO:0005829]	48.63
Fatty Acyl	extracellular space [GO:0005615]	48.63
Fatty Acyl	nucleus [GO:0005634]	48.63
Fatty Acyl	plasma membrane [GO:0005886]	127.1
Fatty Acyl	respirasome [GO:0070469]	127.1
Fatty Acyl	plasma membrane [GO:0005886]	403.25
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	403.25
Fatty Acyl	chloride channel complex [GO:0034707]	113.97
Fatty Acyl	postsynaptic membrane [GO:0045211]	113.97
Fatty Acyl	plasma membrane [GO:0005886]	113.97
Fatty Acyl	presynaptic membrane [GO:0042734]	113.97
Fatty Acyl	GABA-A receptor complex [GO:1902711]	113.97
Fatty Acyl	GABA-ergic synapse [GO:0098982]	113.97
