class	GO_CC	lig_vol
Glycerophospholipid	mitochondrion [GO:0005739]	527.16
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	527.16
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	527.16
Glycerophospholipid	photosystem II [GO:0009523]	488.76
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	488.76
Glycerophospholipid	photosystem I [GO:0009522]	488.76
Glycerophospholipid	photosystem II [GO:0009523]	488.76
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	488.76
Glycerophospholipid	photosystem I [GO:0009522]	488.76
Glycerophospholipid	plasma membrane [GO:0005886]	458.03
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	581.29
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	581.29
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	581.29
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	581.29
Glycerophospholipid	membrane [GO:0016020]	753.19
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	753.19
Glycerophospholipid	respiratory chain complex I [GO:0045271]	753.19
Glycerophospholipid	plasma membrane [GO:0005886]	753.19
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	753.19
Glycerophospholipid	membrane [GO:0016020]	626.27
Glycerophospholipid	apical plasma membrane [GO:0016324]	626.27
Glycerophospholipid	extracellular exosome [GO:0070062]	626.27
Glycerophospholipid	cytosol [GO:0005829]	626.27
Glycerophospholipid	plasma membrane [GO:0005886]	626.27
Glycerophospholipid	photosystem II [GO:0009523]	440.36
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	440.36
Glycerophospholipid	photosystem I [GO:0009522]	440.36
Glycerophospholipid	periplasmic space [GO:0042597]	102.88
Glycerophospholipid	photosystem II [GO:0009523]	623.9
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	623.9
Glycerophospholipid	photosystem II [GO:0009523]	623.9
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	623.9
Glycerophospholipid	cell body fiber [GO:0070852]	378.13
Glycerophospholipid	nuclear envelope [GO:0005635]	378.13
Glycerophospholipid	endosome [GO:0005768]	378.13
Glycerophospholipid	axolemma [GO:0030673]	378.13
Glycerophospholipid	glutamatergic synapse [GO:0098978]	378.13
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	378.13
Glycerophospholipid	plasma membrane [GO:0005886]	378.13
Glycerophospholipid	T-tubule [GO:0030315]	378.13
Glycerophospholipid	acrosomal vesicle [GO:0001669]	378.13
Glycerophospholipid	presynaptic membrane [GO:0042734]	378.13
Glycerophospholipid	sarcolemma [GO:0042383]	378.13
Glycerophospholipid	intercalated disc [GO:0014704]	378.13
Glycerophospholipid	neuronal cell body [GO:0043025]	378.13
Glycerophospholipid	photosystem II reaction center [GO:0009539]	477.25
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	477.25
Glycerophospholipid	photosystem II reaction center [GO:0009539]	477.25
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	477.25
Glycerophospholipid	photosystem II reaction center [GO:0009539]	579.46
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	579.46
