class	GO_CC	lig_vol
Glycerolipid	periplasmic space [GO:0042597]	155.77
Glycerolipid	plasma membrane [GO:0005886]	310.74
Glycerolipid	respirasome [GO:0070469]	310.74
Glycerolipid	plasma membrane [GO:0005886]	389.59
Glycerolipid	respirasome [GO:0070469]	389.59
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	659.11
Glycerolipid	respiratory chain complex IV [GO:0045277]	659.11
Glycerolipid	plasma membrane [GO:0005886]	287.68
Glycerolipid	respirasome [GO:0070469]	287.68
Glycerolipid	plasma membrane [GO:0005886]	234.72
Glycerolipid	respirasome [GO:0070469]	234.72
Glycerolipid	plasma membrane [GO:0005886]	176.83
Glycerolipid	respirasome [GO:0070469]	176.83
Glycerolipid	plasma membrane [GO:0005886]	85.03
Glycerolipid	respirasome [GO:0070469]	85.03
Glycerolipid	plasma membrane [GO:0005886]	165.59
Glycerolipid	respirasome [GO:0070469]	165.59
Glycerolipid	plasma membrane [GO:0005886]	245.52
Glycerolipid	respirasome [GO:0070469]	245.52
Glycerolipid	plasma membrane [GO:0005886]	287.68
Glycerolipid	respirasome [GO:0070469]	287.68
Glycerolipid	plasma membrane [GO:0005886]	326.38
Glycerolipid	respirasome [GO:0070469]	326.38
Glycerolipid	plasma membrane [GO:0005886]	260.76
Glycerolipid	respirasome [GO:0070469]	260.76
Glycerolipid	plasma membrane [GO:0005886]	351.4
Glycerolipid	respirasome [GO:0070469]	351.4
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	888.11
Glycerolipid	respiratory chain complex IV [GO:0045277]	888.11
Glycerolipid	plasma membrane [GO:0005886]	351.62
Glycerolipid	respirasome [GO:0070469]	351.62
Glycerolipid	plasma membrane [GO:0005886]	303.7
Glycerolipid	respirasome [GO:0070469]	303.7
Glycerolipid	postsynaptic density membrane [GO:0098839]	137.51
Glycerolipid	neuronal dense core vesicle [GO:0098992]	137.51
Glycerolipid	plasma membrane [GO:0005886]	137.51
Glycerolipid	presynaptic membrane [GO:0042734]	137.51
Glycerolipid	neuron projection [GO:0043005]	137.51
Glycerolipid	dendrite membrane [GO:0032590]	137.51
Glycerolipid	synaptic vesicle membrane [GO:0030672]	137.51
Glycerolipid	axon terminus [GO:0043679]	137.51
Glycerolipid	spine apparatus [GO:0097444]	137.51
Glycerolipid	postsynaptic density membrane [GO:0098839]	195.23
Glycerolipid	neuronal dense core vesicle [GO:0098992]	195.23
Glycerolipid	plasma membrane [GO:0005886]	195.23
Glycerolipid	presynaptic membrane [GO:0042734]	195.23
Glycerolipid	neuron projection [GO:0043005]	195.23
Glycerolipid	dendrite membrane [GO:0032590]	195.23
Glycerolipid	synaptic vesicle membrane [GO:0030672]	195.23
Glycerolipid	axon terminus [GO:0043679]	195.23
Glycerolipid	spine apparatus [GO:0097444]	195.23
Glycerolipid	postsynaptic density membrane [GO:0098839]	188.99
Glycerolipid	neuronal dense core vesicle [GO:0098992]	188.99
Glycerolipid	plasma membrane [GO:0005886]	188.99
Glycerolipid	presynaptic membrane [GO:0042734]	188.99
Glycerolipid	neuron projection [GO:0043005]	188.99
Glycerolipid	dendrite membrane [GO:0032590]	188.99
Glycerolipid	synaptic vesicle membrane [GO:0030672]	188.99
Glycerolipid	axon terminus [GO:0043679]	188.99
Glycerolipid	spine apparatus [GO:0097444]	188.99
Glycerolipid	postsynaptic density membrane [GO:0098839]	282.16
Glycerolipid	neuronal dense core vesicle [GO:0098992]	282.16
Glycerolipid	plasma membrane [GO:0005886]	282.16
Glycerolipid	presynaptic membrane [GO:0042734]	282.16
Glycerolipid	neuron projection [GO:0043005]	282.16
Glycerolipid	dendrite membrane [GO:0032590]	282.16
Glycerolipid	synaptic vesicle membrane [GO:0030672]	282.16
Glycerolipid	axon terminus [GO:0043679]	282.16
Glycerolipid	spine apparatus [GO:0097444]	282.16
Glycerolipid	postsynaptic density membrane [GO:0098839]	228.7
Glycerolipid	neuronal dense core vesicle [GO:0098992]	228.7
Glycerolipid	plasma membrane [GO:0005886]	228.7
Glycerolipid	presynaptic membrane [GO:0042734]	228.7
Glycerolipid	neuron projection [GO:0043005]	228.7
Glycerolipid	dendrite membrane [GO:0032590]	228.7
Glycerolipid	synaptic vesicle membrane [GO:0030672]	228.7
Glycerolipid	axon terminus [GO:0043679]	228.7
Glycerolipid	spine apparatus [GO:0097444]	228.7
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	289.51
Glycerolipid	dendrite [GO:0030425]	289.51
Glycerolipid	cytoplasm [GO:0005737]	289.51
Glycerolipid	plasma membrane [GO:0005886]	289.51
Glycerolipid	nucleoplasm [GO:0005654]	289.51
Glycerolipid	synapse [GO:0045202]	289.51
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	270.16
Glycerolipid	dendrite [GO:0030425]	270.16
Glycerolipid	cytoplasm [GO:0005737]	270.16
Glycerolipid	plasma membrane [GO:0005886]	270.16
Glycerolipid	nucleoplasm [GO:0005654]	270.16
Glycerolipid	synapse [GO:0045202]	270.16
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	909.91
Glycerolipid	respiratory chain complex IV [GO:0045277]	909.91
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	256.52
Glycerolipid	dendrite [GO:0030425]	256.52
Glycerolipid	cytoplasm [GO:0005737]	256.52
Glycerolipid	plasma membrane [GO:0005886]	256.52
Glycerolipid	nucleoplasm [GO:0005654]	256.52
Glycerolipid	synapse [GO:0045202]	256.52
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	237.38
Glycerolipid	dendrite [GO:0030425]	237.38
Glycerolipid	cytoplasm [GO:0005737]	237.38
Glycerolipid	plasma membrane [GO:0005886]	237.38
Glycerolipid	nucleoplasm [GO:0005654]	237.38
Glycerolipid	synapse [GO:0045202]	237.38
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	355.43
Glycerolipid	dendrite [GO:0030425]	355.43
Glycerolipid	cytoplasm [GO:0005737]	355.43
Glycerolipid	plasma membrane [GO:0005886]	355.43
Glycerolipid	nucleoplasm [GO:0005654]	355.43
Glycerolipid	synapse [GO:0045202]	355.43
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	201.85
Glycerolipid	dendrite [GO:0030425]	201.85
Glycerolipid	cytoplasm [GO:0005737]	201.85
Glycerolipid	plasma membrane [GO:0005886]	201.85
Glycerolipid	nucleoplasm [GO:0005654]	201.85
Glycerolipid	synapse [GO:0045202]	201.85
Glycerolipid	periplasmic space [GO:0042597]	233.26
Glycerolipid	periplasmic space [GO:0042597]	257.87
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	443.49
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	443.49
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	773.72
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	816.7
Glycerolipid	respiratory chain complex IV [GO:0045277]	823.88
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	823.88
Glycerolipid	plasma membrane [GO:0005886]	328.27
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	542.05
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	542.05
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	644.76
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	644.76
Glycerolipid	periplasmic space [GO:0042597]	186.99
Glycerolipid	periplasmic space [GO:0042597]	119.29
Glycerolipid	periplasmic space [GO:0042597]	186.13
Glycerolipid	bicellular tight junction [GO:0005923]	240.91
Glycerolipid	plasma membrane [GO:0005886]	240.91
Glycerolipid	lateral plasma membrane [GO:0016328]	240.91
Glycerolipid	bicellular tight junction [GO:0005923]	193.1
Glycerolipid	plasma membrane [GO:0005886]	193.1
Glycerolipid	lateral plasma membrane [GO:0016328]	193.1
Glycerolipid	photosystem II [GO:0009523]	892.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	892.27
Glycerolipid	photosystem II [GO:0009523]	892.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	892.27
Glycerolipid	photosystem II [GO:0009523]	484.99
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	484.99
Glycerolipid	photosystem II [GO:0009523]	484.99
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	484.99
Glycerolipid	photosystem II [GO:0009523]	802.94
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	802.94
Glycerolipid	photosystem II [GO:0009523]	802.94
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	802.94
Glycerolipid	respiratory chain complex IV [GO:0045277]	701.14
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	701.14
Glycerolipid	photosystem II [GO:0009523]	610.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	610.43
Glycerolipid	photosystem II [GO:0009523]	610.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	610.43
Glycerolipid	photosystem II [GO:0009523]	842.7
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	842.7
Glycerolipid	photosystem II [GO:0009523]	527.19
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	527.19
Glycerolipid	photosystem II [GO:0009523]	662.83
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	662.83
Glycerolipid	photosystem II [GO:0009523]	662.83
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	662.83
Glycerolipid	photosystem II [GO:0009523]	454.77
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	454.77
Glycerolipid	photosystem II [GO:0009523]	454.77
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	454.77
Glycerolipid	photosystem II [GO:0009523]	581.99
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	581.99
Glycerolipid	photosystem II [GO:0009523]	713.72
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	713.72
Glycerolipid	photosystem II [GO:0009523]	606.24
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	606.24
Glycerolipid	photosystem II [GO:0009523]	475.82
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	475.82
Glycerolipid	photosystem II [GO:0009523]	511.21
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	511.21
Glycerolipid	nucleoplasm [GO:0005654]	757.97
Glycerolipid	respiratory chain complex IV [GO:0045277]	757.97
Glycerolipid	cytosol [GO:0005829]	757.97
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	757.97
Glycerolipid	photosystem II [GO:0009523]	605.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	605.5
Glycerolipid	photosystem II reaction center [GO:0009539]	566.47
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	566.47
Glycerolipid	photosystem II reaction center [GO:0009539]	546.9
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	546.9
Glycerolipid	photosystem II reaction center [GO:0009539]	654.74
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	654.74
Glycerolipid	photosystem II reaction center [GO:0009539]	386.6
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	386.6
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	583.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	583.29
Glycerolipid	photosystem II reaction center [GO:0009539]	583.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	583.29
Glycerolipid	photosystem II reaction center [GO:0009539]	583.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	583.29
Glycerolipid	photosystem II reaction center [GO:0009539]	583.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	583.29
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	555.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	555.84
Glycerolipid	photosystem II reaction center [GO:0009539]	768.88
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	768.88
Glycerolipid	photosystem II reaction center [GO:0009539]	768.88
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	768.88
Glycerolipid	photosystem II reaction center [GO:0009539]	768.88
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	768.88
Glycerolipid	photosystem II reaction center [GO:0009539]	768.88
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	768.88
Glycerolipid	photosystem II reaction center [GO:0009539]	583.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	583.29
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	955.41
Glycerolipid	respiratory chain complex IV [GO:0045277]	955.41
