class	GO_CC	lig_vol
Sphingolipid	extracellular space [GO:0005615]	563.01
Sphingolipid	external side of plasma membrane [GO:0009897]	563.01
Sphingolipid	lysosomal membrane [GO:0005765]	563.01
Sphingolipid	cell surface [GO:0009986]	563.01
Sphingolipid	late endosome [GO:0005770]	830.7
Sphingolipid	endoplasmic reticulum [GO:0005783]	830.7
Sphingolipid	cytoplasm [GO:0005737]	830.7
Sphingolipid	endosome membrane [GO:0010008]	830.7
Sphingolipid	lysosome [GO:0005764]	830.7
Sphingolipid	early endosome [GO:0005769]	830.7
Sphingolipid	extracellular space [GO:0005615]	830.7
Sphingolipid	external side of plasma membrane [GO:0009897]	830.7
Sphingolipid	lysosomal membrane [GO:0005765]	830.7
Sphingolipid	cell surface [GO:0009986]	830.7
Sphingolipid	endosome membrane [GO:0010008]	313.95
Sphingolipid	cytosol [GO:0005829]	313.95
Sphingolipid	plasma membrane [GO:0005886]	313.95
Sphingolipid	nuclear outer membrane [GO:0005640]	313.95
Sphingolipid	Golgi apparatus [GO:0005794]	313.95
Sphingolipid	endosome membrane [GO:0010008]	147.88
Sphingolipid	cytosol [GO:0005829]	147.88
Sphingolipid	plasma membrane [GO:0005886]	147.88
Sphingolipid	nuclear outer membrane [GO:0005640]	147.88
Sphingolipid	Golgi apparatus [GO:0005794]	147.88
Sphingolipid	membrane [GO:0016020]	440.36
Sphingolipid	cytosol [GO:0005829]	440.36
Sphingolipid	endoplasmic reticulum [GO:0005783]	440.36
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	440.36
Sphingolipid	SPOTS complex [GO:0035339]	432.29
Sphingolipid	endoplasmic reticulum [GO:0005783]	432.29
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	432.29
Sphingolipid	protein-containing complex [GO:0032991]	102.44
Sphingolipid	spindle pole [GO:0000922]	102.44
Sphingolipid	cytoplasm [GO:0005737]	102.44
Sphingolipid	cytosol [GO:0005829]	102.44
Sphingolipid	plasma membrane [GO:0005886]	573.01
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	573.01
Sphingolipid	late endosome [GO:0005770]	934.1
Sphingolipid	endoplasmic reticulum [GO:0005783]	934.1
Sphingolipid	cytoplasm [GO:0005737]	934.1
Sphingolipid	endosome membrane [GO:0010008]	934.1
Sphingolipid	lysosome [GO:0005764]	934.1
Sphingolipid	early endosome [GO:0005769]	934.1
Sphingolipid	extracellular space [GO:0005615]	934.1
Sphingolipid	external side of plasma membrane [GO:0009897]	934.1
Sphingolipid	lysosomal membrane [GO:0005765]	934.1
Sphingolipid	cell surface [GO:0009986]	934.1
Sphingolipid	late endosome [GO:0005770]	218.99
Sphingolipid	endoplasmic reticulum [GO:0005783]	218.99
Sphingolipid	cytoplasm [GO:0005737]	218.99
Sphingolipid	endosome membrane [GO:0010008]	218.99
Sphingolipid	lysosome [GO:0005764]	218.99
Sphingolipid	early endosome [GO:0005769]	218.99
Sphingolipid	extracellular space [GO:0005615]	218.99
Sphingolipid	external side of plasma membrane [GO:0009897]	218.99
Sphingolipid	lysosomal membrane [GO:0005765]	218.99
Sphingolipid	cell surface [GO:0009986]	218.99
Sphingolipid	cytosol [GO:0005829]	438.87
Sphingolipid	plasma membrane [GO:0005886]	247.62
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	247.62
Sphingolipid	axon [GO:0030424]	247.62
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	247.62
Sphingolipid	membrane raft [GO:0045121]	653.22
Sphingolipid	endosome membrane [GO:0010008]	653.22
Sphingolipid	plasma membrane [GO:0005886]	653.22
Sphingolipid	extracellular space [GO:0005615]	653.22
Sphingolipid	external side of plasma membrane [GO:0009897]	653.22
Sphingolipid	apical plasma membrane [GO:0016324]	508.64
Sphingolipid	astrocyte projection [GO:0097449]	508.64
Sphingolipid	cell surface [GO:0009986]	508.64
Sphingolipid	plasma membrane [GO:0005886]	508.64
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	508.64
Sphingolipid	calyx of Held [GO:0044305]	508.64
Sphingolipid	neuronal cell body [GO:0043025]	508.64
Sphingolipid	axon [GO:0030424]	508.64
Sphingolipid	axon terminus [GO:0043679]	508.64
Sphingolipid	endoplasmic reticulum [GO:0005783]	508.64
Sphingolipid	late endosome [GO:0005770]	578.98
Sphingolipid	endoplasmic reticulum [GO:0005783]	578.98
Sphingolipid	cytoplasm [GO:0005737]	578.98
Sphingolipid	endosome membrane [GO:0010008]	578.98
Sphingolipid	basolateral plasma membrane [GO:0016323]	578.98
Sphingolipid	lysosome [GO:0005764]	578.98
Sphingolipid	early endosome [GO:0005769]	578.98
Sphingolipid	plasma membrane [GO:0005886]	578.98
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	578.98
Sphingolipid	extracellular space [GO:0005615]	578.98
Sphingolipid	external side of plasma membrane [GO:0009897]	578.98
Sphingolipid	lysosomal membrane [GO:0005765]	578.98
Sphingolipid	cell surface [GO:0009986]	578.98
Sphingolipid	endosome membrane [GO:0010008]	488.47
Sphingolipid	cytosol [GO:0005829]	488.47
Sphingolipid	plasma membrane [GO:0005886]	488.47
Sphingolipid	nuclear outer membrane [GO:0005640]	488.47
Sphingolipid	Golgi apparatus [GO:0005794]	488.47
Sphingolipid	plasma membrane [GO:0005886]	307.46
Sphingolipid	membrane [GO:0016020]	307.46
Sphingolipid	endosome membrane [GO:0010008]	307.46
Sphingolipid	membrane [GO:0016020]	442.75
Sphingolipid	cytosol [GO:0005829]	442.75
Sphingolipid	endoplasmic reticulum [GO:0005783]	442.75
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	442.75
Sphingolipid	late endosome [GO:0005770]	982.51
Sphingolipid	endoplasmic reticulum [GO:0005783]	982.51
Sphingolipid	cytoplasm [GO:0005737]	982.51
Sphingolipid	endosome membrane [GO:0010008]	982.51
Sphingolipid	lysosome [GO:0005764]	982.51
Sphingolipid	early endosome [GO:0005769]	982.51
Sphingolipid	extracellular space [GO:0005615]	982.51
Sphingolipid	external side of plasma membrane [GO:0009897]	982.51
Sphingolipid	lysosomal membrane [GO:0005765]	982.51
Sphingolipid	cell surface [GO:0009986]	982.51
Sphingolipid	axon terminus [GO:0043679]	454.96
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	454.96
Sphingolipid	endoplasmic reticulum [GO:0005783]	454.96
Sphingolipid	cell surface [GO:0009986]	454.96
Sphingolipid	apical plasma membrane [GO:0016324]	454.96
Sphingolipid	plasma membrane [GO:0005886]	454.96
