class	hydrophobicity_score
Sterol	73.82
Sterol	41.33
Sterol	67.43
Sterol	63.4
Sterol	78.73
Sterol	71.82
Sterol	68.67
Sterol	98.33
Sterol	58.19
Sterol	69.85
Sterol	41.57
Sterol	-3.83
Sterol	85.67
Sterol	37.33
Sterol	35.58
Sterol	72.0
Sterol	38.25
Sterol	61.1
Sterol	42.95
Sterol	3.83
Sterol	63.0
Sterol	23.42
Sterol	95.12
Sterol	41.57
Sterol	52.0
Sterol	44.14
Sterol	65.8
Sterol	48.52
Sterol	34.4
Sterol	32.73
Sterol	52.09
Sterol	76.17
Sterol	57.56
Sterol	42.14
Sterol	63.82
Sterol	61.62
Sterol	33.92
Sterol	72.1
Sterol	57.56
Sterol	62.77
Sterol	42.1
Sterol	35.09
Sterol	42.6
Sterol	58.83
Sterol	1.0
Sterol	49.4
Sterol	49.4
Sterol	61.2
Sterol	32.77
Sterol	73.29
Sterol	0.0
Sterol	52.54
Sterol	59.73
Sterol	60.46
Sterol	36.35
Sterol	85.67
Sterol	11.5
Sterol	66.44
Sterol	77.5
Sterol	45.21
Sterol	35.09
Sterol	21.0
Sterol	58.5
Sterol	30.82
Sterol	60.75
Sterol	65.65
Sterol	74.5
Sterol	43.0
Sterol	50.5
Sterol	34.11
Sterol	56.31
Sterol	0.0
Sterol	54.6
Sterol	59.06
Sterol	47.18
Sterol	31.75
Sterol	47.71
Sterol	0.0
Sterol	44.14
Sterol	59.35
Sterol	44.14
Sterol	42.0
Sterol	80.33
Sterol	49.47
Sterol	67.85
Sterol	0.0
Sterol	62.71
Sterol	46.83
Sterol	46.0
Sterol	65.0
Sterol	61.71
Sterol	53.11
Sterol	52.38
Sterol	50.22
Sterol	61.2
Sterol	53.18
Sterol	21.0
Sterol	38.86
Sterol	41.0
Sterol	64.77
Sterol	68.64
Sterol	56.33
Sterol	79.67
Sterol	35.09
Sterol	60.75
Sterol	43.48
Sterol	49.62
Sterol	40.0
Sterol	17.14
Sterol	73.75
Sterol	46.14
Sterol	10.86
Sterol	73.78
Sterol	66.81
Sterol	29.17
Sterol	34.6
Sterol	81.11
Sterol	49.0
Sterol	52.0
Sterol	64.95
Sterol	49.7
Sterol	64.29
Sterol	77.5
Sterol	50.54
Sterol	77.5
Sterol	53.4
Sterol	21.0
Sterol	89.0
Sterol	57.0
Sterol	39.0
Sterol	62.95
Sterol	50.0
Sterol	34.75
Sterol	0.0
Sterol	42.0
Sterol	62.9
Sterol	50.2
Sterol	36.62
Sterol	61.12
Sterol	16.8
Sterol	33.67
Sterol	48.47
Sterol	42.0
Sterol	33.35
Sterol	4.5
Sterol	46.81
Sterol	80.0
Sterol	62.62
Sterol	44.8
Sterol	56.95
Sterol	72.4
Sterol	45.67
Sterol	84.62
Sterol	65.55
Sterol	54.33
Sterol	31.86
Sterol	25.8
Sterol	53.33
Sterol	40.73
Sterol	63.29
Sterol	20.83
Sterol	40.67
Sterol	47.61
Sterol	64.87
Sterol	69.0
Sterol	49.86
Sterol	21.2
Sterol	56.52
Sterol	70.07
Sterol	74.0
Sterol	58.62
Sterol	50.11
Sterol	75.53
Sterol	32.25
Sterol	43.44
