class	GO_CC	hydrophobicity_score
Fatty Acyl	mitochondrion [GO:0005739]	69.7
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	69.7
Fatty Acyl	recycling endosome [GO:0055037]	39.45
Fatty Acyl	cytosol [GO:0005829]	39.45
Fatty Acyl	clathrin-coated vesicle [GO:0030136]	39.45
Fatty Acyl	nucleus [GO:0005634]	39.45
Fatty Acyl	cytoplasm [GO:0005737]	39.45
Fatty Acyl	nucleolus [GO:0005730]	39.45
Fatty Acyl	plasma membrane [GO:0005886]	44.25
Fatty Acyl	membrane [GO:0016020]	0.0
Fatty Acyl	respiratory chain complex IV [GO:0045277]	48.0
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	48.0
Fatty Acyl	cytoplasm [GO:0005737]	19.05
Fatty Acyl	cytosol [GO:0005829]	56.17
Fatty Acyl	fascia adherens [GO:0005916]	56.17
Fatty Acyl	contractile fiber [GO:0043292]	56.17
Fatty Acyl	Golgi membrane [GO:0000139]	56.17
Fatty Acyl	intercalated disc [GO:0014704]	56.17
Fatty Acyl	connexin complex [GO:0005922]	56.17
Fatty Acyl	focal adhesion [GO:0005925]	56.17
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	56.17
Fatty Acyl	apical plasma membrane [GO:0016324]	56.17
Fatty Acyl	plasma membrane [GO:0005886]	56.17
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	56.17
Fatty Acyl	membrane raft [GO:0045121]	56.17
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	56.17
Fatty Acyl	lateral plasma membrane [GO:0016328]	56.17
Fatty Acyl	tight junction [GO:0070160]	56.17
Fatty Acyl	cytoplasm [GO:0005737]	56.17
Fatty Acyl	Golgi apparatus [GO:0005794]	56.17
Fatty Acyl	mitochondrion [GO:0005739]	56.17
Fatty Acyl	cell junction [GO:0030054]	56.17
Fatty Acyl	gap junction [GO:0005921]	56.17
Fatty Acyl	intermediate filament [GO:0005882]	56.17
Fatty Acyl	cell-cell contact zone [GO:0044291]	56.17
Fatty Acyl	nucleoplasm [GO:0005654]	56.17
Fatty Acyl	nucleus [GO:0005634]	56.17
Fatty Acyl	membrane [GO:0016020]	67.91
Fatty Acyl	cytoplasm [GO:0005737]	44.9
Fatty Acyl	extracellular exosome [GO:0070062]	62.0
Fatty Acyl	cytoplasm [GO:0005737]	62.0
Fatty Acyl	protein-containing complex [GO:0032991]	62.0
Fatty Acyl	blood microparticle [GO:0072562]	62.0
Fatty Acyl	Golgi apparatus [GO:0005794]	62.0
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	62.0
Fatty Acyl	extracellular region [GO:0005576]	62.0
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	62.0
Fatty Acyl	extracellular space [GO:0005615]	62.0
Fatty Acyl	nucleus [GO:0005634]	62.0
Fatty Acyl	endoplasmic reticulum [GO:0005783]	62.0
Fatty Acyl	host cell cytoplasm [GO:0030430]	18.12
Fatty Acyl	cytosol [GO:0005829]	21.2
Fatty Acyl	chloride channel complex [GO:0034707]	52.0
Fatty Acyl	postsynaptic membrane [GO:0045211]	52.0
Fatty Acyl	plasma membrane [GO:0005886]	52.0
Fatty Acyl	presynaptic membrane [GO:0042734]	52.0
Fatty Acyl	GABA-A receptor complex [GO:1902711]	52.0
Fatty Acyl	GABA-ergic synapse [GO:0098982]	52.0
Fatty Acyl	glutamatergic synapse [GO:0098978]	52.0
Fatty Acyl	neuron projection [GO:0043005]	52.0
Fatty Acyl	synapse [GO:0045202]	52.0
Fatty Acyl	transmembrane transporter complex [GO:1902495]	52.0
Fatty Acyl	membrane [GO:0016020]	57.56
Fatty Acyl	plasma membrane [GO:0005886]	43.8
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	43.8
Fatty Acyl	plasma membrane [GO:0005886]	75.1
Fatty Acyl	ciliary plasm [GO:0097014]	43.1
Fatty Acyl	cytosol [GO:0005829]	43.1
Fatty Acyl	cytoplasm [GO:0005737]	43.1
Fatty Acyl	glycosome [GO:0020015]	43.1
Fatty Acyl	cytoophidium [GO:0097268]	17.25
Fatty Acyl	cytosol [GO:0005829]	17.25
Fatty Acyl	protein-containing complex [GO:0032991]	17.25
Fatty Acyl	membrane [GO:0016020]	55.89
Fatty Acyl	host cell plasma membrane [GO:0020002]	55.89
Fatty Acyl	host cell cytoplasm [GO:0030430]	55.89
Fatty Acyl	virion membrane [GO:0055036]	55.89
Fatty Acyl	T=4 icosahedral viral capsid [GO:0039619]	55.89
Fatty Acyl	host cell nucleus [GO:0042025]	55.89
Fatty Acyl	chloride channel complex [GO:0034707]	38.0
Fatty Acyl	postsynaptic membrane [GO:0045211]	38.0
Fatty Acyl	plasma membrane [GO:0005886]	38.0
Fatty Acyl	presynaptic membrane [GO:0042734]	38.0
Fatty Acyl	GABA-A receptor complex [GO:1902711]	38.0
Fatty Acyl	GABA-ergic synapse [GO:0098982]	38.0
Fatty Acyl	glutamatergic synapse [GO:0098978]	38.0
Fatty Acyl	neuron projection [GO:0043005]	38.0
Fatty Acyl	synapse [GO:0045202]	38.0
Fatty Acyl	transmembrane transporter complex [GO:1902495]	38.0
Fatty Acyl	mitochondrion [GO:0005739]	8.25
Fatty Acyl	cytoplasm [GO:0005737]	8.25
Fatty Acyl	apical plasma membrane [GO:0016324]	98.2
Fatty Acyl	astrocyte projection [GO:0097449]	98.2
Fatty Acyl	cell surface [GO:0009986]	98.2
Fatty Acyl	plasma membrane [GO:0005886]	98.2
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	98.2
Fatty Acyl	calyx of Held [GO:0044305]	98.2
Fatty Acyl	neuronal cell body [GO:0043025]	98.2
Fatty Acyl	axon [GO:0030424]	98.2
Fatty Acyl	axon terminus [GO:0043679]	98.2
Fatty Acyl	endoplasmic reticulum [GO:0005783]	98.2
Fatty Acyl	plasma membrane [GO:0005886]	44.75
Fatty Acyl	connexin complex [GO:0005922]	44.75
Fatty Acyl	synapse [GO:0045202]	44.75
Fatty Acyl	periplasmic space [GO:0042597]	12.29
Fatty Acyl	cytosol [GO:0005829]	45.69
Fatty Acyl	cytoplasm [GO:0005737]	45.69
Fatty Acyl	chloride channel complex [GO:0034707]	48.5
Fatty Acyl	postsynaptic membrane [GO:0045211]	48.5
Fatty Acyl	plasma membrane [GO:0005886]	48.5
Fatty Acyl	GABA-A receptor complex [GO:1902711]	48.5
Fatty Acyl	neuron projection [GO:0043005]	48.5
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	48.5
Fatty Acyl	synapse [GO:0045202]	48.5
Fatty Acyl	extracellular exosome [GO:0070062]	32.09
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	32.09
Fatty Acyl	endolysosome lumen [GO:0036021]	32.09
Fatty Acyl	Golgi apparatus [GO:0005794]	32.09
Fatty Acyl	extracellular space [GO:0005615]	32.09
Fatty Acyl	chromaffin granule [GO:0042583]	32.09
Fatty Acyl	apical plasma membrane [GO:0016324]	32.09
Fatty Acyl	lysosomal lumen [GO:0043202]	32.09
Fatty Acyl	plasma membrane [GO:0005886]	32.09
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	32.09
Fatty Acyl	multivesicular body [GO:0005771]	32.09
Fatty Acyl	lysosome [GO:0005764]	32.09
Fatty Acyl	extracellular region [GO:0005576]	32.09
Fatty Acyl	endocytic vesicle lumen [GO:0071682]	32.09
Fatty Acyl	nucleus [GO:0005634]	32.09
Fatty Acyl	plasma membrane [GO:0005886]	21.57
Fatty Acyl	chloride channel complex [GO:0034707]	41.71
Fatty Acyl	GABA receptor complex [GO:1902710]	41.71
Fatty Acyl	plasma membrane [GO:0005886]	41.71
Fatty Acyl	postsynaptic specialization membrane [GO:0099634]	41.71
Fatty Acyl	GABA-A receptor complex [GO:1902711]	41.71
Fatty Acyl	GABA-ergic synapse [GO:0098982]	41.71
Fatty Acyl	glutamatergic synapse [GO:0098978]	41.71
Fatty Acyl	neuron projection [GO:0043005]	41.71
Fatty Acyl	presynaptic active zone membrane [GO:0048787]	41.71
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	41.71
Fatty Acyl	synapse [GO:0045202]	41.71
Fatty Acyl	pore complex [GO:0046930]	68.0
Fatty Acyl	cell outer membrane [GO:0009279]	68.0
Fatty Acyl	plasma membrane [GO:0005886]	98.33
Fatty Acyl	membrane [GO:0016020]	98.33
Fatty Acyl	cell-cell junction [GO:0005911]	65.23
Fatty Acyl	cytosol [GO:0005829]	65.23
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	65.23
Fatty Acyl	ciliary basal body [GO:0036064]	65.23
Fatty Acyl	basal plasma membrane [GO:0009925]	65.23
Fatty Acyl	plasma membrane [GO:0005886]	65.23
Fatty Acyl	motile cilium [GO:0031514]	65.23
Fatty Acyl	non-motile cilium [GO:0097730]	65.23
Fatty Acyl	ciliary membrane [GO:0060170]	65.23
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	65.23
Fatty Acyl	migrasome [GO:0140494]	65.23
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	65.23
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	65.23
Fatty Acyl	lamellipodium [GO:0030027]	65.23
Fatty Acyl	membrane [GO:0016020]	65.23
Fatty Acyl	extracellular exosome [GO:0070062]	65.23
Fatty Acyl	basolateral plasma membrane [GO:0016323]	65.23
Fatty Acyl	cytoplasm [GO:0005737]	65.23
Fatty Acyl	Golgi apparatus [GO:0005794]	65.23
Fatty Acyl	polycystin complex [GO:0002133]	65.23
Fatty Acyl	cilium [GO:0005929]	65.23
Fatty Acyl	basal cortex [GO:0045180]	65.23
Fatty Acyl	mitotic spindle [GO:0072686]	65.23
Fatty Acyl	cation channel complex [GO:0034703]	65.23
Fatty Acyl	endoplasmic reticulum [GO:0005783]	65.23
Fatty Acyl	periplasmic space [GO:0042597]	43.9
Fatty Acyl	membrane [GO:0016020]	48.5
Fatty Acyl	extracellular exosome [GO:0070062]	38.33
Fatty Acyl	cytosol [GO:0005829]	38.33
Fatty Acyl	extracellular space [GO:0005615]	38.33
Fatty Acyl	nucleus [GO:0005634]	38.33
Fatty Acyl	plasma membrane [GO:0005886]	68.33
Fatty Acyl	respirasome [GO:0070469]	68.33
Fatty Acyl	plasma membrane [GO:0005886]	51.83
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	51.83
Fatty Acyl	chloride channel complex [GO:0034707]	93.33
Fatty Acyl	postsynaptic membrane [GO:0045211]	93.33
Fatty Acyl	plasma membrane [GO:0005886]	93.33
Fatty Acyl	presynaptic membrane [GO:0042734]	93.33
Fatty Acyl	GABA-A receptor complex [GO:1902711]	93.33
Fatty Acyl	GABA-ergic synapse [GO:0098982]	93.33
Fatty Acyl	glutamatergic synapse [GO:0098978]	93.33
Fatty Acyl	neuron projection [GO:0043005]	93.33
Fatty Acyl	synapse [GO:0045202]	93.33
Fatty Acyl	transmembrane transporter complex [GO:1902495]	93.33
Fatty Acyl	membrane [GO:0016020]	52.0
Fatty Acyl	cytosol [GO:0005829]	9.6
Fatty Acyl	plasma membrane [GO:0005886]	43.92
Fatty Acyl	ciliary plasm [GO:0097014]	21.5
Fatty Acyl	cytosol [GO:0005829]	21.5
Fatty Acyl	cytoplasm [GO:0005737]	21.5
Fatty Acyl	glycosome [GO:0020015]	21.5
Fatty Acyl	plasma membrane [GO:0005886]	31.21
Fatty Acyl	azurophil granule lumen [GO:0035578]	41.31
Fatty Acyl	cytosol [GO:0005829]	41.31
Fatty Acyl	ficolin-1-rich granule lumen [GO:1904813]	41.31
Fatty Acyl	extracellular exosome [GO:0070062]	41.31
Fatty Acyl	nucleoplasm [GO:0005654]	41.31
Fatty Acyl	membrane [GO:0016020]	41.31
Fatty Acyl	extracellular region [GO:0005576]	41.31
Fatty Acyl	plasma membrane [GO:0005886]	81.67
Fatty Acyl	cell-cell junction [GO:0005911]	65.23
Fatty Acyl	cytosol [GO:0005829]	65.23
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	65.23
Fatty Acyl	ciliary basal body [GO:0036064]	65.23
Fatty Acyl	basal plasma membrane [GO:0009925]	65.23
Fatty Acyl	plasma membrane [GO:0005886]	65.23
Fatty Acyl	motile cilium [GO:0031514]	65.23
Fatty Acyl	non-motile cilium [GO:0097730]	65.23
Fatty Acyl	ciliary membrane [GO:0060170]	65.23
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	65.23
Fatty Acyl	migrasome [GO:0140494]	65.23
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	65.23
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	65.23
Fatty Acyl	lamellipodium [GO:0030027]	65.23
Fatty Acyl	membrane [GO:0016020]	65.23
Fatty Acyl	extracellular exosome [GO:0070062]	65.23
Fatty Acyl	basolateral plasma membrane [GO:0016323]	65.23
Fatty Acyl	cytoplasm [GO:0005737]	65.23
Fatty Acyl	Golgi apparatus [GO:0005794]	65.23
Fatty Acyl	polycystin complex [GO:0002133]	65.23
Fatty Acyl	cilium [GO:0005929]	65.23
Fatty Acyl	basal cortex [GO:0045180]	65.23
Fatty Acyl	mitotic spindle [GO:0072686]	65.23
Fatty Acyl	cation channel complex [GO:0034703]	65.23
Fatty Acyl	endoplasmic reticulum [GO:0005783]	65.23
Fatty Acyl	extracellular region [GO:0005576]	20.64
Fatty Acyl	chloride channel complex [GO:0034707]	38.0
Fatty Acyl	postsynaptic membrane [GO:0045211]	38.0
Fatty Acyl	plasma membrane [GO:0005886]	38.0
Fatty Acyl	presynaptic membrane [GO:0042734]	38.0
Fatty Acyl	GABA-A receptor complex [GO:1902711]	38.0
Fatty Acyl	GABA-ergic synapse [GO:0098982]	38.0
Fatty Acyl	glutamatergic synapse [GO:0098978]	38.0
Fatty Acyl	neuron projection [GO:0043005]	38.0
Fatty Acyl	synapse [GO:0045202]	38.0
Fatty Acyl	transmembrane transporter complex [GO:1902495]	38.0
Fatty Acyl	mitochondrion [GO:0005739]	-34.5
Fatty Acyl	cytoplasm [GO:0005737]	-34.5
Fatty Acyl	apical plasma membrane [GO:0016324]	46.7
Fatty Acyl	astrocyte projection [GO:0097449]	46.7
Fatty Acyl	cell surface [GO:0009986]	46.7
Fatty Acyl	plasma membrane [GO:0005886]	46.7
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	46.7
Fatty Acyl	calyx of Held [GO:0044305]	46.7
Fatty Acyl	neuronal cell body [GO:0043025]	46.7
Fatty Acyl	axon [GO:0030424]	46.7
Fatty Acyl	axon terminus [GO:0043679]	46.7
Fatty Acyl	endoplasmic reticulum [GO:0005783]	46.7
Fatty Acyl	nucleus [GO:0005634]	33.73
Fatty Acyl	cytosol [GO:0005829]	33.73
Fatty Acyl	NatA complex [GO:0031415]	33.73
Fatty Acyl	nucleus [GO:0005634]	-1.36
Fatty Acyl	rough endoplasmic reticulum [GO:0005791]	-1.36
Fatty Acyl	cytosol [GO:0005829]	25.62
Fatty Acyl	membrane [GO:0016020]	0.0
Fatty Acyl	cell-cell junction [GO:0005911]	0.0
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	0.0
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	0.0
Fatty Acyl	plasma membrane [GO:0005886]	0.0
Fatty Acyl	sperm midpiece [GO:0097225]	0.0
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	0.0
Fatty Acyl	photoreceptor outer segment [GO:0001750]	0.0
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	0.0
Fatty Acyl	Golgi membrane [GO:0000139]	0.0
Fatty Acyl	outer membrane [GO:0019867]	0.0
Fatty Acyl	sperm head plasma membrane [GO:1990913]	0.0
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	0.0
Fatty Acyl	plasma membrane [GO:0005886]	59.4
Fatty Acyl	plasma membrane [GO:0005886]	-23.0
Fatty Acyl	efflux pump complex [GO:1990281]	30.0
Fatty Acyl	plasma membrane [GO:0005886]	65.36
Fatty Acyl	extracellular region [GO:0005576]	46.79
Fatty Acyl	plasma membrane [GO:0005886]	65.67
Fatty Acyl	chloroplast [GO:0009507]	39.03
Fatty Acyl	plasma membrane [GO:0005886]	65.12
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	50.33
Fatty Acyl	extracellular space [GO:0005615]	50.33
Fatty Acyl	protein-containing complex [GO:0032991]	50.33
Fatty Acyl	extracellular region [GO:0005576]	50.33
Fatty Acyl	cytosol [GO:0005829]	2.12
Fatty Acyl	cytoplasm [GO:0005737]	2.12
Fatty Acyl	nucleoplasm [GO:0005654]	2.12
Fatty Acyl	nucleus [GO:0005634]	2.12
Fatty Acyl	membrane [GO:0016020]	11.5
Fatty Acyl	cytoplasm [GO:0005737]	11.5
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	78.83
Fatty Acyl	respiratory chain complex IV [GO:0045277]	78.83
Fatty Acyl	plasma membrane [GO:0005886]	73.53
Fatty Acyl	ATP-binding cassette (ABC) transporter complex [GO:0043190]	73.53
Fatty Acyl	plasma membrane protein complex [GO:0098797]	73.53
Fatty Acyl	cilium [GO:0005929]	62.4
Fatty Acyl	plasma membrane [GO:0005886]	62.4
Fatty Acyl	amylin receptor complex 3 [GO:0150058]	62.4
Fatty Acyl	amylin receptor complex 2 [GO:0150057]	62.4
