class	GO_CC	hydrophobicity_score
Sphingolipid	extracellular space [GO:0005615]	59.44
Sphingolipid	external side of plasma membrane [GO:0009897]	59.44
Sphingolipid	lysosomal membrane [GO:0005765]	59.44
Sphingolipid	cell surface [GO:0009986]	59.44
Sphingolipid	late endosome [GO:0005770]	54.96
Sphingolipid	endoplasmic reticulum [GO:0005783]	54.96
Sphingolipid	cytoplasm [GO:0005737]	54.96
Sphingolipid	endosome membrane [GO:0010008]	54.96
Sphingolipid	lysosome [GO:0005764]	54.96
Sphingolipid	early endosome [GO:0005769]	54.96
Sphingolipid	extracellular space [GO:0005615]	54.96
Sphingolipid	external side of plasma membrane [GO:0009897]	54.96
Sphingolipid	lysosomal membrane [GO:0005765]	54.96
Sphingolipid	cell surface [GO:0009986]	54.96
Sphingolipid	endosome membrane [GO:0010008]	60.83
Sphingolipid	cytosol [GO:0005829]	60.83
Sphingolipid	plasma membrane [GO:0005886]	60.83
Sphingolipid	nuclear outer membrane [GO:0005640]	60.83
Sphingolipid	Golgi apparatus [GO:0005794]	60.83
Sphingolipid	endosome membrane [GO:0010008]	37.56
Sphingolipid	cytosol [GO:0005829]	37.56
Sphingolipid	plasma membrane [GO:0005886]	37.56
Sphingolipid	nuclear outer membrane [GO:0005640]	37.56
Sphingolipid	Golgi apparatus [GO:0005794]	37.56
Sphingolipid	membrane [GO:0016020]	50.87
Sphingolipid	cytosol [GO:0005829]	50.87
Sphingolipid	endoplasmic reticulum [GO:0005783]	50.87
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	50.87
Sphingolipid	SPOTS complex [GO:0035339]	57.7
Sphingolipid	endoplasmic reticulum [GO:0005783]	57.7
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	57.7
Sphingolipid	protein-containing complex [GO:0032991]	37.5
Sphingolipid	spindle pole [GO:0000922]	37.5
Sphingolipid	cytoplasm [GO:0005737]	37.5
Sphingolipid	cytosol [GO:0005829]	37.5
Sphingolipid	plasma membrane [GO:0005886]	-26.22
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	-26.22
Sphingolipid	late endosome [GO:0005770]	59.06
Sphingolipid	endoplasmic reticulum [GO:0005783]	59.06
Sphingolipid	cytoplasm [GO:0005737]	59.06
Sphingolipid	endosome membrane [GO:0010008]	59.06
Sphingolipid	lysosome [GO:0005764]	59.06
Sphingolipid	early endosome [GO:0005769]	59.06
Sphingolipid	extracellular space [GO:0005615]	59.06
Sphingolipid	external side of plasma membrane [GO:0009897]	59.06
Sphingolipid	lysosomal membrane [GO:0005765]	59.06
Sphingolipid	cell surface [GO:0009986]	59.06
Sphingolipid	late endosome [GO:0005770]	40.13
Sphingolipid	endoplasmic reticulum [GO:0005783]	40.13
Sphingolipid	cytoplasm [GO:0005737]	40.13
Sphingolipid	endosome membrane [GO:0010008]	40.13
Sphingolipid	lysosome [GO:0005764]	40.13
Sphingolipid	early endosome [GO:0005769]	40.13
Sphingolipid	extracellular space [GO:0005615]	40.13
Sphingolipid	external side of plasma membrane [GO:0009897]	40.13
Sphingolipid	lysosomal membrane [GO:0005765]	40.13
Sphingolipid	cell surface [GO:0009986]	40.13
Sphingolipid	cytosol [GO:0005829]	51.5
Sphingolipid	plasma membrane [GO:0005886]	68.77
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	68.77
Sphingolipid	axon [GO:0030424]	68.77
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	68.77
Sphingolipid	membrane raft [GO:0045121]	50.56
Sphingolipid	endosome membrane [GO:0010008]	50.56
Sphingolipid	plasma membrane [GO:0005886]	50.56
Sphingolipid	extracellular space [GO:0005615]	50.56
Sphingolipid	external side of plasma membrane [GO:0009897]	50.56
Sphingolipid	apical plasma membrane [GO:0016324]	91.2
Sphingolipid	astrocyte projection [GO:0097449]	91.2
Sphingolipid	cell surface [GO:0009986]	91.2
Sphingolipid	plasma membrane [GO:0005886]	91.2
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	91.2
Sphingolipid	calyx of Held [GO:0044305]	91.2
Sphingolipid	neuronal cell body [GO:0043025]	91.2
Sphingolipid	axon [GO:0030424]	91.2
Sphingolipid	axon terminus [GO:0043679]	91.2
Sphingolipid	endoplasmic reticulum [GO:0005783]	91.2
Sphingolipid	late endosome [GO:0005770]	60.61
