class	GO_CC	hydrophobicity_score
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	30.75
Glycerophospholipid	mitochondrion [GO:0005739]	60.3
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	60.3
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	60.3
Glycerophospholipid	photosystem II [GO:0009523]	63.5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	63.5
Glycerophospholipid	photosystem I [GO:0009522]	63.5
Glycerophospholipid	photosystem II [GO:0009523]	63.5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	63.5
Glycerophospholipid	photosystem I [GO:0009522]	63.5
Glycerophospholipid	plasma membrane [GO:0005886]	58.44
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	59.2
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	59.2
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	59.2
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	59.2
Glycerophospholipid	membrane [GO:0016020]	47.54
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	47.54
Glycerophospholipid	respiratory chain complex I [GO:0045271]	47.54
Glycerophospholipid	plasma membrane [GO:0005886]	47.54
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	47.54
Glycerophospholipid	membrane [GO:0016020]	59.25
Glycerophospholipid	apical plasma membrane [GO:0016324]	59.25
Glycerophospholipid	extracellular exosome [GO:0070062]	59.25
Glycerophospholipid	cytosol [GO:0005829]	59.25
Glycerophospholipid	plasma membrane [GO:0005886]	59.25
Glycerophospholipid	photosystem II [GO:0009523]	29.82
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	29.82
Glycerophospholipid	photosystem I [GO:0009522]	29.82
Glycerophospholipid	periplasmic space [GO:0042597]	36.8
Glycerophospholipid	photosystem II [GO:0009523]	30.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	30.75
Glycerophospholipid	photosystem II [GO:0009523]	30.75
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	30.75
Glycerophospholipid	cell body fiber [GO:0070852]	62.25
Glycerophospholipid	nuclear envelope [GO:0005635]	62.25
Glycerophospholipid	endosome [GO:0005768]	62.25
Glycerophospholipid	axolemma [GO:0030673]	62.25
Glycerophospholipid	glutamatergic synapse [GO:0098978]	62.25
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	62.25
Glycerophospholipid	plasma membrane [GO:0005886]	62.25
Glycerophospholipid	T-tubule [GO:0030315]	62.25
Glycerophospholipid	acrosomal vesicle [GO:0001669]	62.25
Glycerophospholipid	presynaptic membrane [GO:0042734]	62.25
Glycerophospholipid	sarcolemma [GO:0042383]	62.25
Glycerophospholipid	intercalated disc [GO:0014704]	62.25
Glycerophospholipid	neuronal cell body [GO:0043025]	62.25
Glycerophospholipid	photosystem II reaction center [GO:0009539]	54.4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	54.4
Glycerophospholipid	photosystem II reaction center [GO:0009539]	54.4
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	54.4
Glycerophospholipid	photosystem II reaction center [GO:0009539]	71.33
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	71.33
Glycerophospholipid	plasma membrane [GO:0005886]	63.33
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	63.33
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	31.07
Glycerophospholipid	postsynaptic membrane [GO:0045211]	31.07
Glycerophospholipid	perikaryon [GO:0043204]	31.07
Glycerophospholipid	membrane [GO:0016020]	31.07
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	31.07
Glycerophospholipid	presynaptic membrane [GO:0042734]	31.07
Glycerophospholipid	dendrite [GO:0030425]	31.07
Glycerophospholipid	glutamatergic synapse [GO:0098978]	31.07
Glycerophospholipid	neuron projection [GO:0043005]	31.07
Glycerophospholipid	perisynaptic space [GO:0099544]	31.07
Glycerophospholipid	spine synapse [GO:0106033]	31.07
Glycerophospholipid	dendritic shaft [GO:0043198]	31.07
Glycerophospholipid	dendritic spine [GO:0043197]	31.07
Glycerophospholipid	neuronal cell body [GO:0043025]	31.07
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	31.07
Glycerophospholipid	axon [GO:0030424]	31.07
Glycerophospholipid	dendritic spine neck [GO:0044326]	31.07
Glycerophospholipid	synaptic vesicle [GO:0008021]	31.07
Glycerophospholipid	somatodendritic compartment [GO:0036477]	31.07
Glycerophospholipid	synaptic membrane [GO:0097060]	31.07
Glycerophospholipid	terminal bouton [GO:0043195]	31.07
Glycerophospholipid	cell surface [GO:0009986]	31.07
