class	GO_CC	hydrophobicity_score
Polyketide	filopodium [GO:0030175]	14.39
Polyketide	protein-containing complex [GO:0032991]	61.64
Polyketide	cytosol [GO:0005829]	61.64
Polyketide	nucleoplasm [GO:0005654]	61.64
Polyketide	membrane [GO:0016020]	61.64
Polyketide	plasma membrane [GO:0005886]	61.64
Polyketide	euchromatin [GO:0000791]	61.64
Polyketide	chromatin [GO:0000785]	61.64
Polyketide	transcription regulator complex [GO:0005667]	61.64
Polyketide	nucleus [GO:0005634]	61.64
Polyketide	cytoplasm [GO:0005737]	61.64
Polyketide	Golgi apparatus [GO:0005794]	61.64
Polyketide	nucleoplasm [GO:0005654]	67.0
Polyketide	nucleus [GO:0005634]	67.0
Polyketide	chromatin [GO:0000785]	67.0
Polyketide	microtubule [GO:0005874]	23.62
Polyketide	cytoplasm [GO:0005737]	23.62
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	39.36
Polyketide	endoplasmic reticulum membrane [GO:0005789]	39.36
Polyketide	cell body [GO:0044297]	22.05
Polyketide	actin filament [GO:0005884]	22.05
Polyketide	skeletal muscle myofibril [GO:0098723]	22.05
Polyketide	stress fiber [GO:0001725]	22.05
Polyketide	filamentous actin [GO:0031941]	22.05
Polyketide	actin filament bundle [GO:0032432]	22.05
Polyketide	lamellipodium [GO:0030027]	22.05
Polyketide	striated muscle thin filament [GO:0005865]	22.05
Polyketide	cytoplasm [GO:0005737]	22.05
Polyketide	filopodium [GO:0030175]	22.05
Polyketide	cytosol [GO:0005829]	44.95
Polyketide	extracellular exosome [GO:0070062]	44.95
Polyketide	membrane [GO:0016020]	59.35
Polyketide	vesicle [GO:0031982]	28.83
Polyketide	cytoplasm [GO:0005737]	28.83
Polyketide	secretory granule lumen [GO:0034774]	28.83
Polyketide	cytosol [GO:0005829]	28.83
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	28.83
Polyketide	extracellular exosome [GO:0070062]	28.83
Polyketide	nucleoplasm [GO:0005654]	28.83
Polyketide	plasma membrane [GO:0005886]	28.83
Polyketide	extracellular region [GO:0005576]	28.83
Polyketide	extracellular space [GO:0005615]	28.83
Polyketide	cell surface [GO:0009986]	28.83
Polyketide	protein-containing complex [GO:0032991]	55.7
Polyketide	cytosol [GO:0005829]	55.7
Polyketide	nucleoplasm [GO:0005654]	55.7
Polyketide	membrane [GO:0016020]	55.7
Polyketide	plasma membrane [GO:0005886]	55.7
Polyketide	euchromatin [GO:0000791]	55.7
Polyketide	chromatin [GO:0000785]	55.7
Polyketide	transcription regulator complex [GO:0005667]	55.7
Polyketide	nucleus [GO:0005634]	55.7
Polyketide	cytoplasm [GO:0005737]	55.7
Polyketide	Golgi apparatus [GO:0005794]	55.7
Polyketide	endocytic vesicle [GO:0030139]	19.33
Polyketide	focal adhesion [GO:0005925]	19.33
Polyketide	intercellular canaliculus [GO:0046581]	19.33
Polyketide	apical plasma membrane [GO:0016324]	19.33
Polyketide	lamellipodium membrane [GO:0031258]	19.33
Polyketide	lamellipodium [GO:0030027]	19.33
Polyketide	extracellular exosome [GO:0070062]	19.33
Polyketide	plasma membrane [GO:0005886]	19.33
Polyketide	membrane [GO:0016020]	19.33
Polyketide	extracellular region [GO:0005576]	19.33
Polyketide	membrane raft [GO:0045121]	19.33
Polyketide	lysosomal membrane [GO:0005765]	19.33
Polyketide	cell surface [GO:0009986]	19.33
Polyketide	nuclear envelope [GO:0005635]	33.8
Polyketide	perinuclear region of cytoplasm [GO:0048471]	33.8
Polyketide	cytosol [GO:0005829]	33.8
Polyketide	pericentriolar material [GO:0000242]	33.8
Polyketide	Golgi membrane [GO:0000139]	33.8
Polyketide	chromosome, telomeric region [GO:0000781]	33.8
Polyketide	nucleus [GO:0005634]	33.8
Polyketide	cytoplasm [GO:0005737]	33.8
Polyketide	extracellular space [GO:0005615]	25.83
Polyketide	azurophil granule lumen [GO:0035578]	25.83
Polyketide	extracellular region [GO:0005576]	25.83
Polyketide	extracellular exosome [GO:0070062]	25.83
Polyketide	neuron projection [GO:0043005]	48.73
Polyketide	cytosol [GO:0005829]	48.73
Polyketide	postsynaptic density [GO:0014069]	48.73
Polyketide	Golgi membrane [GO:0000139]	48.73
Polyketide	plasma membrane [GO:0005886]	48.73
Polyketide	Golgi apparatus [GO:0005794]	48.73
