class	GO_CC	hydrophobicity_score
Saccharolipid	receptor complex [GO:0043235]	58.55
Saccharolipid	extracellular region [GO:0005576]	58.55
Saccharolipid	plasma membrane [GO:0005886]	58.55
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	58.55
Saccharolipid	receptor complex [GO:0043235]	62.67
Saccharolipid	extracellular region [GO:0005576]	62.67
Saccharolipid	plasma membrane [GO:0005886]	62.67
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	62.67
Saccharolipid	cytoplasm [GO:0005737]	2.1
Saccharolipid	cytoplasm [GO:0005737]	2.1
Saccharolipid	cytoplasm [GO:0005737]	9.85
Saccharolipid	cytoplasm [GO:0005737]	9.94
Saccharolipid	cytoplasm [GO:0005737]	9.94
Saccharolipid	receptor complex [GO:0043235]	68.74
Saccharolipid	extracellular region [GO:0005576]	68.74
Saccharolipid	endosome membrane [GO:0010008]	68.74
Saccharolipid	plasma membrane [GO:0005886]	68.74
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	68.74
Saccharolipid	receptor complex [GO:0043235]	67.65
Saccharolipid	extracellular region [GO:0005576]	67.65
Saccharolipid	endosome membrane [GO:0010008]	67.65
Saccharolipid	plasma membrane [GO:0005886]	67.65
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	67.65
Saccharolipid	extracellular region [GO:0005576]	-19.5
Saccharolipid	extracellular region [GO:0005576]	6.95
Saccharolipid	extracellular region [GO:0005576]	10.74
Saccharolipid	mitochondrial membrane [GO:0031966]	28.93
Saccharolipid	cytosol [GO:0005829]	28.93
Saccharolipid	glutamatergic synapse [GO:0098978]	28.93
Saccharolipid	histone acetyltransferase complex [GO:0000123]	28.93
Saccharolipid	plasma membrane [GO:0005886]	28.93
Saccharolipid	nucleoplasm [GO:0005654]	28.93
Saccharolipid	NSL complex [GO:0044545]	28.93
Saccharolipid	protein-containing complex [GO:0032991]	28.93
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	28.93
Saccharolipid	cell projection [GO:0042995]	28.93
Saccharolipid	nucleus [GO:0005634]	28.93
Saccharolipid	mitochondrial membrane [GO:0031966]	28.71
Saccharolipid	cytosol [GO:0005829]	28.71
Saccharolipid	glutamatergic synapse [GO:0098978]	28.71
Saccharolipid	histone acetyltransferase complex [GO:0000123]	28.71
Saccharolipid	plasma membrane [GO:0005886]	28.71
Saccharolipid	nucleoplasm [GO:0005654]	28.71
Saccharolipid	NSL complex [GO:0044545]	28.71
Saccharolipid	protein-containing complex [GO:0032991]	28.71
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	28.71
Saccharolipid	cell projection [GO:0042995]	28.71
Saccharolipid	nucleus [GO:0005634]	28.71
Saccharolipid	mitochondrial membrane [GO:0031966]	28.71
Saccharolipid	cytosol [GO:0005829]	28.71
Saccharolipid	glutamatergic synapse [GO:0098978]	28.71
Saccharolipid	histone acetyltransferase complex [GO:0000123]	28.71
Saccharolipid	plasma membrane [GO:0005886]	28.71
Saccharolipid	nucleoplasm [GO:0005654]	28.71
Saccharolipid	NSL complex [GO:0044545]	28.71
Saccharolipid	protein-containing complex [GO:0032991]	28.71
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	28.71
Saccharolipid	cell projection [GO:0042995]	28.71
Saccharolipid	nucleus [GO:0005634]	28.71
