class	GO_CC	hydrophobicity_score
Sterol	synapse [GO:0045202]	68.06
Sterol	presynaptic membrane [GO:0042734]	68.06
Sterol	membrane raft [GO:0045121]	68.06
Sterol	cytosol [GO:0005829]	46.09
Sterol	plasma membrane [GO:0005886]	33.11
Sterol	postsynaptic membrane [GO:0045211]	67.73
Sterol	external side of plasma membrane [GO:0009897]	67.73
Sterol	membrane [GO:0016020]	67.73
Sterol	dendrite [GO:0030425]	67.73
Sterol	neuron projection [GO:0043005]	67.73
Sterol	dendritic spine membrane [GO:0032591]	67.73
Sterol	neuronal cell body [GO:0043025]	67.73
Sterol	plasma membrane [GO:0005886]	67.73
Sterol	cytoplasm [GO:0005737]	40.34
Sterol	mitochondrial inner membrane [GO:0005743]	49.57
Sterol	respiratory chain complex IV [GO:0045277]	49.57
Sterol	non-motile cilium [GO:0097730]	60.89
Sterol	ciliary membrane [GO:0060170]	60.89
Sterol	cilium [GO:0005929]	60.89
Sterol	plasma membrane [GO:0005886]	60.89
Sterol	synapse [GO:0045202]	60.89
Sterol	brush border membrane [GO:0031526]	60.89
Sterol	periplasmic space [GO:0042597]	60.89
Sterol	nucleoplasm [GO:0005654]	14.64
Sterol	nucleus [GO:0005634]	14.64
Sterol	RNA polymerase III complex [GO:0005666]	14.64
Sterol	plasma membrane [GO:0005886]	36.33
Sterol	endoplasmic reticulum membrane [GO:0005789]	57.5
Sterol	endoplasmic reticulum [GO:0005783]	57.5
Sterol	Golgi membrane [GO:0000139]	57.5
Sterol	Golgi apparatus [GO:0005794]	57.5
Sterol	mitochondrion [GO:0005739]	51.5
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	51.5
Sterol	mitochondrial respirasome [GO:0005746]	51.5
Sterol	respiratory chain complex IV [GO:0045277]	51.5
Sterol	GABA-ergic synapse [GO:0098982]	70.83
Sterol	plasma membrane [GO:0005886]	70.83
Sterol	postsynaptic membrane [GO:0045211]	70.83
Sterol	presynapse [GO:0098793]	70.83
Sterol	presynaptic membrane [GO:0042734]	70.83
Sterol	axon [GO:0030424]	70.83
Sterol	cell surface [GO:0009986]	70.83
Sterol	neuronal cell body [GO:0043025]	70.83
Sterol	plasma membrane [GO:0005886]	39.5
Sterol	voltage-gated calcium channel complex [GO:0005891]	55.3
Sterol	plasma membrane [GO:0005886]	55.3
Sterol	synapse [GO:0045202]	55.3
Sterol	neuronal cell body [GO:0043025]	55.3
Sterol	plasma membrane [GO:0005886]	42.2
Sterol	lysosome [GO:0005764]	42.2
Sterol	cardiac Troponin complex [GO:1990584]	23.67
Sterol	troponin complex [GO:0005861]	23.67
Sterol	cytosol [GO:0005829]	23.67
Sterol	lateral plasma membrane [GO:0016328]	43.95
Sterol	connexin complex [GO:0005922]	43.95
Sterol	endoplasmic reticulum membrane [GO:0005789]	43.95
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	34.4
Sterol	respiratory chain complex IV [GO:0045277]	34.4
Sterol	plasma membrane [GO:0005886]	11.57
Sterol	cell projection [GO:0042995]	56.17
Sterol	plasma membrane [GO:0005886]	56.17
Sterol	postsynaptic membrane [GO:0045211]	56.17
Sterol	presynaptic membrane [GO:0042734]	56.17
Sterol	nucleus [GO:0005634]	56.17
Sterol	cytosol [GO:0005829]	10.43
Sterol	nucleoplasm [GO:0005654]	10.43
Sterol	receptor complex [GO:0043235]	10.43
Sterol	mitochondrion [GO:0005739]	10.43
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	10.43
Sterol	chromatin [GO:0000785]	10.43
Sterol	transcription regulator complex [GO:0005667]	10.43
Sterol	nucleus [GO:0005634]	10.43
Sterol	cell surface [GO:0009986]	49.5
Sterol	apical plasma membrane [GO:0016324]	49.5
Sterol	external side of apical plasma membrane [GO:0098591]	49.5
Sterol	extracellular exosome [GO:0070062]	49.5
Sterol	plasma membrane [GO:0005886]	49.5
Sterol	membrane [GO:0016020]	49.5
Sterol	cytoplasm [GO:0005737]	49.5
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	98.67
Sterol	respiratory chain complex IV [GO:0045277]	98.67
