class	GO_CC	hydrophobicity_score
Sterol	extracellular exosome [GO:0070062]	29.52
Sterol	intracellular membrane-bounded organelle [GO:0043231]	29.52
Sterol	plasma membrane [GO:0005886]	29.52
Sterol	centriole [GO:0005814]	29.52
Sterol	9+0 non-motile cilium [GO:0097731]	29.52
Sterol	late endosome [GO:0005770]	29.52
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	29.52
Sterol	mitochondrion [GO:0005739]	38.83
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	38.83
Sterol	mitochondrial respirasome [GO:0005746]	38.83
Sterol	respiratory chain complex IV [GO:0045277]	38.83
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	34.4
Sterol	respiratory chain complex IV [GO:0045277]	34.4
Sterol	protein-containing complex [GO:0032991]	64.86
Sterol	cytosol [GO:0005829]	64.86
Sterol	nucleoplasm [GO:0005654]	64.86
Sterol	plasma membrane [GO:0005886]	64.86
Sterol	nuclear speck [GO:0016607]	64.86
Sterol	chromatin [GO:0000785]	64.86
Sterol	nucleus [GO:0005634]	64.86
Sterol	cytoplasm [GO:0005737]	64.86
Sterol	cytoplasm [GO:0005737]	24.33
Sterol	apical plasma membrane [GO:0016324]	70.64
Sterol	mitochondrial membrane [GO:0031966]	70.64
Sterol	external side of apical plasma membrane [GO:0098591]	70.64
Sterol	nucleoplasm [GO:0005654]	70.64
Sterol	plasma membrane [GO:0005886]	70.64
Sterol	brush border membrane [GO:0031526]	70.64
Sterol	membrane raft [GO:0045121]	70.64
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	62.0
Sterol	respiratory chain complex IV [GO:0045277]	62.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	62.0
Sterol	respiratory chain complex IV [GO:0045277]	62.0
Sterol	cytosol [GO:0005829]	67.04
Sterol	nucleoplasm [GO:0005654]	67.04
Sterol	cytoskeleton [GO:0005856]	67.04
Sterol	nucleus [GO:0005634]	67.04
Sterol	cytoplasm [GO:0005737]	67.04
Sterol	cytosol [GO:0005829]	65.96
Sterol	nucleoplasm [GO:0005654]	65.96
Sterol	endoplasmic reticulum membrane [GO:0005789]	65.96
Sterol	receptor complex [GO:0043235]	65.96
Sterol	chromatin [GO:0000785]	65.96
Sterol	cytoplasm [GO:0005737]	5.83
Sterol	membrane [GO:0016020]	16.0
Sterol	intracellular membrane-bounded organelle [GO:0043231]	16.0
Sterol	endoplasmic reticulum membrane [GO:0005789]	16.0
Sterol	collagen-containing extracellular matrix [GO:0062023]	31.5
Sterol	secretory granule lumen [GO:0034774]	31.5
Sterol	azurophil granule lumen [GO:0035578]	31.5
Sterol	extracellular exosome [GO:0070062]	31.5
Sterol	blood microparticle [GO:0072562]	31.5
Sterol	platelet alpha granule lumen [GO:0031093]	31.5
Sterol	extracellular region [GO:0005576]	31.5
Sterol	extracellular space [GO:0005615]	31.5
Sterol	nucleus [GO:0005634]	31.5
Sterol	respiratory chain complex IV [GO:0045277]	21.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	21.0
Sterol	respiratory chain complex IV [GO:0045277]	21.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	21.0
Sterol	membrane [GO:0016020]	68.43
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	68.43
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	68.43
Sterol	transmembrane transporter complex [GO:1902495]	68.43
Sterol	synaptic vesicle membrane [GO:0030672]	68.43
Sterol	synaptic vesicle [GO:0008021]	68.43
Sterol	clathrin-coated vesicle membrane [GO:0030665]	68.43
Sterol	recycling endosome [GO:0055037]	69.55
Sterol	endosome [GO:0005768]	69.55
Sterol	Golgi membrane [GO:0000139]	69.55
Sterol	plasma membrane [GO:0005886]	69.55
Sterol	endoplasmic reticulum membrane [GO:0005789]	69.55
Sterol	mitochondrion [GO:0005739]	69.55
Sterol	external side of plasma membrane [GO:0009897]	69.55
Sterol	Golgi apparatus [GO:0005794]	69.55
Sterol	postsynaptic membrane [GO:0045211]	55.12
Sterol	acetylcholine-gated channel complex [GO:0005892]	55.12
Sterol	postsynaptic membrane [GO:0045211]	55.3
Sterol	acetylcholine-gated channel complex [GO:0005892]	55.3
Sterol	mitochondrial inner membrane [GO:0005743]	60.75
Sterol	respiratory chain complex IV [GO:0045277]	60.75
Sterol	endoplasmic reticulum membrane [GO:0005789]	64.5
Sterol	membrane [GO:0016020]	68.59
Sterol	membrane [GO:0016020]	77.71
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	77.71
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	77.71
Sterol	transmembrane transporter complex [GO:1902495]	77.71
Sterol	synaptic vesicle membrane [GO:0030672]	77.71
Sterol	synaptic vesicle [GO:0008021]	77.71
Sterol	clathrin-coated vesicle membrane [GO:0030665]	77.71
Sterol	recycling endosome [GO:0055037]	47.53
Sterol	endosome [GO:0005768]	47.53
Sterol	clathrin-coated pit [GO:0005905]	47.53
Sterol	early endosome [GO:0005769]	47.53
Sterol	intracellular membrane-bounded organelle [GO:0043231]	47.53
Sterol	plasma membrane [GO:0005886]	47.53
Sterol	external side of plasma membrane [GO:0009897]	47.53
Sterol	cell surface [GO:0009986]	47.53
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	57.0
Sterol	respiratory chain complex IV [GO:0045277]	57.0
