class	GO_CC	hydrophobicity_score
Glycerolipid	periplasmic space [GO:0042597]	45.5
Glycerolipid	plasma membrane [GO:0005886]	71.12
Glycerolipid	respirasome [GO:0070469]	71.12
Glycerolipid	plasma membrane [GO:0005886]	71.78
Glycerolipid	respirasome [GO:0070469]	71.78
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	64.38
Glycerolipid	respiratory chain complex IV [GO:0045277]	64.38
Glycerolipid	plasma membrane [GO:0005886]	52.17
Glycerolipid	respirasome [GO:0070469]	52.17
Glycerolipid	plasma membrane [GO:0005886]	38.89
Glycerolipid	respirasome [GO:0070469]	38.89
Glycerolipid	plasma membrane [GO:0005886]	85.67
Glycerolipid	respirasome [GO:0070469]	85.67
Glycerolipid	plasma membrane [GO:0005886]	29.33
Glycerolipid	respirasome [GO:0070469]	29.33
Glycerolipid	plasma membrane [GO:0005886]	41.08
Glycerolipid	respirasome [GO:0070469]	41.08
Glycerolipid	plasma membrane [GO:0005886]	78.0
Glycerolipid	respirasome [GO:0070469]	78.0
Glycerolipid	plasma membrane [GO:0005886]	71.0
Glycerolipid	respirasome [GO:0070469]	71.0
Glycerolipid	plasma membrane [GO:0005886]	44.43
Glycerolipid	respirasome [GO:0070469]	44.43
Glycerolipid	plasma membrane [GO:0005886]	-10.43
Glycerolipid	respirasome [GO:0070469]	-10.43
Glycerolipid	plasma membrane [GO:0005886]	62.5
Glycerolipid	respirasome [GO:0070469]	62.5
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	63.94
Glycerolipid	respiratory chain complex IV [GO:0045277]	63.94
Glycerolipid	plasma membrane [GO:0005886]	49.5
Glycerolipid	respirasome [GO:0070469]	49.5
Glycerolipid	plasma membrane [GO:0005886]	63.0
Glycerolipid	respirasome [GO:0070469]	63.0
Glycerolipid	postsynaptic density membrane [GO:0098839]	69.09
Glycerolipid	neuronal dense core vesicle [GO:0098992]	69.09
Glycerolipid	plasma membrane [GO:0005886]	69.09
Glycerolipid	presynaptic membrane [GO:0042734]	69.09
Glycerolipid	neuron projection [GO:0043005]	69.09
Glycerolipid	dendrite membrane [GO:0032590]	69.09
Glycerolipid	synaptic vesicle membrane [GO:0030672]	69.09
Glycerolipid	axon terminus [GO:0043679]	69.09
Glycerolipid	spine apparatus [GO:0097444]	69.09
Glycerolipid	postsynaptic density membrane [GO:0098839]	29.5
Glycerolipid	neuronal dense core vesicle [GO:0098992]	29.5
Glycerolipid	plasma membrane [GO:0005886]	29.5
Glycerolipid	presynaptic membrane [GO:0042734]	29.5
Glycerolipid	neuron projection [GO:0043005]	29.5
Glycerolipid	dendrite membrane [GO:0032590]	29.5
Glycerolipid	synaptic vesicle membrane [GO:0030672]	29.5
Glycerolipid	axon terminus [GO:0043679]	29.5
Glycerolipid	spine apparatus [GO:0097444]	29.5
Glycerolipid	postsynaptic density membrane [GO:0098839]	70.67
Glycerolipid	neuronal dense core vesicle [GO:0098992]	70.67
Glycerolipid	plasma membrane [GO:0005886]	70.67
Glycerolipid	presynaptic membrane [GO:0042734]	70.67
Glycerolipid	neuron projection [GO:0043005]	70.67
Glycerolipid	dendrite membrane [GO:0032590]	70.67
Glycerolipid	synaptic vesicle membrane [GO:0030672]	70.67
Glycerolipid	axon terminus [GO:0043679]	70.67
Glycerolipid	spine apparatus [GO:0097444]	70.67
Glycerolipid	postsynaptic density membrane [GO:0098839]	46.88
Glycerolipid	neuronal dense core vesicle [GO:0098992]	46.88
Glycerolipid	plasma membrane [GO:0005886]	46.88
Glycerolipid	presynaptic membrane [GO:0042734]	46.88
Glycerolipid	neuron projection [GO:0043005]	46.88
Glycerolipid	dendrite membrane [GO:0032590]	46.88
Glycerolipid	synaptic vesicle membrane [GO:0030672]	46.88
Glycerolipid	axon terminus [GO:0043679]	46.88
Glycerolipid	spine apparatus [GO:0097444]	46.88
Glycerolipid	postsynaptic density membrane [GO:0098839]	61.43
Glycerolipid	neuronal dense core vesicle [GO:0098992]	61.43
Glycerolipid	plasma membrane [GO:0005886]	61.43
Glycerolipid	presynaptic membrane [GO:0042734]	61.43
Glycerolipid	neuron projection [GO:0043005]	61.43
Glycerolipid	dendrite membrane [GO:0032590]	61.43
Glycerolipid	synaptic vesicle membrane [GO:0030672]	61.43
Glycerolipid	axon terminus [GO:0043679]	61.43
Glycerolipid	spine apparatus [GO:0097444]	61.43
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	57.62
Glycerolipid	dendrite [GO:0030425]	57.62
Glycerolipid	cytoplasm [GO:0005737]	57.62
Glycerolipid	plasma membrane [GO:0005886]	57.62
