class	GO_CC	hydrophobicity_score
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	57.53
Prenol	photosystem I reaction center [GO:0009538]	57.53
Prenol	plasma membrane-derived photosystem I [GO:0030094]	57.53
Prenol	plasma membrane light-harvesting complex [GO:0030077]	53.24
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	53.24
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	43.4
Prenol	photosystem I [GO:0009522]	43.4
Prenol	plasma membrane light-harvesting complex [GO:0030077]	60.67
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	60.67
Prenol	membrane [GO:0016020]	40.09
Prenol	chloroplast [GO:0009507]	40.09
Prenol	light-harvesting complex [GO:0030076]	40.09
Prenol	thylakoid [GO:0009579]	40.09
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.72
Prenol	photosystem I [GO:0009522]	69.72
Prenol	lipid droplet [GO:0005811]	42.73
Prenol	nucleoplasm [GO:0005654]	42.73
Prenol	nucleus [GO:0005634]	42.73
Prenol	cytosol [GO:0005829]	42.73
Prenol	protein farnesyltransferase complex [GO:0005965]	34.9
Prenol	microtubule associated complex [GO:0005875]	34.9
Prenol	cytosol [GO:0005829]	40.3
Prenol	extracellular exosome [GO:0070062]	40.3
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	45.41
Prenol	photosystem I [GO:0009522]	45.41
Prenol	photosystem II [GO:0009523]	48.71
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	48.71
Prenol	photosystem II [GO:0009523]	48.71
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	48.71
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	42.5
Prenol	photosystem I [GO:0009522]	42.5
Prenol	photosystem II [GO:0009523]	49.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	49.25
Prenol	photosystem II [GO:0009523]	49.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	49.25
Prenol	chloroplast thylakoid membrane [GO:0009535]	55.33
Prenol	plastoglobule [GO:0010287]	55.33
Prenol	chloroplast thylakoid [GO:0009534]	55.33
Prenol	photosystem I reaction center [GO:0009538]	55.33
Prenol	chloroplast [GO:0009507]	55.33
Prenol	chloroplast envelope [GO:0009941]	55.33
Prenol	nucleus [GO:0005634]	55.33
Prenol	thylakoid [GO:0009579]	55.33
Prenol	plasma membrane [GO:0005886]	51.0
Prenol	organelle inner membrane [GO:0019866]	51.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	51.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	50.38
Prenol	photosystem [GO:0009521]	50.38
Prenol	nucleus [GO:0005634]	26.69
Prenol	cytoplasm [GO:0005737]	26.69
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	56.2
Prenol	plasma membrane-derived photosystem I [GO:0030094]	56.2
Prenol	plasma membrane [GO:0005886]	40.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	73.64
Prenol	photosystem I [GO:0009522]	73.64
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	70.17
Prenol	photosystem I reaction center [GO:0009538]	70.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	70.17
Prenol	photosystem I [GO:0009522]	70.17
Prenol	plasma membrane light-harvesting complex [GO:0030077]	73.0
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	73.0
Prenol	photosystem II [GO:0009523]	38.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	38.14
Prenol	photosystem II [GO:0009523]	38.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	38.14
Prenol	membrane [GO:0016020]	33.1
Prenol	mitochondrion [GO:0005739]	33.1
Prenol	plasma membrane light-harvesting complex [GO:0030077]	52.0
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	52.0
Prenol	chloroplast thylakoid membrane [GO:0009535]	74.21
Prenol	photosystem I [GO:0009522]	74.21
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	66.1
Prenol	plasma membrane-derived photosystem I [GO:0030094]	66.1
Prenol	photosystem II [GO:0009523]	38.0
Prenol	chloroplast thylakoid membrane [GO:0009535]	38.0
Prenol	photosystem I [GO:0009522]	38.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	56.75
Prenol	photosystem I [GO:0009522]	56.75
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	56.75
Prenol	photosystem I [GO:0009522]	56.75
Prenol	plasma membrane light-harvesting complex [GO:0030077]	57.26
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	57.26
Prenol	photosystem II [GO:0009523]	58.12
Prenol	chloroplast thylakoid membrane [GO:0009535]	58.12
Prenol	photosystem I [GO:0009522]	58.12
Prenol	photosystem II [GO:0009523]	67.5
Prenol	chloroplast thylakoid membrane [GO:0009535]	67.5
Prenol	photosystem I [GO:0009522]	67.5
Prenol	plasma membrane [GO:0005886]	39.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	39.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.25
Prenol	photosystem I [GO:0009522]	69.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	51.9
Prenol	photosystem I [GO:0009522]	51.9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	51.9
Prenol	photosystem I [GO:0009522]	51.9
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	64.0
Prenol	photosystem I reaction center [GO:0009538]	64.0
Prenol	plasma membrane-derived photosystem I [GO:0030094]	64.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	64.0
Prenol	photosystem I reaction center [GO:0009538]	64.0
Prenol	plasma membrane-derived photosystem I [GO:0030094]	64.0
Prenol	photosystem I reaction center [GO:0009538]	63.2
Prenol	chloroplast thylakoid lumen [GO:0009543]	63.2
Prenol	cytoplasm [GO:0005737]	45.05
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	70.67
Prenol	photosystem I [GO:0009522]	70.67
Prenol	photosystem II [GO:0009523]	59.64
Prenol	chloroplast thylakoid membrane [GO:0009535]	59.64
Prenol	photosystem I [GO:0009522]	59.64
Prenol	plasma membrane [GO:0005886]	71.56
Prenol	organelle inner membrane [GO:0019866]	71.56
Prenol	plasma membrane light-harvesting complex [GO:0030077]	71.56
Prenol	photosystem II [GO:0009523]	69.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.36
Prenol	photosystem II [GO:0009523]	69.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.36
Prenol	plasma membrane light-harvesting complex [GO:0030077]	62.45
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	62.45
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	51.86
Prenol	photosystem I [GO:0009522]	51.86
Prenol	cytosol [GO:0005829]	42.27
Prenol	glutamatergic synapse [GO:0098978]	42.27
Prenol	nucleoplasm [GO:0005654]	42.27
Prenol	mitochondrion [GO:0005739]	42.27
Prenol	nuclear speck [GO:0016607]	42.27
Prenol	spindle pole [GO:0000922]	42.27
Prenol	nucleus [GO:0005634]	42.27
Prenol	cytoplasm [GO:0005737]	42.27
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	70.42
Prenol	photosystem I reaction center [GO:0009538]	70.42
Prenol	chloroplast thylakoid membrane [GO:0009535]	69.93
Prenol	photosystem I [GO:0009522]	69.93
Prenol	chloroplast thylakoid membrane [GO:0009535]	89.22
Prenol	photosystem I [GO:0009522]	89.22
Prenol	photosystem II [GO:0009523]	38.35
Prenol	chloroplast thylakoid membrane [GO:0009535]	38.35
Prenol	photosystem I [GO:0009522]	38.35
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	69.59
Prenol	photosystem I [GO:0009522]	69.59
Prenol	photosystem II [GO:0009523]	75.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	75.57
Prenol	photosystem II [GO:0009523]	75.57
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	75.57
Prenol	photosystem II [GO:0009523]	84.22
Prenol	chloroplast thylakoid membrane [GO:0009535]	84.22
Prenol	photosystem II [GO:0009523]	84.22
Prenol	chloroplast thylakoid membrane [GO:0009535]	84.22
Prenol	nucleoplasm [GO:0005654]	8.9
Prenol	cytoplasm [GO:0005737]	8.9
Prenol	cytosol [GO:0005829]	8.9
