class	GO_CC	pock_vol
Sterol	postsynaptic membrane [GO:0045211]	733.19
Sterol	synapse [GO:0045202]	733.19
Sterol	presynaptic membrane [GO:0042734]	733.19
Sterol	membrane raft [GO:0045121]	733.19
Sterol	cytosol [GO:0005829]	1196.13
Sterol	plasma membrane [GO:0005886]	439.53
Sterol	postsynaptic membrane [GO:0045211]	495.41
Sterol	external side of plasma membrane [GO:0009897]	495.41
Sterol	membrane [GO:0016020]	495.41
Sterol	dendrite [GO:0030425]	495.41
Sterol	neuron projection [GO:0043005]	495.41
Sterol	dendritic spine membrane [GO:0032591]	495.41
Sterol	neuronal cell body [GO:0043025]	495.41
Sterol	plasma membrane [GO:0005886]	495.41
Sterol	cytoplasm [GO:0005737]	1160.19
Sterol	mitochondrial inner membrane [GO:0005743]	422.55
Sterol	respiratory chain complex IV [GO:0045277]	422.55
Sterol	non-motile cilium [GO:0097730]	969.91
Sterol	ciliary membrane [GO:0060170]	969.91
Sterol	cilium [GO:0005929]	969.91
Sterol	plasma membrane [GO:0005886]	969.91
Sterol	synapse [GO:0045202]	969.91
Sterol	brush border membrane [GO:0031526]	969.91
Sterol	periplasmic space [GO:0042597]	969.91
Sterol	nucleoplasm [GO:0005654]	481.0
Sterol	nucleus [GO:0005634]	481.0
Sterol	RNA polymerase III complex [GO:0005666]	481.0
Sterol	plasma membrane [GO:0005886]	351.47
Sterol	endoplasmic reticulum membrane [GO:0005789]	486.12
Sterol	endoplasmic reticulum [GO:0005783]	486.12
Sterol	Golgi membrane [GO:0000139]	486.12
Sterol	Golgi apparatus [GO:0005794]	486.12
Sterol	mitochondrion [GO:0005739]	421.98
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	421.98
Sterol	mitochondrial respirasome [GO:0005746]	421.98
Sterol	respiratory chain complex IV [GO:0045277]	421.98
Sterol	GABA-ergic synapse [GO:0098982]	574.17
Sterol	plasma membrane [GO:0005886]	574.17
Sterol	postsynaptic membrane [GO:0045211]	574.17
Sterol	presynapse [GO:0098793]	574.17
Sterol	presynaptic membrane [GO:0042734]	574.17
Sterol	axon [GO:0030424]	574.17
Sterol	cell surface [GO:0009986]	574.17
Sterol	neuronal cell body [GO:0043025]	574.17
Sterol	plasma membrane [GO:0005886]	413.33
Sterol	voltage-gated calcium channel complex [GO:0005891]	432.13
Sterol	plasma membrane [GO:0005886]	432.13
Sterol	synapse [GO:0045202]	432.13
Sterol	neuronal cell body [GO:0043025]	432.13
Sterol	plasma membrane [GO:0005886]	881.87
Sterol	lysosome [GO:0005764]	881.87
Sterol	cardiac Troponin complex [GO:1990584]	580.26
Sterol	troponin complex [GO:0005861]	580.26
Sterol	cytosol [GO:0005829]	580.26
Sterol	lateral plasma membrane [GO:0016328]	929.5
Sterol	connexin complex [GO:0005922]	929.5
Sterol	endoplasmic reticulum membrane [GO:0005789]	929.5
