class	GO_CC	pock_vol
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	566.88
Fatty Acyl	recycling endosome [GO:0055037]	793.53
Fatty Acyl	cytosol [GO:0005829]	793.53
Fatty Acyl	clathrin-coated vesicle [GO:0030136]	793.53
Fatty Acyl	nucleus [GO:0005634]	793.53
Fatty Acyl	cytoplasm [GO:0005737]	793.53
Fatty Acyl	nucleolus [GO:0005730]	793.53
Fatty Acyl	plasma membrane [GO:0005886]	671.97
Fatty Acyl	membrane [GO:0016020]	0.0
Fatty Acyl	respiratory chain complex IV [GO:0045277]	185.28
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	185.28
Fatty Acyl	cytoplasm [GO:0005737]	385.81
Fatty Acyl	cytosol [GO:0005829]	422.98
Fatty Acyl	fascia adherens [GO:0005916]	422.98
Fatty Acyl	contractile fiber [GO:0043292]	422.98
Fatty Acyl	Golgi membrane [GO:0000139]	422.98
Fatty Acyl	intercalated disc [GO:0014704]	422.98
Fatty Acyl	connexin complex [GO:0005922]	422.98
Fatty Acyl	focal adhesion [GO:0005925]	422.98
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	422.98
Fatty Acyl	apical plasma membrane [GO:0016324]	422.98
Fatty Acyl	plasma membrane [GO:0005886]	422.98
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	422.98
Fatty Acyl	membrane raft [GO:0045121]	422.98
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	422.98
Fatty Acyl	lateral plasma membrane [GO:0016328]	422.98
Fatty Acyl	tight junction [GO:0070160]	422.98
Fatty Acyl	cytoplasm [GO:0005737]	422.98
Fatty Acyl	Golgi apparatus [GO:0005794]	422.98
Fatty Acyl	mitochondrion [GO:0005739]	422.98
Fatty Acyl	cell junction [GO:0030054]	422.98
Fatty Acyl	gap junction [GO:0005921]	422.98
Fatty Acyl	intermediate filament [GO:0005882]	422.98
Fatty Acyl	cell-cell contact zone [GO:0044291]	422.98
Fatty Acyl	nucleoplasm [GO:0005654]	422.98
Fatty Acyl	nucleus [GO:0005634]	422.98
Fatty Acyl	membrane [GO:0016020]	318.54
Fatty Acyl	cytoplasm [GO:0005737]	1547.33
Fatty Acyl	extracellular exosome [GO:0070062]	743.25
Fatty Acyl	cytoplasm [GO:0005737]	743.25
Fatty Acyl	protein-containing complex [GO:0032991]	743.25
Fatty Acyl	blood microparticle [GO:0072562]	743.25
Fatty Acyl	Golgi apparatus [GO:0005794]	743.25
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	743.25
Fatty Acyl	extracellular region [GO:0005576]	743.25
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	743.25
Fatty Acyl	extracellular space [GO:0005615]	743.25
Fatty Acyl	nucleus [GO:0005634]	743.25
Fatty Acyl	endoplasmic reticulum [GO:0005783]	743.25
Fatty Acyl	host cell cytoplasm [GO:0030430]	416.23
Fatty Acyl	cytosol [GO:0005829]	229.49
Fatty Acyl	chloride channel complex [GO:0034707]	306.99
Fatty Acyl	postsynaptic membrane [GO:0045211]	306.99
Fatty Acyl	plasma membrane [GO:0005886]	306.99
Fatty Acyl	presynaptic membrane [GO:0042734]	306.99
Fatty Acyl	GABA-A receptor complex [GO:1902711]	306.99
Fatty Acyl	GABA-ergic synapse [GO:0098982]	306.99
Fatty Acyl	glutamatergic synapse [GO:0098978]	306.99
Fatty Acyl	neuron projection [GO:0043005]	306.99
Fatty Acyl	synapse [GO:0045202]	306.99
Fatty Acyl	transmembrane transporter complex [GO:1902495]	306.99
Fatty Acyl	membrane [GO:0016020]	479.95
Fatty Acyl	plasma membrane [GO:0005886]	563.66
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	563.66
Fatty Acyl	plasma membrane [GO:0005886]	363.4
Fatty Acyl	ciliary plasm [GO:0097014]	197.18
Fatty Acyl	cytosol [GO:0005829]	197.18
Fatty Acyl	cytoplasm [GO:0005737]	197.18
Fatty Acyl	glycosome [GO:0020015]	197.18
Fatty Acyl	cytoophidium [GO:0097268]	165.68
Fatty Acyl	cytosol [GO:0005829]	165.68
Fatty Acyl	protein-containing complex [GO:0032991]	165.68
Fatty Acyl	membrane [GO:0016020]	515.51
Fatty Acyl	host cell plasma membrane [GO:0020002]	515.51
Fatty Acyl	host cell cytoplasm [GO:0030430]	515.51
Fatty Acyl	virion membrane [GO:0055036]	515.51
Fatty Acyl	T=4 icosahedral viral capsid [GO:0039619]	515.51
Fatty Acyl	host cell nucleus [GO:0042025]	515.51
Fatty Acyl	chloride channel complex [GO:0034707]	228.85
Fatty Acyl	postsynaptic membrane [GO:0045211]	228.85
Fatty Acyl	plasma membrane [GO:0005886]	228.85
Fatty Acyl	presynaptic membrane [GO:0042734]	228.85
Fatty Acyl	GABA-A receptor complex [GO:1902711]	228.85
Fatty Acyl	GABA-ergic synapse [GO:0098982]	228.85
Fatty Acyl	glutamatergic synapse [GO:0098978]	228.85
Fatty Acyl	neuron projection [GO:0043005]	228.85
Fatty Acyl	synapse [GO:0045202]	228.85
Fatty Acyl	transmembrane transporter complex [GO:1902495]	228.85
Fatty Acyl	mitochondrion [GO:0005739]	181.37
Fatty Acyl	cytoplasm [GO:0005737]	181.37
Fatty Acyl	apical plasma membrane [GO:0016324]	109.43
Fatty Acyl	astrocyte projection [GO:0097449]	109.43
Fatty Acyl	cell surface [GO:0009986]	109.43
Fatty Acyl	plasma membrane [GO:0005886]	109.43
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	109.43
Fatty Acyl	calyx of Held [GO:0044305]	109.43
Fatty Acyl	neuronal cell body [GO:0043025]	109.43
Fatty Acyl	axon [GO:0030424]	109.43
Fatty Acyl	axon terminus [GO:0043679]	109.43
Fatty Acyl	endoplasmic reticulum [GO:0005783]	109.43
Fatty Acyl	plasma membrane [GO:0005886]	833.53
Fatty Acyl	connexin complex [GO:0005922]	833.53
Fatty Acyl	synapse [GO:0045202]	833.53
Fatty Acyl	periplasmic space [GO:0042597]	152.12
Fatty Acyl	cytosol [GO:0005829]	899.51
Fatty Acyl	cytoplasm [GO:0005737]	899.51
Fatty Acyl	chloride channel complex [GO:0034707]	354.31
Fatty Acyl	postsynaptic membrane [GO:0045211]	354.31
Fatty Acyl	plasma membrane [GO:0005886]	354.31
Fatty Acyl	GABA-A receptor complex [GO:1902711]	354.31
Fatty Acyl	neuron projection [GO:0043005]	354.31
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	354.31
Fatty Acyl	synapse [GO:0045202]	354.31
Fatty Acyl	extracellular exosome [GO:0070062]	577.77
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	577.77
Fatty Acyl	endolysosome lumen [GO:0036021]	577.77
Fatty Acyl	Golgi apparatus [GO:0005794]	577.77
Fatty Acyl	extracellular space [GO:0005615]	577.77
Fatty Acyl	chromaffin granule [GO:0042583]	577.77
Fatty Acyl	apical plasma membrane [GO:0016324]	577.77
Fatty Acyl	lysosomal lumen [GO:0043202]	577.77
Fatty Acyl	plasma membrane [GO:0005886]	577.77
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	577.77
Fatty Acyl	multivesicular body [GO:0005771]	577.77
Fatty Acyl	lysosome [GO:0005764]	577.77
Fatty Acyl	extracellular region [GO:0005576]	577.77
Fatty Acyl	endocytic vesicle lumen [GO:0071682]	577.77
Fatty Acyl	nucleus [GO:0005634]	577.77
Fatty Acyl	plasma membrane [GO:0005886]	410.33
Fatty Acyl	chloride channel complex [GO:0034707]	358.89
Fatty Acyl	GABA receptor complex [GO:1902710]	358.89
Fatty Acyl	plasma membrane [GO:0005886]	358.89
Fatty Acyl	postsynaptic specialization membrane [GO:0099634]	358.89
Fatty Acyl	GABA-A receptor complex [GO:1902711]	358.89
Fatty Acyl	GABA-ergic synapse [GO:0098982]	358.89
Fatty Acyl	glutamatergic synapse [GO:0098978]	358.89
Fatty Acyl	neuron projection [GO:0043005]	358.89
Fatty Acyl	presynaptic active zone membrane [GO:0048787]	358.89
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	358.89
Fatty Acyl	synapse [GO:0045202]	358.89
Fatty Acyl	pore complex [GO:0046930]	304.21
Fatty Acyl	cell outer membrane [GO:0009279]	304.21
Fatty Acyl	plasma membrane [GO:0005886]	38.77
Fatty Acyl	membrane [GO:0016020]	38.77
Fatty Acyl	cell-cell junction [GO:0005911]	671.75
Fatty Acyl	cytosol [GO:0005829]	671.75
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	671.75
Fatty Acyl	ciliary basal body [GO:0036064]	671.75
Fatty Acyl	basal plasma membrane [GO:0009925]	671.75
Fatty Acyl	plasma membrane [GO:0005886]	671.75
Fatty Acyl	motile cilium [GO:0031514]	671.75
Fatty Acyl	non-motile cilium [GO:0097730]	671.75
Fatty Acyl	ciliary membrane [GO:0060170]	671.75
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	671.75
Fatty Acyl	migrasome [GO:0140494]	671.75
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	671.75
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	671.75
Fatty Acyl	lamellipodium [GO:0030027]	671.75
Fatty Acyl	membrane [GO:0016020]	671.75
Fatty Acyl	extracellular exosome [GO:0070062]	671.75
Fatty Acyl	basolateral plasma membrane [GO:0016323]	671.75
Fatty Acyl	cytoplasm [GO:0005737]	671.75
Fatty Acyl	Golgi apparatus [GO:0005794]	671.75
Fatty Acyl	polycystin complex [GO:0002133]	671.75
Fatty Acyl	cilium [GO:0005929]	671.75
Fatty Acyl	basal cortex [GO:0045180]	671.75
Fatty Acyl	mitotic spindle [GO:0072686]	671.75
Fatty Acyl	cation channel complex [GO:0034703]	671.75
Fatty Acyl	endoplasmic reticulum [GO:0005783]	671.75
Fatty Acyl	periplasmic space [GO:0042597]	462.56
Fatty Acyl	membrane [GO:0016020]	643.14
Fatty Acyl	extracellular exosome [GO:0070062]	268.42
Fatty Acyl	cytosol [GO:0005829]	268.42
Fatty Acyl	extracellular space [GO:0005615]	268.42
Fatty Acyl	nucleus [GO:0005634]	268.42
Fatty Acyl	plasma membrane [GO:0005886]	343.63
Fatty Acyl	respirasome [GO:0070469]	343.63
Fatty Acyl	plasma membrane [GO:0005886]	278.37
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	278.37
Fatty Acyl	chloride channel complex [GO:0034707]	368.07
Fatty Acyl	postsynaptic membrane [GO:0045211]	368.07
Fatty Acyl	plasma membrane [GO:0005886]	368.07
Fatty Acyl	presynaptic membrane [GO:0042734]	368.07
Fatty Acyl	GABA-A receptor complex [GO:1902711]	368.07
Fatty Acyl	GABA-ergic synapse [GO:0098982]	368.07
Fatty Acyl	glutamatergic synapse [GO:0098978]	368.07
Fatty Acyl	neuron projection [GO:0043005]	368.07
Fatty Acyl	synapse [GO:0045202]	368.07
Fatty Acyl	transmembrane transporter complex [GO:1902495]	368.07
Fatty Acyl	membrane [GO:0016020]	365.65
Fatty Acyl	cytosol [GO:0005829]	147.49
Fatty Acyl	plasma membrane [GO:0005886]	581.87
Fatty Acyl	ciliary plasm [GO:0097014]	32.88
Fatty Acyl	cytosol [GO:0005829]	32.88
Fatty Acyl	cytoplasm [GO:0005737]	32.88
Fatty Acyl	glycosome [GO:0020015]	32.88
Fatty Acyl	plasma membrane [GO:0005886]	197.31
Fatty Acyl	azurophil granule lumen [GO:0035578]	617.89
Fatty Acyl	cytosol [GO:0005829]	617.89
Fatty Acyl	ficolin-1-rich granule lumen [GO:1904813]	617.89
Fatty Acyl	extracellular exosome [GO:0070062]	617.89
Fatty Acyl	nucleoplasm [GO:0005654]	617.89
Fatty Acyl	membrane [GO:0016020]	617.89
Fatty Acyl	extracellular region [GO:0005576]	617.89
Fatty Acyl	plasma membrane [GO:0005886]	189.5
Fatty Acyl	cell-cell junction [GO:0005911]	741.57
