class	GO_CC	pock_vol
Glycerolipid	periplasmic space [GO:0042597]	267.8
Glycerolipid	plasma membrane [GO:0005886]	336.83
Glycerolipid	respirasome [GO:0070469]	336.83
Glycerolipid	plasma membrane [GO:0005886]	502.51
Glycerolipid	respirasome [GO:0070469]	502.51
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	1026.92
Glycerolipid	respiratory chain complex IV [GO:0045277]	1026.92
Glycerolipid	plasma membrane [GO:0005886]	306.65
Glycerolipid	respirasome [GO:0070469]	306.65
Glycerolipid	plasma membrane [GO:0005886]	354.67
Glycerolipid	respirasome [GO:0070469]	354.67
Glycerolipid	plasma membrane [GO:0005886]	200.4
Glycerolipid	respirasome [GO:0070469]	200.4
Glycerolipid	plasma membrane [GO:0005886]	226.59
Glycerolipid	respirasome [GO:0070469]	226.59
Glycerolipid	plasma membrane [GO:0005886]	535.67
Glycerolipid	respirasome [GO:0070469]	535.67
Glycerolipid	plasma membrane [GO:0005886]	216.03
Glycerolipid	respirasome [GO:0070469]	216.03
Glycerolipid	plasma membrane [GO:0005886]	463.51
Glycerolipid	respirasome [GO:0070469]	463.51
Glycerolipid	plasma membrane [GO:0005886]	407.92
Glycerolipid	respirasome [GO:0070469]	407.92
Glycerolipid	plasma membrane [GO:0005886]	187.56
Glycerolipid	respirasome [GO:0070469]	187.56
Glycerolipid	plasma membrane [GO:0005886]	505.82
Glycerolipid	respirasome [GO:0070469]	505.82
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	794.26
Glycerolipid	respiratory chain complex IV [GO:0045277]	794.26
Glycerolipid	plasma membrane [GO:0005886]	322.42
Glycerolipid	respirasome [GO:0070469]	322.42
Glycerolipid	plasma membrane [GO:0005886]	110.71
Glycerolipid	respirasome [GO:0070469]	110.71
Glycerolipid	postsynaptic density membrane [GO:0098839]	515.17
Glycerolipid	neuronal dense core vesicle [GO:0098992]	515.17
Glycerolipid	plasma membrane [GO:0005886]	515.17
Glycerolipid	presynaptic membrane [GO:0042734]	515.17
Glycerolipid	neuron projection [GO:0043005]	515.17
Glycerolipid	dendrite membrane [GO:0032590]	515.17
Glycerolipid	synaptic vesicle membrane [GO:0030672]	515.17
Glycerolipid	axon terminus [GO:0043679]	515.17
Glycerolipid	spine apparatus [GO:0097444]	515.17
Glycerolipid	postsynaptic density membrane [GO:0098839]	398.99
Glycerolipid	neuronal dense core vesicle [GO:0098992]	398.99
Glycerolipid	plasma membrane [GO:0005886]	398.99
Glycerolipid	presynaptic membrane [GO:0042734]	398.99
Glycerolipid	neuron projection [GO:0043005]	398.99
Glycerolipid	dendrite membrane [GO:0032590]	398.99
Glycerolipid	synaptic vesicle membrane [GO:0030672]	398.99
Glycerolipid	axon terminus [GO:0043679]	398.99
Glycerolipid	spine apparatus [GO:0097444]	398.99
Glycerolipid	postsynaptic density membrane [GO:0098839]	233.55
Glycerolipid	neuronal dense core vesicle [GO:0098992]	233.55
Glycerolipid	plasma membrane [GO:0005886]	233.55
Glycerolipid	presynaptic membrane [GO:0042734]	233.55
Glycerolipid	neuron projection [GO:0043005]	233.55
Glycerolipid	dendrite membrane [GO:0032590]	233.55
Glycerolipid	synaptic vesicle membrane [GO:0030672]	233.55
Glycerolipid	axon terminus [GO:0043679]	233.55
Glycerolipid	spine apparatus [GO:0097444]	233.55
Glycerolipid	postsynaptic density membrane [GO:0098839]	724.79
Glycerolipid	neuronal dense core vesicle [GO:0098992]	724.79
Glycerolipid	plasma membrane [GO:0005886]	724.79
Glycerolipid	presynaptic membrane [GO:0042734]	724.79
Glycerolipid	neuron projection [GO:0043005]	724.79
Glycerolipid	dendrite membrane [GO:0032590]	724.79
Glycerolipid	synaptic vesicle membrane [GO:0030672]	724.79
Glycerolipid	axon terminus [GO:0043679]	724.79
Glycerolipid	spine apparatus [GO:0097444]	724.79
Glycerolipid	postsynaptic density membrane [GO:0098839]	672.94
Glycerolipid	neuronal dense core vesicle [GO:0098992]	672.94
Glycerolipid	plasma membrane [GO:0005886]	672.94
Glycerolipid	presynaptic membrane [GO:0042734]	672.94
Glycerolipid	neuron projection [GO:0043005]	672.94
Glycerolipid	dendrite membrane [GO:0032590]	672.94
Glycerolipid	synaptic vesicle membrane [GO:0030672]	672.94
Glycerolipid	axon terminus [GO:0043679]	672.94
Glycerolipid	spine apparatus [GO:0097444]	672.94
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	373.94
Glycerolipid	dendrite [GO:0030425]	373.94
Glycerolipid	cytoplasm [GO:0005737]	373.94
Glycerolipid	plasma membrane [GO:0005886]	373.94
Glycerolipid	nucleoplasm [GO:0005654]	373.94
Glycerolipid	synapse [GO:0045202]	373.94
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	70.2
Glycerolipid	dendrite [GO:0030425]	70.2
Glycerolipid	cytoplasm [GO:0005737]	70.2
Glycerolipid	plasma membrane [GO:0005886]	70.2
Glycerolipid	nucleoplasm [GO:0005654]	70.2
Glycerolipid	synapse [GO:0045202]	70.2
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	1274.79
Glycerolipid	respiratory chain complex IV [GO:0045277]	1274.79
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	749.31
Glycerolipid	dendrite [GO:0030425]	749.31
Glycerolipid	cytoplasm [GO:0005737]	749.31
Glycerolipid	plasma membrane [GO:0005886]	749.31
Glycerolipid	nucleoplasm [GO:0005654]	749.31
Glycerolipid	synapse [GO:0045202]	749.31
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	93.24
Glycerolipid	dendrite [GO:0030425]	93.24
Glycerolipid	cytoplasm [GO:0005737]	93.24
Glycerolipid	plasma membrane [GO:0005886]	93.24
Glycerolipid	nucleoplasm [GO:0005654]	93.24
Glycerolipid	synapse [GO:0045202]	93.24
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	497.4
Glycerolipid	dendrite [GO:0030425]	497.4
Glycerolipid	cytoplasm [GO:0005737]	497.4
Glycerolipid	plasma membrane [GO:0005886]	497.4
Glycerolipid	nucleoplasm [GO:0005654]	497.4
Glycerolipid	synapse [GO:0045202]	497.4
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	749.2
Glycerolipid	dendrite [GO:0030425]	749.2
Glycerolipid	cytoplasm [GO:0005737]	749.2
Glycerolipid	plasma membrane [GO:0005886]	749.2
Glycerolipid	nucleoplasm [GO:0005654]	749.2
Glycerolipid	synapse [GO:0045202]	749.2
Glycerolipid	periplasmic space [GO:0042597]	211.61
Glycerolipid	periplasmic space [GO:0042597]	386.86
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	1002.73
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	32.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	105.49
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	329.53
Glycerolipid	respiratory chain complex IV [GO:0045277]	488.87
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	488.87
Glycerolipid	plasma membrane [GO:0005886]	0.0
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	91.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	91.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	1176.35
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	1176.35
Glycerolipid	periplasmic space [GO:0042597]	562.52
Glycerolipid	periplasmic space [GO:0042597]	220.4
Glycerolipid	periplasmic space [GO:0042597]	361.22
Glycerolipid	bicellular tight junction [GO:0005923]	678.22
Glycerolipid	plasma membrane [GO:0005886]	678.22
Glycerolipid	lateral plasma membrane [GO:0016328]	678.22
Glycerolipid	bicellular tight junction [GO:0005923]	629.25
Glycerolipid	plasma membrane [GO:0005886]	629.25
Glycerolipid	lateral plasma membrane [GO:0016328]	629.25
Glycerolipid	photosystem II [GO:0009523]	387.07
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	387.07
Glycerolipid	photosystem II [GO:0009523]	387.07
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	387.07
Glycerolipid	photosystem II [GO:0009523]	602.79
