class	GO_CC	pock_vol
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	585.6
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	848.68
Prenol	photosystem I reaction center [GO:0009538]	848.68
Prenol	plasma membrane-derived photosystem I [GO:0030094]	848.68
Prenol	plasma membrane light-harvesting complex [GO:0030077]	1072.1
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	1072.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	674.17
Prenol	photosystem I [GO:0009522]	674.17
Prenol	plasma membrane light-harvesting complex [GO:0030077]	545.32
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	545.32
Prenol	membrane [GO:0016020]	559.62
Prenol	chloroplast [GO:0009507]	559.62
Prenol	light-harvesting complex [GO:0030076]	559.62
Prenol	thylakoid [GO:0009579]	559.62
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	907.02
Prenol	photosystem I [GO:0009522]	907.02
Prenol	lipid droplet [GO:0005811]	587.87
Prenol	nucleoplasm [GO:0005654]	587.87
Prenol	nucleus [GO:0005634]	587.87
Prenol	cytosol [GO:0005829]	587.87
Prenol	protein farnesyltransferase complex [GO:0005965]	836.66
Prenol	microtubule associated complex [GO:0005875]	836.66
Prenol	cytosol [GO:0005829]	598.79
Prenol	extracellular exosome [GO:0070062]	598.79
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	839.13
Prenol	photosystem I [GO:0009522]	839.13
Prenol	photosystem II [GO:0009523]	291.13
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	291.13
Prenol	photosystem II [GO:0009523]	291.13
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	291.13
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	542.96
Prenol	photosystem I [GO:0009522]	542.96
Prenol	photosystem II [GO:0009523]	869.52
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	869.52
Prenol	photosystem II [GO:0009523]	869.52
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	869.52
Prenol	chloroplast thylakoid membrane [GO:0009535]	360.74
Prenol	plastoglobule [GO:0010287]	360.74
Prenol	chloroplast thylakoid [GO:0009534]	360.74
Prenol	photosystem I reaction center [GO:0009538]	360.74
Prenol	chloroplast [GO:0009507]	360.74
Prenol	chloroplast envelope [GO:0009941]	360.74
Prenol	nucleus [GO:0005634]	360.74
Prenol	thylakoid [GO:0009579]	360.74
Prenol	plasma membrane [GO:0005886]	447.31
Prenol	organelle inner membrane [GO:0019866]	447.31
Prenol	plasma membrane light-harvesting complex [GO:0030077]	447.31
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	238.1
Prenol	photosystem [GO:0009521]	238.1
Prenol	nucleus [GO:0005634]	638.15
Prenol	cytoplasm [GO:0005737]	638.15
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	348.75
Prenol	plasma membrane-derived photosystem I [GO:0030094]	348.75
Prenol	plasma membrane [GO:0005886]	683.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	472.1
Prenol	photosystem I [GO:0009522]	472.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1146.35
Prenol	photosystem I reaction center [GO:0009538]	1146.35
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	1146.35
Prenol	photosystem I [GO:0009522]	1146.35
Prenol	plasma membrane light-harvesting complex [GO:0030077]	1493.66
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	1493.66
Prenol	photosystem II [GO:0009523]	357.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	357.65
Prenol	photosystem II [GO:0009523]	357.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	357.65
Prenol	membrane [GO:0016020]	582.67
Prenol	mitochondrion [GO:0005739]	582.67
Prenol	plasma membrane light-harvesting complex [GO:0030077]	985.26
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	985.26
Prenol	chloroplast thylakoid membrane [GO:0009535]	853.33
Prenol	photosystem I [GO:0009522]	853.33
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	459.11
Prenol	plasma membrane-derived photosystem I [GO:0030094]	459.11
Prenol	photosystem II [GO:0009523]	61.48
Prenol	chloroplast thylakoid membrane [GO:0009535]	61.48
Prenol	photosystem I [GO:0009522]	61.48
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	734.03
Prenol	photosystem I [GO:0009522]	734.03
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	734.03
Prenol	photosystem I [GO:0009522]	734.03
Prenol	plasma membrane light-harvesting complex [GO:0030077]	985.22
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	985.22
Prenol	photosystem II [GO:0009523]	524.65
Prenol	chloroplast thylakoid membrane [GO:0009535]	524.65
Prenol	photosystem I [GO:0009522]	524.65
Prenol	photosystem II [GO:0009523]	582.2
Prenol	chloroplast thylakoid membrane [GO:0009535]	582.2
Prenol	photosystem I [GO:0009522]	582.2
Prenol	plasma membrane [GO:0005886]	103.37
Prenol	plasma membrane light-harvesting complex [GO:0030077]	103.37
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	620.15
Prenol	photosystem I [GO:0009522]	620.15
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	608.86
Prenol	photosystem I [GO:0009522]	608.86
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	608.86
Prenol	photosystem I [GO:0009522]	608.86
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	579.51
Prenol	photosystem I reaction center [GO:0009538]	579.51
Prenol	plasma membrane-derived photosystem I [GO:0030094]	579.51
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	579.51
Prenol	photosystem I reaction center [GO:0009538]	579.51
Prenol	plasma membrane-derived photosystem I [GO:0030094]	579.51
Prenol	photosystem I reaction center [GO:0009538]	261.82
Prenol	chloroplast thylakoid lumen [GO:0009543]	261.82
Prenol	cytoplasm [GO:0005737]	663.55
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	38.43
Prenol	photosystem I [GO:0009522]	38.43
Prenol	photosystem II [GO:0009523]	445.1
Prenol	chloroplast thylakoid membrane [GO:0009535]	445.1
Prenol	photosystem I [GO:0009522]	445.1
Prenol	plasma membrane [GO:0005886]	520.35
Prenol	organelle inner membrane [GO:0019866]	520.35
Prenol	plasma membrane light-harvesting complex [GO:0030077]	520.35
Prenol	photosystem II [GO:0009523]	542.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	542.1
Prenol	photosystem II [GO:0009523]	542.1
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	542.1
Prenol	plasma membrane light-harvesting complex [GO:0030077]	595.91
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	595.91
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	328.78
Prenol	photosystem I [GO:0009522]	328.78
Prenol	cytosol [GO:0005829]	629.72
Prenol	glutamatergic synapse [GO:0098978]	629.72
Prenol	nucleoplasm [GO:0005654]	629.72
Prenol	mitochondrion [GO:0005739]	629.72
Prenol	nuclear speck [GO:0016607]	629.72
Prenol	spindle pole [GO:0000922]	629.72
Prenol	nucleus [GO:0005634]	629.72
Prenol	cytoplasm [GO:0005737]	629.72
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	629.28
Prenol	photosystem I reaction center [GO:0009538]	629.28
Prenol	chloroplast thylakoid membrane [GO:0009535]	651.82
Prenol	photosystem I [GO:0009522]	651.82
Prenol	chloroplast thylakoid membrane [GO:0009535]	569.48
Prenol	photosystem I [GO:0009522]	569.48
Prenol	photosystem II [GO:0009523]	1475.19
Prenol	chloroplast thylakoid membrane [GO:0009535]	1475.19
Prenol	photosystem I [GO:0009522]	1475.19
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	688.99
Prenol	photosystem I [GO:0009522]	688.99
Prenol	photosystem II [GO:0009523]	677.55
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	677.55
Prenol	photosystem II [GO:0009523]	677.55
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	677.55
Prenol	photosystem II [GO:0009523]	631.01
Prenol	chloroplast thylakoid membrane [GO:0009535]	631.01
Prenol	photosystem II [GO:0009523]	631.01
Prenol	chloroplast thylakoid membrane [GO:0009535]	631.01
Prenol	nucleoplasm [GO:0005654]	601.56
Prenol	cytoplasm [GO:0005737]	601.56
Prenol	cytosol [GO:0005829]	601.56
Prenol	chloroplast thylakoid membrane [GO:0009535]	300.05
Prenol	photosystem II [GO:0009523]	327.25
Prenol	chloroplast thylakoid membrane [GO:0009535]	327.25
Prenol	photosystem I [GO:0009522]	327.25
Prenol	photosystem II reaction center [GO:0009539]	578.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	578.17
Prenol	photosystem II reaction center [GO:0009539]	578.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	578.17
Prenol	plasma membrane [GO:0005886]	0.0
Prenol	external side of plasma membrane [GO:0009897]	0.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	897.92
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	897.92
Prenol	chloroplast thylakoid membrane [GO:0009535]	967.27
Prenol	photosystem I [GO:0009522]	967.27
Prenol	photosystem II [GO:0009523]	784.34
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	784.34
Prenol	photosystem II [GO:0009523]	784.34
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	784.34
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	529.38
Prenol	photosystem I [GO:0009522]	529.38
Prenol	proton-transporting V-type ATPase complex [GO:0033176]	183.43
Prenol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	183.43
Prenol	Golgi membrane [GO:0000139]	183.43
Prenol	membrane [GO:0016020]	183.43
Prenol	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	183.43
Prenol	fungal-type vacuole membrane [GO:0000329]	183.43
Prenol	plasma membrane [GO:0005886]	179.47
Prenol	organelle inner membrane [GO:0019866]	179.47
Prenol	plasma membrane light-harvesting complex [GO:0030077]	179.47
Prenol	photosystem II [GO:0009523]	528.91
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	528.91
Prenol	succinate dehydrogenase complex [GO:0045281]	581.76
Prenol	mitochondrial inner membrane [GO:0005743]	581.76
Prenol	membrane [GO:0016020]	1310.01
Prenol	plastid [GO:0009536]	1310.01
Prenol	light-harvesting complex [GO:0030076]	1310.01
Prenol	membrane [GO:0016020]	1452.84
Prenol	endoplasmic reticulum membrane [GO:0005789]	1452.84
Prenol	oligosaccharyltransferase complex [GO:0008250]	1452.84
Prenol	oligosaccharyltransferase III complex [GO:0035000]	1452.84
Prenol	late endosome [GO:0005770]	965.37
Prenol	cytoplasm [GO:0005737]	965.37
Prenol	photosystem II [GO:0009523]	325.53
Prenol	chloroplast thylakoid membrane [GO:0009535]	325.53
Prenol	photosystem II [GO:0009523]	325.53
Prenol	chloroplast thylakoid membrane [GO:0009535]	325.53
Prenol	photosystem II [GO:0009523]	719.97
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	719.97
Prenol	photosystem II [GO:0009523]	719.97
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	719.97
Prenol	membrane [GO:0016020]	841.86
Prenol	light-harvesting complex [GO:0030076]	841.86
Prenol	plastid [GO:0009536]	841.86
Prenol	plasma membrane [GO:0005886]	630.56
Prenol	plasma membrane light-harvesting complex [GO:0030077]	630.56
Prenol	photosystem II [GO:0009523]	1558.05
Prenol	chloroplast thylakoid membrane [GO:0009535]	1558.05
Prenol	photosystem I [GO:0009522]	1558.05
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	547.56
Prenol	photosystem I [GO:0009522]	547.56
Prenol	photosystem II [GO:0009523]	751.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	751.36
Prenol	photosystem II [GO:0009523]	751.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	751.36
Prenol	chloroplast thylakoid membrane [GO:0009535]	121.65
Prenol	photosystem I [GO:0009522]	121.65
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	1243.63
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	410.12
Prenol	plasma membrane light-harvesting complex [GO:0030077]	410.12
Prenol	protein farnesyltransferase complex [GO:0005965]	268.2
Prenol	microtubule associated complex [GO:0005875]	268.2
Prenol	cytoplasm [GO:0005737]	268.2
Prenol	CAAX-protein geranylgeranyltransferase complex [GO:0005953]	268.2
Prenol	photosystem II [GO:0009523]	618.24
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	618.24
Prenol	photosystem II [GO:0009523]	618.24
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	618.24
Prenol	photosystem II [GO:0009523]	943.63
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	943.63
Prenol	photosystem II [GO:0009523]	943.63
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	943.63
Prenol	photosystem I [GO:0009522]	225.25
Prenol	plasma membrane [GO:0005886]	235.94
Prenol	organelle inner membrane [GO:0019866]	235.94
Prenol	plasma membrane light-harvesting complex [GO:0030077]	235.94
Prenol	photosystem II [GO:0009523]	490.2
Prenol	chloroplast thylakoid membrane [GO:0009535]	490.2
Prenol	photosystem I [GO:0009522]	490.2
Prenol	plasma membrane [GO:0005886]	442.26
Prenol	plasma membrane light-harvesting complex [GO:0030077]	442.26
Prenol	plasma membrane light-harvesting complex [GO:0030077]	240.67
Prenol	photosystem II reaction center [GO:0009539]	467.48
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	467.48
Prenol	membrane [GO:0016020]	294.43
Prenol	cytosol [GO:0005829]	294.43
Prenol	plasma membrane fumarate reductase complex [GO:0045284]	294.43
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	525.18
Prenol	plasma membrane-derived photosystem I [GO:0030094]	525.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	525.18
Prenol	plasma membrane-derived photosystem I [GO:0030094]	525.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0.0
Prenol	photosystem I [GO:0009522]	0.0
Prenol	plasma membrane [GO:0005886]	1620.62
Prenol	photosystem II [GO:0009523]	650.67
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	650.67
Prenol	nucleoplasm [GO:0005654]	865.85
Prenol	nucleus [GO:0005634]	865.85
Prenol	photosystem I [GO:0009522]	35.64
Prenol	photosystem I [GO:0009522]	35.64
Prenol	photosystem II reaction center [GO:0009539]	676.7
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	676.7
Prenol	photosystem II reaction center [GO:0009539]	676.7
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	676.7
Prenol	chloroplast thylakoid membrane [GO:0009535]	402.99
Prenol	photosystem I [GO:0009522]	402.99
Prenol	photosystem II [GO:0009523]	402.99
Prenol	chloroplast thylakoid membrane [GO:0009535]	402.99
Prenol	photosystem I [GO:0009522]	402.99
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	1162.07
Prenol	plasma membrane [GO:0005886]	520.87
Prenol	plasma membrane light-harvesting complex [GO:0030077]	520.87
Prenol	sperm head plasma membrane [GO:1990913]	548.85
Prenol	photoreceptor outer segment membrane [GO:0042622]	548.85
Prenol	cell-cell junction [GO:0005911]	548.85
Prenol	Golgi membrane [GO:0000139]	548.85
Prenol	photoreceptor disc membrane [GO:0097381]	548.85
Prenol	plasma membrane [GO:0005886]	548.85
Prenol	membrane [GO:0016020]	548.85
Prenol	photoreceptor outer segment [GO:0001750]	548.85
Prenol	rod photoreceptor outer segment [GO:0120200]	548.85
Prenol	photoreceptor inner segment membrane [GO:0060342]	548.85
Prenol	outer membrane [GO:0019867]	548.85
Prenol	G protein-coupled receptor complex [GO:0097648]	548.85
Prenol	sperm midpiece [GO:0097225]	548.85
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0.0
Prenol	photosystem I [GO:0009522]	0.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	423.14
