class	pock_vol
Sterol	313.67
Sterol	661.68
Sterol	1277.57
Sterol	592.42
Sterol	445.78
Sterol	594.5
Sterol	433.52
Sterol	617.73
Sterol	563.37
Sterol	199.32
Sterol	101.12
Sterol	853.74
Sterol	595.1
Sterol	358.68
Sterol	352.03
Sterol	173.88
Sterol	261.14
Sterol	756.35
Sterol	337.28
Sterol	538.45
Sterol	587.94
Sterol	867.81
Sterol	329.69
Sterol	57.87
Sterol	566.79
Sterol	301.06
Sterol	344.41
Sterol	575.67
Sterol	443.07
Sterol	468.26
Sterol	837.11
Sterol	387.42
Sterol	653.76
Sterol	346.53
Sterol	662.93
Sterol	437.19
Sterol	1004.34
Sterol	832.89
Sterol	686.24
Sterol	433.67
Sterol	1831.17
Sterol	658.98
Sterol	617.19
Sterol	698.96
Sterol	663.95
Sterol	989.51
Sterol	521.27
Sterol	406.37
Sterol	769.22
Sterol	760.93
Sterol	248.4
Sterol	857.08
Sterol	345.77
Sterol	0.0
Sterol	787.77
Sterol	379.02
Sterol	511.39
Sterol	1051.14
Sterol	101.8
Sterol	309.9
Sterol	407.44
Sterol	456.53
Sterol	1734.3
Sterol	639.97
Sterol	386.14
Sterol	245.33
Sterol	518.33
Sterol	267.31
Sterol	449.07
Sterol	268.95
Sterol	379.38
Sterol	830.52
Sterol	840.45
Sterol	1005.53
Sterol	0.0
Sterol	315.99
Sterol	998.12
Sterol	746.35
Sterol	436.16
Sterol	339.08
Sterol	0.0
Sterol	421.57
Sterol	754.48
Sterol	352.61
Sterol	484.67
Sterol	544.8
Sterol	1202.38
Sterol	1190.48
Sterol	0.0
Sterol	343.61
Sterol	1393.48
Sterol	673.51
Sterol	259.64
Sterol	1004.19
Sterol	417.28
Sterol	786.71
Sterol	335.1
Sterol	158.72
Sterol	1056.13
Sterol	360.24
Sterol	295.1
Sterol	445.66
Sterol	786.58
Sterol	541.65
Sterol	296.05
Sterol	331.55
Sterol	627.93
Sterol	263.77
Sterol	870.02
Sterol	585.36
Sterol	118.46
Sterol	224.01
Sterol	391.31
Sterol	1145.54
Sterol	337.88
Sterol	262.33
Sterol	768.61
Sterol	1056.85
Sterol	557.89
Sterol	297.66
Sterol	435.96
Sterol	531.35
Sterol	693.01
Sterol	504.19
Sterol	751.07
Sterol	464.79
Sterol	1038.11
Sterol	473.1
Sterol	505.29
Sterol	376.15
Sterol	481.08
Sterol	978.08
Sterol	151.69
Sterol	611.16
Sterol	744.77
Sterol	1003.21
Sterol	0.0
Sterol	206.53
Sterol	769.03
Sterol	431.64
Sterol	282.16
Sterol	368.83
Sterol	280.57
Sterol	187.38
Sterol	1063.57
Sterol	465.76
Sterol	973.93
Sterol	237.76
Sterol	802.36
Sterol	338.36
Sterol	263.96
Sterol	799.05
Sterol	811.94
Sterol	163.97
Sterol	157.96
Sterol	920.05
Sterol	650.37
Sterol	673.6
Sterol	707.73
Sterol	302.35
Sterol	727.66
Sterol	915.7
Sterol	328.74
Sterol	313.37
Sterol	334.49
Sterol	1349.45
Sterol	658.99
Sterol	640.03
Sterol	399.18
Sterol	238.09
Sterol	936.63
Sterol	628.93
Sterol	32.2
Sterol	287.98
Sterol	590.29
Sterol	801.67
Sterol	195.96
Sterol	499.29
Sterol	618.73
Sterol	299.48
Sterol	1028.21
Sterol	378.65
Sterol	845.99
Sterol	551.18
Sterol	87.98
Sterol	1300.29
Sterol	215.68
Sterol	202.44
Sterol	1949.19
Sterol	394.46
Sterol	410.27
Sterol	605.42
Sterol	717.52
Sterol	514.74
Sterol	364.47
Sterol	327.92
Sterol	807.2
Sterol	87.76
Sterol	507.77
Sterol	27.34
Sterol	994.0
Sterol	287.62
Sterol	696.09
Sterol	122.7
Sterol	656.11
Sterol	134.09
Sterol	171.66
Sterol	217.63
Sterol	477.58
Sterol	534.16
Sterol	261.82
Sterol	239.2
Sterol	384.64
Sterol	407.11
Sterol	503.21
Sterol	472.37
Sterol	575.23
Sterol	240.58
Sterol	1052.23
Sterol	347.11
Sterol	683.25
Sterol	315.46
Sterol	424.03
Sterol	235.17
Sterol	151.43
Sterol	807.03
Sterol	25.91
Sterol	418.93
Sterol	763.21
Sterol	103.08
Sterol	700.9
Sterol	688.47
Sterol	276.25
Sterol	855.52
Sterol	318.14
Sterol	444.36
Sterol	761.98
Sterol	568.01
Sterol	1074.23
Sterol	465.48
Sterol	1389.95
Sterol	349.35
Sterol	863.21
Sterol	1004.32
Sterol	582.1
Sterol	143.26
Sterol	273.37
Sterol	1084.49
Sterol	447.97
Sterol	656.14
Sterol	612.6
Sterol	102.36
Sterol	373.67
Sterol	410.49
Sterol	167.0
Sterol	669.15
Sterol	776.55
Sterol	301.31
Sterol	245.24
Sterol	778.57
Sterol	441.58
Sterol	192.11
Sterol	1023.15
Sterol	289.8
Sterol	0.0
Sterol	453.8
Sterol	258.55
Sterol	1134.35
Sterol	799.48
Sterol	821.74
Sterol	724.92
Sterol	0.0
Sterol	302.39
Sterol	568.86
Sterol	228.22
Sterol	822.33
Sterol	622.99
Sterol	717.08
Sterol	349.51
Sterol	527.65
Sterol	879.57
Sterol	456.81
Sterol	757.12
Sterol	698.82
Sterol	1621.8
Sterol	1113.13
Sterol	522.99
Sterol	499.24
Sterol	177.86
Sterol	245.39
Sterol	323.76
Sterol	1378.71
Sterol	434.89
Sterol	1361.06
Sterol	622.33
Sterol	784.75
Sterol	501.8
Sterol	418.07
Sterol	870.45
Sterol	1362.36
Sterol	1111.95
Sterol	335.03
Sterol	1358.38
Sterol	310.13
Sterol	181.16
Sterol	469.94
Sterol	1008.26
Sterol	530.71
Sterol	1258.74
Sterol	712.36
Sterol	133.97
Sterol	597.7
Sterol	490.97
Sterol	499.8
Sterol	764.17
Sterol	400.01
Sterol	551.71
Sterol	364.79
Sterol	260.66
Sterol	443.49
Sterol	219.63
Sterol	628.77
Sterol	444.98
Sterol	669.32
Sterol	111.27
Sterol	681.39
Sterol	387.96
Sterol	684.81
Sterol	96.01
Sterol	492.69
Sterol	567.88
Sterol	408.25
Sterol	1548.33
Sterol	566.82
Sterol	552.0
Sterol	101.25
Sterol	111.73
Sterol	1445.21
Sterol	367.09
Sterol	490.69
Sterol	550.82
Sterol	551.56
Sterol	584.31
Sterol	905.85
Sterol	1100.19
Sterol	551.16
Sterol	257.02
Sterol	1378.18
Sterol	322.38
Sterol	472.1
Sterol	384.69
Sterol	710.96
Sterol	321.79
Sterol	775.1
Sterol	479.4
Sterol	936.53
Sterol	816.43
Sterol	912.74
Sterol	707.03
Sterol	527.0
Sterol	882.45
Sterol	588.51
Sterol	257.39
Sterol	883.41
Sterol	841.7
Sterol	426.41
Sterol	375.87
Sterol	172.21
Sterol	458.64
Sterol	516.91
Sterol	787.25
Sterol	746.58
Sterol	368.94
Sterol	846.29
Sterol	1091.56
Sterol	326.56
Sterol	81.35
Sterol	226.06
Sterol	869.83
Sterol	45.62
Sterol	265.24
Sterol	279.85
Sterol	0.0
Sterol	780.45
Sterol	0.0
Sterol	199.11
Sterol	439.56
Sterol	882.08
Sterol	527.13
Sterol	203.39
Sterol	318.76
Sterol	475.33
Sterol	251.61
Sterol	163.26
Sterol	513.01
Sterol	403.95
Sterol	467.63
Sterol	563.4
Sterol	284.41
Sterol	538.14
Sterol	443.09
Sterol	319.59
Sterol	0.0
Sterol	1158.13
Sterol	472.44
Sterol	501.96
Sterol	491.1
Sterol	109.23
Sterol	239.0
Sterol	1176.31
Sterol	320.63
Sterol	496.25
