class	as_max_dst
Sterol	23.13
Sterol	14.62
Sterol	13.53
Sterol	21.64
Sterol	16.75
Sterol	18.15
Sterol	15.72
Sterol	13.76
Sterol	-1.0
Sterol	17.41
Sterol	17.09
Sterol	14.2
Sterol	11.85
Sterol	4.09
Sterol	10.59
Sterol	14.81
Sterol	14.56
Sterol	20.89
Sterol	12.19
Sterol	16.16
Sterol	12.4
Sterol	0.3
Sterol	14.75
Sterol	11.68
Sterol	14.57
Sterol	17.28
Sterol	13.11
Sterol	8.77
Sterol	18.38
Sterol	8.11
Sterol	14.7
Sterol	15.42
Sterol	13.32
Sterol	12.99
Sterol	24.44
Sterol	17.25
Sterol	21.0
Sterol	29.65
Sterol	33.45
Sterol	14.85
Sterol	21.94
Sterol	13.08
Sterol	14.57
Sterol	18.19
Sterol	17.89
Sterol	11.42
Sterol	20.19
Sterol	24.05
Sterol	7.45
Sterol	14.89
Sterol	10.86
Sterol	-1.0
Sterol	20.57
Sterol	19.18
Sterol	14.32
Sterol	16.77
Sterol	4.41
Sterol	8.72
Sterol	18.73
Sterol	14.93
Sterol	21.59
Sterol	14.6
Sterol	10.44
Sterol	7.95
Sterol	12.71
Sterol	7.11
Sterol	8.37
Sterol	10.87
Sterol	12.81
Sterol	18.67
Sterol	15.44
Sterol	23.01
Sterol	-1.0
Sterol	20.05
Sterol	18.57
Sterol	21.03
Sterol	10.97
Sterol	14.61
Sterol	-1.0
Sterol	12.35
Sterol	20.4
Sterol	8.75
Sterol	14.9
Sterol	9.74
Sterol	16.65
Sterol	22.46
Sterol	-1.0
Sterol	14.01
Sterol	19.23
Sterol	19.24
Sterol	15.86
Sterol	23.68
Sterol	15.89
Sterol	17.75
Sterol	11.87
Sterol	6.14
Sterol	21.41
Sterol	10.95
Sterol	11.14
Sterol	13.12
Sterol	17.11
Sterol	14.17
Sterol	13.66
Sterol	14.08
Sterol	14.7
Sterol	6.43
Sterol	13.31
Sterol	17.87
Sterol	3.11
Sterol	7.53
Sterol	13.71
Sterol	17.46
Sterol	11.61
Sterol	13.53
Sterol	20.72
Sterol	14.52
Sterol	14.16
Sterol	14.2
Sterol	14.89
Sterol	17.1
Sterol	12.45
Sterol	17.22
Sterol	18.77
Sterol	15.92
Sterol	16.26
Sterol	15.03
Sterol	17.4
Sterol	11.81
Sterol	15.04
Sterol	15.95
Sterol	10.91
Sterol	13.76
Sterol	18.0
Sterol	18.88
Sterol	-1.0
Sterol	6.22
Sterol	23.5
Sterol	14.67
Sterol	17.7
Sterol	16.81
Sterol	10.33
Sterol	4.7
Sterol	17.4
Sterol	15.33
Sterol	14.63
Sterol	10.25
Sterol	16.67
Sterol	11.78
Sterol	10.51
Sterol	15.0
Sterol	17.04
Sterol	7.13
Sterol	8.6
Sterol	16.2
Sterol	14.14
Sterol	17.55
Sterol	13.88
Sterol	9.24
Sterol	14.97
Sterol	13.86
Sterol	11.93
Sterol	9.0
Sterol	13.22
Sterol	18.04
Sterol	17.53
Sterol	16.7
Sterol	12.69
Sterol	9.82
Sterol	19.32
Sterol	14.28
Sterol	-1.0
Sterol	10.37
Sterol	18.08
Sterol	18.92
Sterol	7.82
Sterol	18.47
Sterol	18.64
Sterol	6.71
Sterol	20.92
Sterol	8.82
Sterol	14.31
Sterol	15.02
Sterol	14.06
Sterol	18.09
Sterol	4.51
Sterol	13.74
Sterol	27.26
Sterol	12.89
Sterol	17.11
Sterol	15.84
Sterol	17.12
Sterol	11.6
Sterol	12.84
Sterol	13.01
Sterol	22.26
Sterol	0.99
Sterol	19.78
Sterol	-1.0
Sterol	20.88
Sterol	9.86
Sterol	21.65
Sterol	6.57
Sterol	15.61
Sterol	4.09
Sterol	6.98
Sterol	8.72
Sterol	15.81
Sterol	16.56
Sterol	8.88
Sterol	7.27
Sterol	12.74
Sterol	12.38
Sterol	14.27
Sterol	14.19
Sterol	20.07
Sterol	6.13
Sterol	16.2
Sterol	12.8
Sterol	20.91
Sterol	12.05
Sterol	17.71
Sterol	7.86
Sterol	2.85
Sterol	17.69
Sterol	0.02
Sterol	18.66
Sterol	17.22
Sterol	-1.0
Sterol	14.72
Sterol	20.75
Sterol	9.13
Sterol	16.82
Sterol	10.22
Sterol	8.11
Sterol	16.62
Sterol	16.0
Sterol	20.92
Sterol	14.66
Sterol	22.36
Sterol	11.64
Sterol	16.19
Sterol	15.5
Sterol	13.14
Sterol	4.79
Sterol	11.79
Sterol	18.45
Sterol	20.1
Sterol	18.92
Sterol	18.12
Sterol	-1.0
Sterol	10.94
Sterol	15.74
Sterol	3.42
Sterol	17.23
Sterol	22.88
Sterol	8.98
Sterol	6.7
Sterol	18.72
Sterol	18.92
Sterol	6.56
Sterol	21.74
Sterol	9.86
Sterol	-1.0
Sterol	18.13
Sterol	7.83
Sterol	18.87
Sterol	11.86
Sterol	14.01
Sterol	19.03
Sterol	-1.0
Sterol	11.7
Sterol	21.97
Sterol	8.04
Sterol	18.27
Sterol	14.26
Sterol	17.74
Sterol	16.26
Sterol	13.34
Sterol	17.27
Sterol	13.53
Sterol	20.49
Sterol	18.68
Sterol	15.28
Sterol	17.93
Sterol	14.96
Sterol	14.49
Sterol	7.07
Sterol	6.34
Sterol	17.61
Sterol	22.03
Sterol	15.59
Sterol	18.42
Sterol	22.45
Sterol	20.49
Sterol	14.11
Sterol	9.28
Sterol	20.4
Sterol	22.53
Sterol	18.35
Sterol	10.75
Sterol	16.1
Sterol	10.07
Sterol	5.52
Sterol	18.49
Sterol	23.35
Sterol	17.53
Sterol	19.79
Sterol	17.85
Sterol	3.73
Sterol	14.2
Sterol	13.3
Sterol	8.48
Sterol	14.03
Sterol	9.38
Sterol	13.36
Sterol	11.11
Sterol	12.2
Sterol	11.38
Sterol	5.95
Sterol	17.87
Sterol	15.02
Sterol	23.07
Sterol	4.85
Sterol	14.31
Sterol	10.8
Sterol	14.23
Sterol	3.5
Sterol	15.96
Sterol	14.2
Sterol	14.88
Sterol	26.17
Sterol	15.74
Sterol	14.4
Sterol	3.5
Sterol	3.98
Sterol	20.31
Sterol	13.79
Sterol	14.68
Sterol	17.83
Sterol	11.29
Sterol	14.48
Sterol	14.09
Sterol	18.18
Sterol	17.16
Sterol	12.71
Sterol	19.69
Sterol	13.58
Sterol	10.87
Sterol	20.38
Sterol	14.45
Sterol	8.67
Sterol	22.67
Sterol	15.91
Sterol	12.79
Sterol	19.28
Sterol	12.95
Sterol	14.99
Sterol	15.46
Sterol	21.89
Sterol	17.56
Sterol	6.84
Sterol	15.14
Sterol	16.8
Sterol	16.48
Sterol	12.16
Sterol	10.34
Sterol	20.42
Sterol	17.42
Sterol	21.1
Sterol	16.09
Sterol	8.13
Sterol	23.03
Sterol	19.85
Sterol	14.57
Sterol	6.29
Sterol	9.31
Sterol	18.84
Sterol	-1.0
Sterol	10.35
Sterol	8.22
Sterol	-1.0
Sterol	17.63
Sterol	-1.0
Sterol	7.14
Sterol	14.2
Sterol	17.78
Sterol	20.74
Sterol	3.2
Sterol	11.77
Sterol	12.87
Sterol	10.53
Sterol	5.15
Sterol	13.66
Sterol	15.14
Sterol	12.37
Sterol	16.86
Sterol	9.88
Sterol	10.17
Sterol	16.46
Sterol	16.05
Sterol	-1.0
Sterol	17.84
Sterol	22.01
Sterol	11.71
Sterol	13.15
Sterol	4.27
Sterol	13.72
Sterol	21.18
Sterol	7.74
Sterol	10.48
Sterol	18.96
Sterol	14.1
Sterol	1.7
Sterol	15.57
Sterol	7.5
Sterol	16.88
Sterol	17.54
Sterol	5.37
Sterol	7.4
Sterol	14.47
Sterol	10.02
Sterol	18.32
Sterol	11.28
Sterol	16.97
Sterol	12.0
Sterol	8.01
Sterol	7.06
Sterol	18.96
Sterol	18.85
Sterol	8.38
Sterol	17.71
Sterol	10.85
Sterol	4.84
Sterol	8.16
Sterol	8.94
Sterol	8.79
Sterol	10.72
Sterol	18.93
Sterol	17.89
Sterol	8.8
Sterol	19.42
Sterol	19.96
Sterol	10.9
Sterol	0.4
Sterol	18.6
Sterol	-1.0
Sterol	8.86
Sterol	12.65
Sterol	13.87
Sterol	21.56
Sterol	20.29
Sterol	20.44
Sterol	15.48
Sterol	22.73
Sterol	12.96
Sterol	11.68
Sterol	19.41
Sterol	20.83
Sterol	17.88
Sterol	15.87
Sterol	17.52
Sterol	13.63
Sterol	5.76
Sterol	9.09
Sterol	8.1
Sterol	16.4
Sterol	15.39
Sterol	20.83
Sterol	17.38
Sterol	17.07
Sterol	15.98
Sterol	21.43
Sterol	14.84
Sterol	23.37
Sterol	12.02
Sterol	17.45
Sterol	10.98
Sterol	16.59
Sterol	18.17
Sterol	22.13
Sterol	9.47
Sterol	15.97
Sterol	12.23
Sterol	12.37
Sterol	15.35
Sterol	17.45
Sterol	13.96
Sterol	20.47
Sterol	20.08
Sterol	13.68
Sterol	17.19
Sterol	14.27
Sterol	17.79
Sterol	7.13
Sterol	18.78
Sterol	11.86
Sterol	16.99
Sterol	11.11
Sterol	13.96
Sterol	14.84
Sterol	22.81
Sterol	3.52
Sterol	15.03
Sterol	14.98
Sterol	17.27
Sterol	20.6
Sterol	21.05
Sterol	12.9
Sterol	20.82
Sterol	16.81
Sterol	15.31
Sterol	10.9
Sterol	12.31
Sterol	-1.0
Sterol	14.97
Sterol	19.57
Sterol	12.4
Sterol	5.06
Sterol	12.52
Sterol	11.86
Sterol	9.5
Sterol	21.32
Sterol	18.31
Sterol	4.7
Sterol	6.49
Sterol	19.45
Sterol	15.53
Sterol	16.76
Sterol	7.01
Sterol	18.83
Sterol	6.46
Sterol	19.08
Sterol	9.94
Sterol	13.95
Sterol	17.39
Sterol	16.94
Sterol	17.15
Sterol	14.97
Sterol	11.35
Sterol	16.67
Sterol	21.18
Sterol	23.01
Sterol	3.9
Sterol	18.03
Sterol	9.62
Sterol	14.34
Sterol	9.97
Sterol	16.58
Sterol	19.98
Sterol	19.04
Sterol	17.94
Sterol	8.41
Sterol	6.66
Sterol	21.55
Sterol	17.32
Sterol	14.88
Sterol	-1.0
Sterol	17.45
Sterol	-1.0
Sterol	11.01
Sterol	14.99
Sterol	10.21
Sterol	18.73
Sterol	27.03
Sterol	14.64
Sterol	17.56
Sterol	22.6
Sterol	-1.0
Sterol	23.03
Sterol	9.26
Sterol	14.93
Sterol	17.74
Sterol	13.85
Sterol	-1.0
Sterol	12.3
Sterol	9.11
Sterol	17.56
Sterol	8.97
Sterol	17.84
Sterol	11.58
Sterol	23.45
Sterol	12.06
Sterol	17.6
Sterol	19.29
Sterol	20.33
Sterol	20.72
Sterol	13.16
Sterol	18.71
Sterol	17.35
Sterol	21.47
Sterol	14.93
Sterol	20.06
Sterol	17.45
Sterol	19.08
Sterol	15.18
Sterol	2.62
Sterol	20.47
Sterol	12.21
Sterol	10.04
Sterol	19.88
Sterol	10.6
Sterol	6.7
Sterol	16.98
Sterol	11.57
Sterol	21.31
Sterol	11.26
Sterol	18.04
Sterol	15.31
Sterol	23.72
Sterol	-1.0
Sterol	16.13
Sterol	15.9
Sterol	21.17
Sterol	13.07
Sterol	15.9
Sterol	14.88
Sterol	16.95
Sterol	11.06
Sterol	13.11
Sterol	20.53
Sterol	18.69
Sterol	19.91
Sterol	4.39
Sterol	21.65
Sterol	16.89
Sterol	4.52
Sterol	20.83
Sterol	22.4
Sterol	14.72
Sterol	20.19
Sterol	19.7
Sterol	14.21
Sterol	12.09
Sterol	12.74
Sterol	15.84
Sterol	15.79
Sterol	9.74
Sterol	-1.0
Sterol	33.11
Sterol	13.74
Sterol	17.83
Sterol	12.57
Sterol	18.39
Sterol	24.55
Sterol	17.91
Sterol	14.77
Sterol	13.38
Sterol	14.66
Sterol	11.21
Sterol	20.71
Sterol	15.94
Sterol	18.64
Sterol	10.31
Sterol	11.27
Sterol	14.45
Sterol	12.64
Sterol	5.32
Sterol	14.4
Sterol	11.21
Sterol	20.37
Sterol	19.44
Sterol	12.88
Sterol	6.54
Sterol	19.16
Sterol	13.5
Sterol	12.3
Sterol	15.71
Sterol	8.38
Sterol	10.86
Sterol	16.63
Sterol	8.07
Sterol	7.9
Sterol	19.88
Sterol	7.03
Sterol	17.44
Sterol	8.5
Sterol	16.0
Sterol	12.8
Sterol	10.83
Sterol	14.3
Sterol	10.81
Sterol	17.68
Sterol	-1.0
Sterol	20.23
Sterol	1.85
Sterol	9.14
Sterol	12.73
Sterol	19.1
Sterol	21.31
Sterol	7.19
Sterol	13.97
Sterol	12.73
Sterol	10.15
Sterol	5.47
Sterol	17.65
Sterol	20.17
Sterol	8.55
Sterol	11.52
Sterol	17.69
Sterol	14.44
Sterol	6.64
Sterol	-1.0
Sterol	11.88
Sterol	7.87
Sterol	13.15
Sterol	18.02
Sterol	17.32
Sterol	8.67
Sterol	19.59
Sterol	20.52
Sterol	13.71
Sterol	8.45
Sterol	13.19
Sterol	18.73
Sterol	14.06
Sterol	21.96
Sterol	18.28
Sterol	-1.0
Sterol	17.88
Sterol	12.43
Sterol	7.24
Sterol	15.15
Sterol	15.17
Sterol	19.22
Sterol	16.59
Sterol	21.41
Sterol	7.24
Sterol	6.46
Sterol	15.58
Sterol	22.7
Sterol	10.13
Sterol	14.05
Sterol	21.54
Sterol	4.04
Sterol	20.15
Sterol	22.26
Sterol	14.87
Sterol	10.17
Sterol	14.86
Sterol	20.59
Sterol	22.09
Sterol	13.77
Sterol	14.01
Sterol	9.29
Sterol	11.48
Sterol	16.29
Sterol	2.19
Sterol	14.41
Sterol	19.31
Sterol	21.82
Sterol	13.36
Sterol	19.43
Sterol	21.54
Sterol	14.61
Sterol	-1.0
Sterol	14.99
Sterol	14.38
Sterol	13.0
Sterol	18.18
Sterol	10.28
Sterol	17.86
Sterol	16.3
Sterol	17.96
Sterol	5.52
Sterol	19.16
Sterol	5.92
Sterol	15.6
Sterol	9.86
Sterol	13.68
Sterol	9.34
Sterol	12.85
Sterol	17.14
