class	donor_angle
sterol	147.98
sterol	115.8
sterol	175.77
sterol	145.76
sterol	164.52
sterol	146.07
sterol	113.46
sterol	143.64
sterol	150.11
sterol	153.08
sterol	174.43
sterol	141.42
sterol	160.51
sterol	117.71
sterol	148.63
sterol	129.81
sterol	147.66
sterol	110.77
sterol	169.46
sterol	152.32
sterol	171.16
sterol	115.45
sterol	143.6
sterol	149.05
sterol	155.24
sterol	169.08
sterol	135.11
sterol	166.43
sterol	116.3
sterol	166.48
sterol	137.08
sterol	133.87
sterol	107.49
sterol	109.5
sterol	166.09
sterol	151.28
sterol	120.27
sterol	141.57
sterol	131.58
sterol	130.29
sterol	122.42
sterol	150.44
sterol	122.6
sterol	126.5
sterol	146.93
sterol	148.7
sterol	104.36
sterol	119.53
sterol	117.83
sterol	105.31
sterol	100.98
sterol	154.22
sterol	162.46
sterol	121.09
sterol	130.25
sterol	160.57
sterol	124.32
sterol	152.59
sterol	158.27
sterol	130.66
sterol	151.22
sterol	140.26
sterol	147.69
sterol	102.29
sterol	171.99
sterol	153.28
sterol	146.25
sterol	153.9
sterol	148.24
sterol	162.01
sterol	110.25
sterol	120.09
sterol	136.71
sterol	132.21
sterol	128.01
sterol	156.12
sterol	152.8
sterol	125.59
sterol	150.83
sterol	150.81
sterol	139.97
sterol	125.87
sterol	168.85
sterol	127.96
sterol	154.75
sterol	154.05
sterol	155.96
sterol	115.98
sterol	115.1
sterol	116.07
sterol	104.69
sterol	120.02
sterol	118.03
sterol	117.31
sterol	117.41
sterol	115.85
sterol	169.31
sterol	129.52
sterol	163.81
sterol	158.24
sterol	115.93
sterol	158.01
sterol	159.26
sterol	115.76
sterol	146.02
sterol	135.36
sterol	129.11
sterol	141.39
sterol	133.35
sterol	144.01
sterol	122.12
sterol	130.44
sterol	104.03
sterol	159.7
sterol	119.18
sterol	145.5
sterol	158.02
sterol	150.42
sterol	123.79
sterol	147.31
sterol	151.18
sterol	141.87
sterol	123.34
sterol	158.63
sterol	147.96
sterol	112.17
sterol	147.07
sterol	160.26
sterol	161.22
sterol	122.82
sterol	137.95
sterol	163.61
sterol	155.07
sterol	119.62
sterol	138.55
sterol	112.59
sterol	152.3
sterol	120.06
sterol	128.82
sterol	136.19
sterol	126.81
sterol	113.22
sterol	147.67
sterol	133.08
sterol	159.7
sterol	162.41
sterol	154.69
sterol	166.96
sterol	105.29
sterol	118.64
sterol	140.01
sterol	170.79
sterol	132.69
sterol	142.78
sterol	139.44
sterol	148.31
sterol	103.27
sterol	153.76
sterol	151.57
sterol	169.15
sterol	147.78
sterol	150.53
sterol	168.57
sterol	104.19
sterol	117.13
sterol	150.96
sterol	138.19
sterol	125.52
sterol	143.58
sterol	141.27
sterol	141.24
sterol	152.85
sterol	141.9
sterol	122.29
sterol	143.14
sterol	123.36
sterol	127.2
sterol	157.17
sterol	114.45
sterol	123.47
sterol	105.06
sterol	164.91
sterol	110.72
sterol	118.13
sterol	138.55
sterol	170.78
sterol	101.07
sterol	116.25
sterol	103.25
sterol	150.5
sterol	104.85
sterol	105.72
sterol	104.94
sterol	105.78
sterol	101.69
sterol	115.69
sterol	111.17
sterol	100.74
sterol	150.94
sterol	148.36
sterol	114.61
sterol	175.12
sterol	145.45
sterol	164.96
sterol	152.56
sterol	110.57
sterol	145.5
sterol	151.26
sterol	154.0
sterol	174.62
sterol	136.6
sterol	160.48
sterol	131.68
sterol	112.84
sterol	130.4
sterol	145.04
sterol	141.78
sterol	117.76
sterol	166.65
sterol	148.85
sterol	160.59
sterol	145.56
sterol	109.53
sterol	133.42
sterol	131.55
sterol	138.62
sterol	147.96
sterol	153.55
sterol	167.37
sterol	127.27
sterol	162.8
sterol	131.53
sterol	109.48
sterol	149.89
sterol	148.16
sterol	108.89
sterol	171.35
sterol	155.71
sterol	170.08
sterol	145.18
sterol	114.64
sterol	142.25
sterol	151.97
sterol	155.24
sterol	172.75
sterol	152.87
sterol	168.61
sterol	116.4
sterol	126.15
sterol	154.15
sterol	149.92
sterol	104.65
sterol	172.98
sterol	154.82
sterol	155.18
sterol	134.56
sterol	111.49
sterol	146.67
sterol	151.79
sterol	157.79
sterol	173.01
sterol	149.26
sterol	129.42
sterol	154.78
sterol	115.29
sterol	150.2
sterol	134.62
sterol	151.74
sterol	111.31
sterol	175.96
sterol	162.18
sterol	164.49
sterol	143.64
sterol	111.06
sterol	143.45
sterol	151.23
sterol	159.33
sterol	174.96
sterol	146.55
sterol	160.3
sterol	127.55
sterol	110.74
sterol	138.92
sterol	117.72
sterol	146.52
sterol	102.57
sterol	163.86
sterol	160.63
sterol	166.36
sterol	114.63
sterol	131.99
sterol	115.12
sterol	156.98
sterol	157.51
sterol	167.32
sterol	126.38
sterol	162.83
sterol	113.01
sterol	132.67
sterol	125.78
sterol	131.45
sterol	127.3
sterol	119.3
sterol	175.29
sterol	158.74
sterol	159.51
sterol	138.9
sterol	112.4
sterol	133.7
sterol	108.47
sterol	154.08
sterol	130.3
sterol	170.08
sterol	144.45
sterol	160.31
sterol	119.96
sterol	116.53
sterol	110.16
sterol	115.97
sterol	145.06
sterol	169.81
sterol	140.98
sterol	121.79
sterol	170.23
sterol	124.57
sterol	161.34
sterol	110.08
sterol	152.39
sterol	156.62
sterol	151.62
sterol	129.41
sterol	151.33
sterol	112.26
sterol	143.66
sterol	143.61
sterol	108.06
sterol	163.38
sterol	132.33
sterol	122.15
sterol	162.98
sterol	144.4
sterol	107.05
sterol	163.78
sterol	126.67
sterol	121.45
sterol	156.13
sterol	156.38
sterol	105.42
sterol	157.63
sterol	122.69
sterol	158.35
sterol	162.31
sterol	166.97
sterol	163.11
sterol	102.45
sterol	166.51
sterol	100.01
sterol	158.3
sterol	101.44
sterol	167.71
sterol	101.36
sterol	155.26
sterol	134.8
sterol	112.99
sterol	103.47
sterol	129.11
sterol	175.39
sterol	131.2
sterol	164.39
sterol	149.96
sterol	143.87
sterol	112.0
sterol	146.95
sterol	104.26
sterol	157.15
sterol	117.92
sterol	147.48
sterol	143.7
sterol	173.19
sterol	133.64
sterol	142.68
sterol	165.18
sterol	118.51
sterol	164.95
sterol	128.11
sterol	132.7
sterol	158.63
sterol	106.47
sterol	131.6
sterol	120.02
sterol	132.3
sterol	148.43
sterol	125.15
sterol	158.63
sterol	115.76
sterol	133.04
sterol	134.62
sterol	130.3
sterol	105.58
sterol	155.31
sterol	157.08
sterol	118.82
sterol	153.97
sterol	166.42
sterol	101.48
sterol	159.23
sterol	159.76
sterol	169.62
sterol	124.11
sterol	161.05
sterol	106.01
sterol	147.83
sterol	134.75
sterol	116.9
sterol	159.62
sterol	147.8
sterol	153.21
sterol	103.61
sterol	142.71
sterol	146.62
sterol	103.81
sterol	141.37
sterol	148.49
sterol	154.91
sterol	173.36
sterol	160.53
sterol	108.58
sterol	163.96
sterol	118.47
sterol	127.31
sterol	108.66
sterol	145.23
sterol	119.41
sterol	142.56
sterol	139.24
sterol	144.64
sterol	147.11
sterol	140.28
sterol	124.03
sterol	139.31
sterol	152.73
sterol	139.26
sterol	154.62
sterol	157.07
sterol	113.23
sterol	112.78
sterol	142.98
sterol	116.27
sterol	145.48
sterol	120.67
sterol	148.98
sterol	140.58
sterol	130.22
sterol	138.55
sterol	110.55
sterol	114.62
sterol	143.52
sterol	153.49
sterol	119.07
sterol	136.11
sterol	121.38
sterol	148.56
sterol	145.12
sterol	123.86
sterol	144.9
sterol	132.41
sterol	160.85
sterol	151.7
sterol	139.9
sterol	124.8
sterol	145.56
sterol	173.28
sterol	131.38
sterol	143.94
sterol	129.44
sterol	139.56
sterol	108.08
sterol	102.5
sterol	140.37
sterol	137.97
sterol	133.98
sterol	143.62
sterol	130.63
sterol	143.08
sterol	100.98
sterol	114.08
sterol	162.11
sterol	163.24
sterol	152.87
sterol	146.13
sterol	130.92
sterol	150.24
sterol	156.17
sterol	143.85
sterol	127.7
sterol	151.67
sterol	150.91
sterol	140.22
sterol	128.4
sterol	153.8
sterol	127.49
sterol	126.43
sterol	135.97
sterol	126.48
sterol	118.45
sterol	137.98
sterol	115.15
sterol	118.82
sterol	131.33
sterol	123.59
sterol	119.24
sterol	129.05
sterol	162.2
sterol	155.64
sterol	125.42
sterol	169.26
sterol	145.45
sterol	145.47
sterol	133.31
sterol	125.1
sterol	136.42
sterol	141.35
sterol	147.84
sterol	129.97
sterol	144.95
sterol	169.62
sterol	140.05
sterol	115.3
sterol	129.54
sterol	135.55
sterol	114.37
sterol	112.18
sterol	123.42
sterol	124.49
sterol	148.41
sterol	140.64
sterol	148.39
sterol	159.72
sterol	102.84
sterol	100.01
sterol	114.8
sterol	160.57
sterol	139.45
sterol	136.88
sterol	149.08
sterol	136.12
sterol	137.58
sterol	150.77
sterol	159.35
sterol	139.14
sterol	143.7
sterol	138.52
sterol	102.68
sterol	163.88
sterol	153.08
sterol	114.77
sterol	178.14
sterol	172.76
sterol	104.94
sterol	111.58
sterol	175.42
sterol	158.09
sterol	122.19
sterol	143.58
sterol	139.47
sterol	147.88
sterol	138.82
sterol	132.96
sterol	111.74
sterol	142.55
sterol	137.71
sterol	136.19
sterol	127.31
sterol	138.04
sterol	119.6
sterol	131.14
sterol	111.37
sterol	153.43
sterol	154.09
sterol	128.9
sterol	106.33
sterol	167.21
sterol	100.99
sterol	141.92
sterol	144.55
sterol	154.72
sterol	136.42
sterol	119.43
sterol	154.65
sterol	144.31
sterol	169.66
sterol	152.28
sterol	170.26
sterol	129.45
sterol	126.36
sterol	138.4
sterol	132.88
sterol	127.44
sterol	144.55
sterol	152.93
sterol	150.1
