class	GO_CC	polarity_score
Saccharolipid	cytoplasm [GO:0005737]	21
Saccharolipid	cytoplasm [GO:0005737]	17
Saccharolipid	cytoplasm [GO:0005737]	18
Saccharolipid	cytoplasm [GO:0005737]	18
Saccharolipid	receptor complex [GO:0043235]	6
Saccharolipid	extracellular region [GO:0005576]	6
Saccharolipid	endosome membrane [GO:0010008]	6
Saccharolipid	plasma membrane [GO:0005886]	6
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	6
Saccharolipid	receptor complex [GO:0043235]	6
Saccharolipid	extracellular region [GO:0005576]	6
Saccharolipid	endosome membrane [GO:0010008]	6
Saccharolipid	plasma membrane [GO:0005886]	6
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	6
Saccharolipid	extracellular region [GO:0005576]	4
Saccharolipid	extracellular region [GO:0005576]	12
Saccharolipid	extracellular region [GO:0005576]	13
Saccharolipid	mitochondrial membrane [GO:0031966]	15
Saccharolipid	cytosol [GO:0005829]	15
Saccharolipid	glutamatergic synapse [GO:0098978]	15
Saccharolipid	histone acetyltransferase complex [GO:0000123]	15
Saccharolipid	plasma membrane [GO:0005886]	15
Saccharolipid	nucleoplasm [GO:0005654]	15
Saccharolipid	NSL complex [GO:0044545]	15
Saccharolipid	protein-containing complex [GO:0032991]	15
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	15
Saccharolipid	cell projection [GO:0042995]	15
Saccharolipid	nucleus [GO:0005634]	15
Saccharolipid	mitochondrial membrane [GO:0031966]	16
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	glutamatergic synapse [GO:0098978]	16
Saccharolipid	histone acetyltransferase complex [GO:0000123]	16
Saccharolipid	plasma membrane [GO:0005886]	16
Saccharolipid	nucleoplasm [GO:0005654]	16
Saccharolipid	NSL complex [GO:0044545]	16
Saccharolipid	protein-containing complex [GO:0032991]	16
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	16
Saccharolipid	cell projection [GO:0042995]	16
Saccharolipid	nucleus [GO:0005634]	16
Saccharolipid	mitochondrial membrane [GO:0031966]	16
Saccharolipid	cytosol [GO:0005829]	16
Saccharolipid	glutamatergic synapse [GO:0098978]	16
Saccharolipid	histone acetyltransferase complex [GO:0000123]	16
Saccharolipid	plasma membrane [GO:0005886]	16
Saccharolipid	nucleoplasm [GO:0005654]	16
Saccharolipid	NSL complex [GO:0044545]	16
Saccharolipid	protein-containing complex [GO:0032991]	16
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	16
Saccharolipid	cell projection [GO:0042995]	16
Saccharolipid	nucleus [GO:0005634]	16
Saccharolipid	mitochondrial membrane [GO:0031966]	17
Saccharolipid	cytosol [GO:0005829]	17
Saccharolipid	glutamatergic synapse [GO:0098978]	17
