class	GO_CC	polarity_score
Sterol	neuronal cell body [GO:0043025]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	cytoplasm [GO:0005737]	10
Sterol	mitochondrial inner membrane [GO:0005743]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	non-motile cilium [GO:0097730]	7
Sterol	ciliary membrane [GO:0060170]	7
Sterol	cilium [GO:0005929]	7
Sterol	plasma membrane [GO:0005886]	7
Sterol	synapse [GO:0045202]	7
Sterol	brush border membrane [GO:0031526]	7
Sterol	periplasmic space [GO:0042597]	7
Sterol	nucleoplasm [GO:0005654]	7
Sterol	nucleus [GO:0005634]	7
Sterol	RNA polymerase III complex [GO:0005666]	7
Sterol	plasma membrane [GO:0005886]	3
Sterol	endoplasmic reticulum membrane [GO:0005789]	4
Sterol	endoplasmic reticulum [GO:0005783]	4
Sterol	Golgi membrane [GO:0000139]	4
Sterol	Golgi apparatus [GO:0005794]	4
Sterol	mitochondrion [GO:0005739]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3
Sterol	mitochondrial respirasome [GO:0005746]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	GABA-ergic synapse [GO:0098982]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	postsynaptic membrane [GO:0045211]	3
Sterol	presynapse [GO:0098793]	3
Sterol	presynaptic membrane [GO:0042734]	3
Sterol	axon [GO:0030424]	3
Sterol	cell surface [GO:0009986]	3
Sterol	neuronal cell body [GO:0043025]	3
Sterol	plasma membrane [GO:0005886]	2
Sterol	voltage-gated calcium channel complex [GO:0005891]	1
Sterol	plasma membrane [GO:0005886]	1
Sterol	synapse [GO:0045202]	1
Sterol	neuronal cell body [GO:0043025]	1
Sterol	plasma membrane [GO:0005886]	6
Sterol	lysosome [GO:0005764]	6
Sterol	cardiac Troponin complex [GO:1990584]	5
Sterol	troponin complex [GO:0005861]	5
Sterol	cytosol [GO:0005829]	5
Sterol	lateral plasma membrane [GO:0016328]	8
Sterol	connexin complex [GO:0005922]	8
Sterol	endoplasmic reticulum membrane [GO:0005789]	8
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	plasma membrane [GO:0005886]	5
Sterol	cell projection [GO:0042995]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	postsynaptic membrane [GO:0045211]	2
Sterol	presynaptic membrane [GO:0042734]	2
Sterol	nucleus [GO:0005634]	2
Sterol	cytosol [GO:0005829]	5
Sterol	nucleoplasm [GO:0005654]	5
Sterol	receptor complex [GO:0043235]	5
Sterol	mitochondrion [GO:0005739]	5
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	5
Sterol	chromatin [GO:0000785]	5
Sterol	transcription regulator complex [GO:0005667]	5
Sterol	nucleus [GO:0005634]	5
Sterol	cell surface [GO:0009986]	3
Sterol	apical plasma membrane [GO:0016324]	3
Sterol	external side of apical plasma membrane [GO:0098591]	3
Sterol	extracellular exosome [GO:0070062]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	membrane [GO:0016020]	3
Sterol	cytoplasm [GO:0005737]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	membrane [GO:0016020]	3
Sterol	apical plasma membrane [GO:0016324]	3
Sterol	extracellular exosome [GO:0070062]	3
Sterol	cell surface [GO:0009986]	3
Sterol	external side of apical plasma membrane [GO:0098591]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	cytoplasm [GO:0005737]	3
Sterol	dendrite [GO:0030425]	0
Sterol	axolemma [GO:0030673]	0
Sterol	neuronal cell body [GO:0043025]	0
Sterol	glutamatergic synapse [GO:0098978]	0
Sterol	membrane [GO:0016020]	0
Sterol	plasma membrane [GO:0005886]	0
Sterol	postsynaptic membrane [GO:0045211]	0
Sterol	presynaptic membrane [GO:0042734]	0
Sterol	presynaptic active zone [GO:0048786]	0
Sterol	periplasmic space [GO:0042597]	0
Sterol	intermediate filament [GO:0005882]	0
Sterol	asymmetric synapse [GO:0032279]	0
Sterol	dendrite [GO:0030425]	0
Sterol	axolemma [GO:0030673]	0
Sterol	neuronal cell body [GO:0043025]	0
Sterol	glutamatergic synapse [GO:0098978]	0
Sterol	membrane [GO:0016020]	0
Sterol	plasma membrane [GO:0005886]	0
Sterol	postsynaptic membrane [GO:0045211]	0
Sterol	presynaptic membrane [GO:0042734]	0
Sterol	presynaptic active zone [GO:0048786]	0
Sterol	periplasmic space [GO:0042597]	0
Sterol	intermediate filament [GO:0005882]	0
Sterol	asymmetric synapse [GO:0032279]	0
Sterol	dendrite [GO:0030425]	2
Sterol	sarcoplasmic reticulum membrane [GO:0033017]	2
Sterol	cytoplasmic side of membrane [GO:0098562]	2
Sterol	cytosol [GO:0005829]	2
Sterol	Z disc [GO:0030018]	2
Sterol	sarcoplasmic reticulum [GO:0016529]	2
Sterol	terminal cisterna [GO:0014802]	2
Sterol	glutamatergic synapse [GO:0098978]	2
Sterol	membrane [GO:0016020]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	ryanodine receptor complex [GO:1990425]	2
Sterol	astrocyte projection [GO:0097449]	2
Sterol	presynaptic membrane [GO:0042734]	2
Sterol	axon [GO:0030424]	2
Sterol	cytoplasm [GO:0005737]	2
Sterol	dendrite [GO:0030425]	3
Sterol	axolemma [GO:0030673]	3
Sterol	neuronal cell body [GO:0043025]	3
Sterol	glutamatergic synapse [GO:0098978]	3
Sterol	membrane [GO:0016020]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	postsynaptic membrane [GO:0045211]	3
Sterol	presynaptic membrane [GO:0042734]	3
Sterol	presynaptic active zone [GO:0048786]	3
Sterol	periplasmic space [GO:0042597]	3
Sterol	intermediate filament [GO:0005882]	3
Sterol	asymmetric synapse [GO:0032279]	3
Sterol	membrane [GO:0016020]	7
Sterol	intracellular membrane-bounded organelle [GO:0043231]	7
Sterol	cytoplasm [GO:0005737]	7
Sterol	dendrite [GO:0030425]	11
Sterol	endoplasmic reticulum [GO:0005783]	11
Sterol	Golgi apparatus [GO:0005794]	11
Sterol	ciliary membrane [GO:0060170]	11
Sterol	ciliary tip [GO:0097542]	11
Sterol	endocytic vesicle membrane [GO:0030666]	11
Sterol	cilium [GO:0005929]	11
Sterol	extracellular exosome [GO:0070062]	11
Sterol	intracellular membrane-bounded organelle [GO:0043231]	11
Sterol	plasma membrane [GO:0005886]	11
Sterol	centriole [GO:0005814]	11
Sterol	9+0 non-motile cilium [GO:0097731]	11
Sterol	late endosome [GO:0005770]	11
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	11
Sterol	mitochondrion [GO:0005739]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3
Sterol	mitochondrial respirasome [GO:0005746]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	protein-containing complex [GO:0032991]	5
Sterol	cytosol [GO:0005829]	5
