class	GO_CC	polarity_score
Glycerolipid	plasma membrane [GO:0005886]	4
Glycerolipid	respirasome [GO:0070469]	4
Glycerolipid	plasma membrane [GO:0005886]	3
Glycerolipid	respirasome [GO:0070469]	3
Glycerolipid	plasma membrane [GO:0005886]	4
Glycerolipid	respirasome [GO:0070469]	4
Glycerolipid	plasma membrane [GO:0005886]	4
Glycerolipid	respirasome [GO:0070469]	4
Glycerolipid	plasma membrane [GO:0005886]	0
Glycerolipid	respirasome [GO:0070469]	0
Glycerolipid	plasma membrane [GO:0005886]	0
Glycerolipid	respirasome [GO:0070469]	0
Glycerolipid	plasma membrane [GO:0005886]	4
Glycerolipid	respirasome [GO:0070469]	4
Glycerolipid	plasma membrane [GO:0005886]	5
Glycerolipid	respirasome [GO:0070469]	5
Glycerolipid	plasma membrane [GO:0005886]	2
Glycerolipid	respirasome [GO:0070469]	2
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	6
Glycerolipid	respiratory chain complex IV [GO:0045277]	6
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	respirasome [GO:0070469]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	respirasome [GO:0070469]	1
Glycerolipid	postsynaptic density membrane [GO:0098839]	1
Glycerolipid	neuronal dense core vesicle [GO:0098992]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	presynaptic membrane [GO:0042734]	1
Glycerolipid	neuron projection [GO:0043005]	1
Glycerolipid	dendrite membrane [GO:0032590]	1
Glycerolipid	synaptic vesicle membrane [GO:0030672]	1
Glycerolipid	axon terminus [GO:0043679]	1
Glycerolipid	spine apparatus [GO:0097444]	1
Glycerolipid	postsynaptic density membrane [GO:0098839]	2
Glycerolipid	neuronal dense core vesicle [GO:0098992]	2
Glycerolipid	plasma membrane [GO:0005886]	2
Glycerolipid	presynaptic membrane [GO:0042734]	2
Glycerolipid	neuron projection [GO:0043005]	2
Glycerolipid	dendrite membrane [GO:0032590]	2
Glycerolipid	synaptic vesicle membrane [GO:0030672]	2
Glycerolipid	axon terminus [GO:0043679]	2
