class	GO_CC	polarity_score
Sphingolipid	early endosome [GO:0005769]	20
Sphingolipid	extracellular space [GO:0005615]	20
Sphingolipid	external side of plasma membrane [GO:0009897]	20
Sphingolipid	lysosomal membrane [GO:0005765]	20
Sphingolipid	cell surface [GO:0009986]	20
Sphingolipid	endosome membrane [GO:0010008]	11
Sphingolipid	cytosol [GO:0005829]	11
Sphingolipid	plasma membrane [GO:0005886]	11
Sphingolipid	nuclear outer membrane [GO:0005640]	11
Sphingolipid	Golgi apparatus [GO:0005794]	11
Sphingolipid	endosome membrane [GO:0010008]	9
Sphingolipid	cytosol [GO:0005829]	9
Sphingolipid	plasma membrane [GO:0005886]	9
Sphingolipid	nuclear outer membrane [GO:0005640]	9
Sphingolipid	Golgi apparatus [GO:0005794]	9
Sphingolipid	membrane [GO:0016020]	11
Sphingolipid	cytosol [GO:0005829]	11
Sphingolipid	endoplasmic reticulum [GO:0005783]	11
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	11
Sphingolipid	SPOTS complex [GO:0035339]	7
Sphingolipid	endoplasmic reticulum [GO:0005783]	7
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	7
Sphingolipid	protein-containing complex [GO:0032991]	4
Sphingolipid	spindle pole [GO:0000922]	4
Sphingolipid	cytoplasm [GO:0005737]	4
Sphingolipid	cytosol [GO:0005829]	4
Sphingolipid	plasma membrane [GO:0005886]	7
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	7
Sphingolipid	late endosome [GO:0005770]	18
Sphingolipid	endoplasmic reticulum [GO:0005783]	18
Sphingolipid	cytoplasm [GO:0005737]	18
Sphingolipid	endosome membrane [GO:0010008]	18
Sphingolipid	lysosome [GO:0005764]	18
Sphingolipid	early endosome [GO:0005769]	18
Sphingolipid	extracellular space [GO:0005615]	18
Sphingolipid	external side of plasma membrane [GO:0009897]	18
Sphingolipid	lysosomal membrane [GO:0005765]	18
Sphingolipid	cell surface [GO:0009986]	18
Sphingolipid	late endosome [GO:0005770]	8
Sphingolipid	endoplasmic reticulum [GO:0005783]	8
Sphingolipid	cytoplasm [GO:0005737]	8
Sphingolipid	endosome membrane [GO:0010008]	8
Sphingolipid	lysosome [GO:0005764]	8
Sphingolipid	early endosome [GO:0005769]	8
Sphingolipid	extracellular space [GO:0005615]	8
Sphingolipid	external side of plasma membrane [GO:0009897]	8
Sphingolipid	lysosomal membrane [GO:0005765]	8
Sphingolipid	cell surface [GO:0009986]	8
Sphingolipid	cytosol [GO:0005829]	3
Sphingolipid	plasma membrane [GO:0005886]	7
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	7
Sphingolipid	axon [GO:0030424]	7
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	7
Sphingolipid	membrane raft [GO:0045121]	19
Sphingolipid	endosome membrane [GO:0010008]	19
Sphingolipid	plasma membrane [GO:0005886]	19
Sphingolipid	extracellular space [GO:0005615]	19
Sphingolipid	external side of plasma membrane [GO:0009897]	19
Sphingolipid	apical plasma membrane [GO:0016324]	1
Sphingolipid	astrocyte projection [GO:0097449]	1
Sphingolipid	cell surface [GO:0009986]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	1
Sphingolipid	calyx of Held [GO:0044305]	1
Sphingolipid	neuronal cell body [GO:0043025]	1
Sphingolipid	axon [GO:0030424]	1
Sphingolipid	axon terminus [GO:0043679]	1
Sphingolipid	endoplasmic reticulum [GO:0005783]	1
Sphingolipid	late endosome [GO:0005770]	17
Sphingolipid	endoplasmic reticulum [GO:0005783]	17
Sphingolipid	cytoplasm [GO:0005737]	17
Sphingolipid	endosome membrane [GO:0010008]	17
Sphingolipid	basolateral plasma membrane [GO:0016323]	17
Sphingolipid	lysosome [GO:0005764]	17
Sphingolipid	early endosome [GO:0005769]	17
Sphingolipid	plasma membrane [GO:0005886]	17
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	17
Sphingolipid	extracellular space [GO:0005615]	17
Sphingolipid	external side of plasma membrane [GO:0009897]	17
Sphingolipid	lysosomal membrane [GO:0005765]	17
Sphingolipid	cell surface [GO:0009986]	17
Sphingolipid	endosome membrane [GO:0010008]	12
Sphingolipid	cytosol [GO:0005829]	12
Sphingolipid	plasma membrane [GO:0005886]	12
Sphingolipid	nuclear outer membrane [GO:0005640]	12
Sphingolipid	Golgi apparatus [GO:0005794]	12
Sphingolipid	plasma membrane [GO:0005886]	9
Sphingolipid	membrane [GO:0016020]	9
Sphingolipid	endosome membrane [GO:0010008]	9
Sphingolipid	membrane [GO:0016020]	13
Sphingolipid	cytosol [GO:0005829]	13
Sphingolipid	endoplasmic reticulum [GO:0005783]	13
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	13
Sphingolipid	late endosome [GO:0005770]	17
Sphingolipid	endoplasmic reticulum [GO:0005783]	17
Sphingolipid	cytoplasm [GO:0005737]	17
Sphingolipid	endosome membrane [GO:0010008]	17
Sphingolipid	lysosome [GO:0005764]	17
Sphingolipid	early endosome [GO:0005769]	17
Sphingolipid	extracellular space [GO:0005615]	17
Sphingolipid	external side of plasma membrane [GO:0009897]	17
Sphingolipid	lysosomal membrane [GO:0005765]	17
Sphingolipid	cell surface [GO:0009986]	17
Sphingolipid	axon terminus [GO:0043679]	5
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	5
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	cell surface [GO:0009986]	5
Sphingolipid	apical plasma membrane [GO:0016324]	5
Sphingolipid	plasma membrane [GO:0005886]	5
Sphingolipid	astrocyte projection [GO:0097449]	5
Sphingolipid	axon [GO:0030424]	5
Sphingolipid	calyx of Held [GO:0044305]	5
Sphingolipid	neuronal cell body [GO:0043025]	5
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	5
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	5
Sphingolipid	extracellular space [GO:0005615]	6
Sphingolipid	lipopolysaccharide receptor complex [GO:0046696]	6
Sphingolipid	receptor complex [GO:0043235]	6
Sphingolipid	plasma membrane [GO:0005886]	6
Sphingolipid	cytoplasm [GO:0005737]	8
Sphingolipid	apical plasma membrane [GO:0016324]	2
Sphingolipid	gap junction [GO:0005921]	2
Sphingolipid	plasma membrane [GO:0005886]	2
Sphingolipid	endoplasmic reticulum [GO:0005783]	2
Sphingolipid	cytoplasm [GO:0005737]	1
Sphingolipid	membrane [GO:0016020]	11
Sphingolipid	cytosol [GO:0005829]	11
Sphingolipid	endoplasmic reticulum [GO:0005783]	11
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	11
Sphingolipid	endosome membrane [GO:0010008]	13
Sphingolipid	cytosol [GO:0005829]	13
Sphingolipid	plasma membrane [GO:0005886]	13
Sphingolipid	nuclear outer membrane [GO:0005640]	13
Sphingolipid	Golgi apparatus [GO:0005794]	13
Sphingolipid	endosome membrane [GO:0010008]	1
Sphingolipid	cytosol [GO:0005829]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	nuclear outer membrane [GO:0005640]	1
Sphingolipid	Golgi apparatus [GO:0005794]	1
Sphingolipid	plasma membrane [GO:0005886]	12
Sphingolipid	membrane [GO:0016020]	12
Sphingolipid	endosome membrane [GO:0010008]	12
Sphingolipid	membrane [GO:0016020]	5
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	5
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	vacuole [GO:0005773]	5
Sphingolipid	extracellular region [GO:0005576]	12
Sphingolipid	cytosol [GO:0005829]	7
Sphingolipid	clathrin-coated pit [GO:0005905]	5
Sphingolipid	membrane [GO:0016020]	5
Sphingolipid	cytosol [GO:0005829]	5
Sphingolipid	endocytic vesicle [GO:0030139]	5
Sphingolipid	cytoplasm [GO:0005737]	5
Sphingolipid	plasma membrane [GO:0005886]	5
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	5
Sphingolipid	presynapse [GO:0098793]	5
Sphingolipid	nucleoplasm [GO:0005654]	5
Sphingolipid	early endosome membrane [GO:0031901]	5
Sphingolipid	nucleus [GO:0005634]	5
Sphingolipid	plasma membrane [GO:0005886]	8
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	8
Sphingolipid	late endosome [GO:0005770]	17
Sphingolipid	endoplasmic reticulum [GO:0005783]	17
Sphingolipid	cytoplasm [GO:0005737]	17
Sphingolipid	endosome membrane [GO:0010008]	17
Sphingolipid	lysosome [GO:0005764]	17
Sphingolipid	early endosome [GO:0005769]	17
Sphingolipid	extracellular space [GO:0005615]	17
Sphingolipid	external side of plasma membrane [GO:0009897]	17
Sphingolipid	lysosomal membrane [GO:0005765]	17
Sphingolipid	cell surface [GO:0009986]	17
Sphingolipid	apical plasma membrane [GO:0016324]	1
Sphingolipid	astrocyte projection [GO:0097449]	1
Sphingolipid	cell surface [GO:0009986]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	1
Sphingolipid	calyx of Held [GO:0044305]	1
Sphingolipid	Schaffer collateral - CA1 synapse [GO:0098685]	1
Sphingolipid	neuronal cell body [GO:0043025]	1
Sphingolipid	axon [GO:0030424]	1
Sphingolipid	axon terminus [GO:0043679]	1
Sphingolipid	postsynapse [GO:0098794]	1
Sphingolipid	endoplasmic reticulum [GO:0005783]	1
Sphingolipid	apical plasma membrane [GO:0016324]	0
Sphingolipid	gap junction [GO:0005921]	0
Sphingolipid	plasma membrane [GO:0005886]	0
Sphingolipid	endoplasmic reticulum [GO:0005783]	0
Sphingolipid	cytosol [GO:0005829]	18
Sphingolipid	nucleoplasm [GO:0005654]	18
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	18
Sphingolipid	mitochondrion [GO:0005739]	18
Sphingolipid	Golgi apparatus [GO:0005794]	18
Sphingolipid	axon terminus [GO:0043679]	5
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	5
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	cell surface [GO:0009986]	5
Sphingolipid	apical plasma membrane [GO:0016324]	5
Sphingolipid	plasma membrane [GO:0005886]	5
Sphingolipid	astrocyte projection [GO:0097449]	5
Sphingolipid	axon [GO:0030424]	5
Sphingolipid	calyx of Held [GO:0044305]	5
Sphingolipid	neuronal cell body [GO:0043025]	5
Sphingolipid	recycling endosome [GO:0055037]	1
Sphingolipid	endosome [GO:0005768]	1
Sphingolipid	Golgi membrane [GO:0000139]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	1
Sphingolipid	mitochondrion [GO:0005739]	1
Sphingolipid	external side of plasma membrane [GO:0009897]	1
Sphingolipid	Golgi apparatus [GO:0005794]	1
Sphingolipid	membrane [GO:0016020]	12
Sphingolipid	cytosol [GO:0005829]	12
Sphingolipid	endoplasmic reticulum [GO:0005783]	12
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	12
Sphingolipid	membrane raft [GO:0045121]	19
Sphingolipid	endosome membrane [GO:0010008]	19
Sphingolipid	plasma membrane [GO:0005886]	19
Sphingolipid	extracellular space [GO:0005615]	19
Sphingolipid	external side of plasma membrane [GO:0009897]	19
Sphingolipid	apical plasma membrane [GO:0016324]	2
Sphingolipid	gap junction [GO:0005921]	2
Sphingolipid	plasma membrane [GO:0005886]	2
Sphingolipid	endoplasmic reticulum [GO:0005783]	2
Sphingolipid	cytoplasm [GO:0005737]	10
Sphingolipid	plasma membrane [GO:0005886]	17
Sphingolipid	cytoplasm [GO:0005737]	17
Sphingolipid	postsynapse [GO:0098794]	17
Sphingolipid	membrane [GO:0016020]	5
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	5
Sphingolipid	endoplasmic reticulum [GO:0005783]	5
Sphingolipid	vacuole [GO:0005773]	5
Sphingolipid	endocytic vesicle lumen [GO:0071682]	3
Sphingolipid	cytosol [GO:0005829]	3
Sphingolipid	extracellular exosome [GO:0070062]	3
Sphingolipid	membrane [GO:0016020]	3
Sphingolipid	blood microparticle [GO:0072562]	3
Sphingolipid	extracellular region [GO:0005576]	3
Sphingolipid	extracellular space [GO:0005615]	3
Sphingolipid	hemoglobin complex [GO:0005833]	3
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	3
Sphingolipid	late endosome [GO:0005770]	12
Sphingolipid	endoplasmic reticulum [GO:0005783]	12
Sphingolipid	cytoplasm [GO:0005737]	12
Sphingolipid	endosome membrane [GO:0010008]	12
Sphingolipid	lysosome [GO:0005764]	12
Sphingolipid	early endosome [GO:0005769]	12
Sphingolipid	extracellular space [GO:0005615]	12
Sphingolipid	external side of plasma membrane [GO:0009897]	12
Sphingolipid	lysosomal membrane [GO:0005765]	12
Sphingolipid	cell surface [GO:0009986]	12
Sphingolipid	recycling endosome [GO:0055037]	10
Sphingolipid	endosome [GO:0005768]	10
Sphingolipid	Golgi membrane [GO:0000139]	10
Sphingolipid	plasma membrane [GO:0005886]	10
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	10
Sphingolipid	mitochondrion [GO:0005739]	10
Sphingolipid	external side of plasma membrane [GO:0009897]	10
Sphingolipid	Golgi apparatus [GO:0005794]	10
Sphingolipid	very-low-density lipoprotein particle [GO:0034361]	12
Sphingolipid	low-density lipoprotein particle [GO:0034362]	12
Sphingolipid	spherical high-density lipoprotein particle [GO:0034366]	12
Sphingolipid	extracellular region [GO:0005576]	12
Sphingolipid	high-density lipoprotein particle [GO:0034364]	12
Sphingolipid	discoidal high-density lipoprotein particle [GO:0034365]	12
Sphingolipid	plasma membrane [GO:0005886]	16
Sphingolipid	membrane [GO:0016020]	16
Sphingolipid	endosome membrane [GO:0010008]	16
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	9
Sphingolipid	axon [GO:0030424]	9
Sphingolipid	plasma membrane [GO:0005886]	9
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	9
Sphingolipid	endosome membrane [GO:0010008]	0
Sphingolipid	cytosol [GO:0005829]	0
Sphingolipid	plasma membrane [GO:0005886]	0
Sphingolipid	nuclear outer membrane [GO:0005640]	0
Sphingolipid	Golgi apparatus [GO:0005794]	0
Sphingolipid	endosome membrane [GO:0010008]	1
Sphingolipid	cytosol [GO:0005829]	1
Sphingolipid	plasma membrane [GO:0005886]	1
Sphingolipid	nuclear outer membrane [GO:0005640]	1
Sphingolipid	Golgi apparatus [GO:0005794]	1
Sphingolipid	cytoplasm [GO:0005737]	1
Sphingolipid	apical plasma membrane [GO:0016324]	3
Sphingolipid	gap junction [GO:0005921]	3
Sphingolipid	plasma membrane [GO:0005886]	3
Sphingolipid	endoplasmic reticulum [GO:0005783]	3
Sphingolipid	late endosome [GO:0005770]	13
Sphingolipid	endoplasmic reticulum [GO:0005783]	13
Sphingolipid	cytoplasm [GO:0005737]	13
Sphingolipid	endosome membrane [GO:0010008]	13
Sphingolipid	lysosome [GO:0005764]	13
Sphingolipid	early endosome [GO:0005769]	13
Sphingolipid	extracellular space [GO:0005615]	13
Sphingolipid	external side of plasma membrane [GO:0009897]	13
Sphingolipid	lysosomal membrane [GO:0005765]	13
Sphingolipid	cell surface [GO:0009986]	13
Sphingolipid	membrane [GO:0016020]	11
Sphingolipid	cytosol [GO:0005829]	11
Sphingolipid	endoplasmic reticulum [GO:0005783]	11
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	11
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	12
Sphingolipid	endoplasmic reticulum [GO:0005783]	12
Sphingolipid	membrane raft [GO:0045121]	14
Sphingolipid	endosome [GO:0005768]	14
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	14
