class	GO_CC	polarity_score
Polyketide	Golgi apparatus [GO:0005794]	6
Polyketide	nucleoplasm [GO:0005654]	8
Polyketide	nucleus [GO:0005634]	8
Polyketide	chromatin [GO:0000785]	8
Polyketide	microtubule [GO:0005874]	9
Polyketide	cytoplasm [GO:0005737]	9
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	10
Polyketide	endoplasmic reticulum membrane [GO:0005789]	10
Polyketide	cell body [GO:0044297]	9
Polyketide	actin filament [GO:0005884]	9
Polyketide	skeletal muscle myofibril [GO:0098723]	9
Polyketide	stress fiber [GO:0001725]	9
Polyketide	filamentous actin [GO:0031941]	9
Polyketide	actin filament bundle [GO:0032432]	9
Polyketide	lamellipodium [GO:0030027]	9
Polyketide	striated muscle thin filament [GO:0005865]	9
Polyketide	cytoplasm [GO:0005737]	9
Polyketide	filopodium [GO:0030175]	9
Polyketide	cytosol [GO:0005829]	9
Polyketide	extracellular exosome [GO:0070062]	9
Polyketide	membrane [GO:0016020]	4
Polyketide	vesicle [GO:0031982]	6
Polyketide	cytoplasm [GO:0005737]	6
Polyketide	secretory granule lumen [GO:0034774]	6
Polyketide	cytosol [GO:0005829]	6
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	6
Polyketide	extracellular exosome [GO:0070062]	6
Polyketide	nucleoplasm [GO:0005654]	6
Polyketide	plasma membrane [GO:0005886]	6
Polyketide	extracellular region [GO:0005576]	6
Polyketide	extracellular space [GO:0005615]	6
Polyketide	cell surface [GO:0009986]	6
Polyketide	protein-containing complex [GO:0032991]	8
Polyketide	cytosol [GO:0005829]	8
Polyketide	nucleoplasm [GO:0005654]	8
Polyketide	membrane [GO:0016020]	8
Polyketide	plasma membrane [GO:0005886]	8
Polyketide	euchromatin [GO:0000791]	8
Polyketide	chromatin [GO:0000785]	8
Polyketide	transcription regulator complex [GO:0005667]	8
Polyketide	nucleus [GO:0005634]	8
Polyketide	cytoplasm [GO:0005737]	8
Polyketide	Golgi apparatus [GO:0005794]	8
Polyketide	endocytic vesicle [GO:0030139]	18
Polyketide	focal adhesion [GO:0005925]	18
Polyketide	intercellular canaliculus [GO:0046581]	18
Polyketide	apical plasma membrane [GO:0016324]	18
Polyketide	lamellipodium membrane [GO:0031258]	18
Polyketide	lamellipodium [GO:0030027]	18
Polyketide	extracellular exosome [GO:0070062]	18
Polyketide	plasma membrane [GO:0005886]	18
Polyketide	membrane [GO:0016020]	18
Polyketide	extracellular region [GO:0005576]	18
Polyketide	membrane raft [GO:0045121]	18
Polyketide	lysosomal membrane [GO:0005765]	18
Polyketide	cell surface [GO:0009986]	18
Polyketide	nuclear envelope [GO:0005635]	8
Polyketide	perinuclear region of cytoplasm [GO:0048471]	8
Polyketide	cytosol [GO:0005829]	8
Polyketide	pericentriolar material [GO:0000242]	8
Polyketide	Golgi membrane [GO:0000139]	8
Polyketide	chromosome, telomeric region [GO:0000781]	8
Polyketide	nucleus [GO:0005634]	8
Polyketide	cytoplasm [GO:0005737]	8
Polyketide	extracellular space [GO:0005615]	6
Polyketide	azurophil granule lumen [GO:0035578]	6
Polyketide	extracellular region [GO:0005576]	6
Polyketide	extracellular exosome [GO:0070062]	6
Polyketide	neuron projection [GO:0043005]	8
Polyketide	cytosol [GO:0005829]	8
Polyketide	postsynaptic density [GO:0014069]	8
Polyketide	Golgi membrane [GO:0000139]	8
Polyketide	plasma membrane [GO:0005886]	8
Polyketide	Golgi apparatus [GO:0005794]	8
Polyketide	protein-containing complex [GO:0032991]	3
Polyketide	endocytic vesicle membrane [GO:0030666]	3
Polyketide	cytosol [GO:0005829]	3
Polyketide	transcription repressor complex [GO:0017053]	3
Polyketide	nucleoplasm [GO:0005654]	3
Polyketide	plasma membrane [GO:0005886]	3
Polyketide	nucleus [GO:0005634]	3
Polyketide	cytoplasm [GO:0005737]	3
Polyketide	nucleolus [GO:0005730]	3
Polyketide	protein-containing complex [GO:0032991]	6
Polyketide	cytosol [GO:0005829]	6
Polyketide	nucleoplasm [GO:0005654]	6
Polyketide	membrane [GO:0016020]	6
Polyketide	plasma membrane [GO:0005886]	6
Polyketide	euchromatin [GO:0000791]	6
Polyketide	chromatin [GO:0000785]	6
Polyketide	transcription regulator complex [GO:0005667]	6
Polyketide	nucleus [GO:0005634]	6
Polyketide	cytoplasm [GO:0005737]	6
Polyketide	Golgi apparatus [GO:0005794]	6
Polyketide	chromosome [GO:0005694]	11
Polyketide	cytoplasm [GO:0005737]	11
Polyketide	protein-containing complex [GO:0032991]	7
Polyketide	cytosol [GO:0005829]	7
Polyketide	nucleoplasm [GO:0005654]	7
Polyketide	membrane [GO:0016020]	7
Polyketide	plasma membrane [GO:0005886]	7
Polyketide	euchromatin [GO:0000791]	7
Polyketide	chromatin [GO:0000785]	7
Polyketide	transcription regulator complex [GO:0005667]	7
