class	GO_CC	polarity_score
Glycerophospholipid	photosystem II [GO:0009523]	5
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	5
Glycerophospholipid	photosystem I [GO:0009522]	5
Glycerophospholipid	plasma membrane [GO:0005886]	8
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	7
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	7
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	7
Glycerophospholipid	respiratory chain complex IV [GO:0045277]	7
Glycerophospholipid	membrane [GO:0016020]	8
Glycerophospholipid	plasma membrane respiratory chain complex I [GO:0045272]	8
Glycerophospholipid	respiratory chain complex I [GO:0045271]	8
Glycerophospholipid	plasma membrane [GO:0005886]	8
Glycerophospholipid	NADH dehydrogenase complex [GO:0030964]	8
Glycerophospholipid	membrane [GO:0016020]	6
Glycerophospholipid	apical plasma membrane [GO:0016324]	6
Glycerophospholipid	extracellular exosome [GO:0070062]	6
Glycerophospholipid	cytosol [GO:0005829]	6
Glycerophospholipid	plasma membrane [GO:0005886]	6
Glycerophospholipid	photosystem II [GO:0009523]	3
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	3
Glycerophospholipid	photosystem I [GO:0009522]	3
Glycerophospholipid	periplasmic space [GO:0042597]	3
Glycerophospholipid	photosystem II [GO:0009523]	2
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerophospholipid	photosystem II [GO:0009523]	2
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	2
Glycerophospholipid	cell body fiber [GO:0070852]	0
Glycerophospholipid	nuclear envelope [GO:0005635]	0
Glycerophospholipid	endosome [GO:0005768]	0
Glycerophospholipid	axolemma [GO:0030673]	0
Glycerophospholipid	glutamatergic synapse [GO:0098978]	0
Glycerophospholipid	inward rectifying potassium channel [GO:0008282]	0
Glycerophospholipid	plasma membrane [GO:0005886]	0
Glycerophospholipid	T-tubule [GO:0030315]	0
Glycerophospholipid	acrosomal vesicle [GO:0001669]	0
Glycerophospholipid	presynaptic membrane [GO:0042734]	0
Glycerophospholipid	sarcolemma [GO:0042383]	0
Glycerophospholipid	intercalated disc [GO:0014704]	0
