LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10
LC00	0.9793974593919201	0.3430284353741497	0.04933786066150598	0.0034933209647495357	0.008128571428571428	0.08421740064446831	0.0	0.0026462585034013604	0.005079962894248609	0.0	0.0
LC01	0.3396708843537415	0.7791661111111111	0.040264655172413795	0.0	0.0010821666666666666	0.13009859649122807	0.0007548717948717949	0.0	0.0	0.0	0.0
LC02	0.05057144264602393	0.04827548275862069	0.16709445897740782	0.048795768025078366	0.06542862068965517	0.07677484573502723	0.03176206896551724	0.033005459770114945	0.04433291536050157	0.027110000000000002	0.011127969348659004
LC03	0.007420222634508349	0.0	0.012339341692789968	0.9863888429752066	0.8401274999999999	0.027870095693779903	0.0795993006993007	0.13230606060606062	0.03835	0.056935454545454546	0.16062929292929293
LC04	0.008755102040816327	0.0011261666666666666	0.040075	0.83962	0.924338	0.038685789473684215	0.12514076923076922	0.16551625	0.02818	0.057938	0.12435166666666667
LC05	0.10365725026852847	0.11140701754385965	0.05890833030852995	0.015970334928229662	0.015885	0.5552590027700831	0.036242105263157895	0.030344736842105265	0.0	0.035652631578947366	0.0
LC06	0.00048367346938775507	0.008289487179487178	0.03273793103448276	0.06373951048951049	0.12982384615384615	0.05275263157894737	0.560301775147929	0.18220128205128205	0.05376293706293706	0.12779153846153846	0.10255042735042735
LC07	0.0028469387755102036	0.0	0.023316091954022986	0.05815871212121212	0.17773083333333337	0.041696052631578946	0.18211282051282052	1.0014513888888887	0.05688560606060606	0.09627666666666668	0.11950833333333334
LC08	0.0016150278293135436	0.0	0.046114106583072106	0.12048305785123968	0.0754509090909091	0.01695023923444976	0.06597342657342657	0.06969242424242425	0.9854578512396693	0.03409636363636364	0.005805050505050505
LC09	0.0	0.0	0.009980344827586207	0.02328636363636364	0.048750499999999995	0.035423684210526316	0.12080769230769231	0.014011666666666667	0.037566363636363634	0.9422240000000001	0.2106011111111111
LC10	0.004122448979591836	0.0	0.0107455938697318	0.18523888888888887	0.1814711111111111	0.007085380116959065	0.13432222222222223	0.19844444444444445	0.029197979797979796	0.24401333333333333	0.9640987654320988
