StruCluster	SC0	SC1	SC2	SC3	SC4
SC0	0.26948335048010974	0.061234328703703704	0.2857188554948391	0.036702307692307694	0.06458576131687244
SC1	0.06292453703703704	0.26445625	0.03216301229508197	0.019492307692307694	0.04252038194444444
SC2	0.2834358621736491	0.03196676229508197	0.5381462241332975	0.0024337704918032783	0.030247017304189435
SC3	0.03870880341880342	0.029247307692307694	0.003907137452711223	0.4581555029585799	0.07966102564102563
SC4	0.07161390946502058	0.03871215277777778	0.03262201275045537	0.0824218547008547	0.26278711419753087
