pdb_file	ccd_id	expected_atom_count	observed_atom_count	missing_atom_count	extra_atom_count	missing_atoms	extra_atoms
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbj-H-H-AE21/BD1dbj-H-H-AE21_protonated.pdb	AE2	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbk-H-H-ANO1/plipfixed.BD1dbk-H-H-ANO1_bu_34wv6.pdb	ANO	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1dbk-H-H-ANO1/BD1dbk-H-H-ANO1_protonated.pdb	ANO	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1dht-A-A-DHT1/BD1dht-A-A-DHT1_protonated.pdb	DHT	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3g-A-A-R181/BD1e3g-A-A-R181_protonated.pdb	R18	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3k-A-A-R181/BD1e3k-A-A-R181_protonated.pdb	R18	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3r-A-A-AND1/BD1e3r-A-A-AND1_protonated.pdb	AND	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3r-B-B-AND1/BD1e3r-B-B-AND1_protonated.pdb	AND	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e3v-A-A-DXC1/BD1e3v-A-A-DXC1_protonated.pdb	DXC	28	28	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1e6w-C-C-EST1/BD1e6w-C-C-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-A-A-CHD1/BD1ee2-A-A-CHD1_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-A-B-CHD1/plipfixed.BD1ee2-A-B-CHD1_z3u8xku4.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-A-B-CHD1/BD1ee2-A-B-CHD1_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-B-A-CHD1/plipfixed.BD1ee2-B-A-CHD1_x029mb4p.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ee2-B-A-CHD1/BD1ee2-B-A-CHD1_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1eio-A-A-GCH1/BD1eio-A-A-GCH1_protonated.pdb	GCH	33	33	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1equ-A-A-EQI1/BD1equ-A-A-EQI1_protonated.pdb	EQI	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ere-A-A-EST1/BD1ere-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1eup-A-A-ASD1/BD1eup-A-A-ASD1_protonated.pdb	ASD	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1eup-A-A-ASD2/BD1eup-A-A-ASD2_protonated.pdb	ASD	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-A-A-CPS1/BD1ex4-A-A-CPS1_protonated.pdb	CPS	42	25	17	0	C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-A-A-CPS2/BD1ex4-A-A-CPS2_protonated.pdb	CPS	42	25	17	0	C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-B-B-CPS1/BD1ex4-B-B-CPS1_protonated.pdb	CPS	42	25	17	0	C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1ex4-B-B-CPS2/BD1ex4-B-B-CPS2_protonated.pdb	CPS	42	42	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1f5f-A-A-DHT1/BD1f5f-A-A-DHT1_protonated.pdb	DHT	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-A-CPS1/BD1f6a-A-A-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-A-CPS2/BD1f6a-A-A-CPS2_protonated.pdb	CPS	42	42	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-D-CPS1/plipfixed.BD1f6a-A-D-CPS1_osrb2ryk.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-A-D-CPS1/BD1f6a-A-D-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS1/plipfixed.BD1f6a-D-A-CPS1_zl7ez0qv.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS1/BD1f6a-D-A-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS2/plipfixed.BD1f6a-D-A-CPS2_ni5szej8.pdb	CPS	42	42	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-A-CPS2/BD1f6a-D-A-CPS2_protonated.pdb	CPS	42	42	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS1/BD1f6a-D-D-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS2/BD1f6a-D-D-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1f6a-D-D-CPS3/BD1f6a-D-D-CPS3_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1fds-A-A-EST1/BD1fds-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdt-A-A-EST1/BD1fdt-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdu-A-A-EST1/BD1fdu-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fdw-A-A-EST1/BD1fdw-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fm4-A-A-DXC1/BD1fm4-A-A-DXC1_protonated.pdb	DXC	28	28	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fm4-A-A-DXC2/BD1fm4-A-A-DXC2_protonated.pdb	DXC	28	28	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1fmc-A-A-CHO1/BD1fmc-A-A-CHO1_protonated.pdb	CHO	32	28	4	0	C26,C27,OT1,OT2	
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-A-A-EST1/BD1g50-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-B-B-EST1/BD1g50-B-B-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1g50-C-C-EST1/BD1g50-C-C-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1gr3-A-A-CPS1/BD1gr3-A-A-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1gs3-A-A-EQU1/BD1gs3-A-A-EQU1_protonated.pdb	EQU	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1gs4-A-A-ZK51/BD1gs4-A-A-ZK51_protonated.pdb	ZK5	27	27	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1gwr-A-A-EST1/BD1gwr-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1gwr-B-B-EST1/BD1gwr-B-B-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1h60-A-A-STR1/BD1h60-A-A-STR1_protonated.pdb	STR	23	23	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1h61-A-A-PDN1/BD1h61-A-A-PDN1_protonated.pdb	PDN	26	26	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1h62-A-A-ANB1/BD1h62-A-A-ANB1_protonated.pdb	ANB	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD1/BD1hrk-A-A-CHD1_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD2/BD1hrk-A-A-CHD2_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-A-A-CHD3/BD1hrk-A-A-CHD3_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD1/BD1hrk-B-B-CHD1_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD2/BD1hrk-B-B-CHD2_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hrk-B-B-CHD3/BD1hrk-B-B-CHD3_protonated.pdb	CHD	29	29	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-A-A-CPS1/BD1hv5-A-A-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-A-A-CPS2/BD1hv5-A-A-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-B-B-CPS1/BD1hv5-B-B-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-B-B-CPS2/BD1hv5-B-B-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-C-C-CPS1/BD1hv5-C-C-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-C-C-CPS2/BD1hv5-C-C-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-D-D-CPS1/BD1hv5-D-D-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-D-D-CPS2/BD1hv5-D-D-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-E-A-CPS1/plipfixed.BD1hv5-E-A-CPS1_srehgcfh.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-E-A-CPS1/BD1hv5-E-A-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-E-E-CPS1/BD1hv5-E-E-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-E-E-CPS2/BD1hv5-E-E-CPS2_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-F-F-CPS1/BD1hv5-F-F-CPS1_protonated.pdb	CPS	42	26	16	0	C24,C25,C26,C27,C28,C29,C30,C31,C32,N1,N2,O1,O1S,O2S,O3S,S	
/Volumes/GigiMurin/plip/sterol_lipids/BD1hv5-F-F-CPS2/BD1hv5-F-F-CPS2_protonated.pdb	CPS	42	42	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i37-A-A-DHT1/BD1i37-A-A-DHT1_protonated.pdb	DHT	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i38-A-A-DHT1/BD1i38-A-A-DHT1_protonated.pdb	DHT	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i5r-A-A-HYC1/BD1i5r-A-A-HYC1_protonated.pdb	HYC	49	49	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i9j-H-H-TES1/BD1i9j-H-H-TES1_protonated.pdb	TES	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i9j-L-H-TES1/plipfixed.BD1i9j-L-H-TES1_pp_eg7_k.pdb	TES	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1i9j-L-H-TES1/BD1i9j-L-H-TES1_protonated.pdb	TES	21	21	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ibg-H-H-OBN1/plipfixed.BD1ibg-H-H-OBN1_pihk7a55.pdb	OBN	52	41	21	10	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","H6'1","H6'2","H6'3","HO2'","HO3'","HO4'","O2'","O3'","O4'","O5'"	C1',C2',C3',C4',C5',C6',O2',O3',O4',O5'
/Volumes/GigiMurin/plip/sterol_lipids/BD1ibg-H-H-OBN1/BD1ibg-H-H-OBN1_protonated.pdb	OBN	52	41	21	10	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","H6'1","H6'2","H6'3","HO2'","HO3'","HO4'","O2'","O3'","O4'","O5'"	C1',C2',C3',C4',C5',C6',O2',O3',O4',O5'
/Volumes/GigiMurin/plip/sterol_lipids/BD1ibg-L-H-OBN1/plipfixed.BD1ibg-L-H-OBN1_298yh7me.pdb	OBN	52	41	21	10	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","H6'1","H6'2","H6'3","HO2'","HO3'","HO4'","O2'","O3'","O4'","O5'"	C1',C2',C3',C4',C5',C6',O2',O3',O4',O5'
