class	GO_CC	ratio
Sterol	membrane [GO:0016020]	0.8716297408937289
Sterol	synapse [GO:0045202]	0.8716297408937289
Sterol	periplasmic space [GO:0042597]	0.8716297408937289
Sterol	cytoplasm [GO:0005737]	0.8716297408937289
Sterol	cytosol [GO:0005829]	0.3003006944610171
Sterol	serotonergic synapse [GO:0099154]	0.4433912082816186
Sterol	endosome membrane [GO:0010008]	0.4433912082816186
Sterol	focal adhesion [GO:0005925]	0.4433912082816186
Sterol	neuron projection [GO:0043005]	0.4433912082816186
Sterol	endomembrane system [GO:0012505]	0.4433912082816186
Sterol	plasma membrane [GO:0005886]	0.4433912082816186
Sterol	postsynaptic membrane [GO:0045211]	0.4433912082816186
Sterol	synapse [GO:0045202]	0.4433912082816186
Sterol	presynaptic membrane [GO:0042734]	0.4433912082816186
Sterol	membrane raft [GO:0045121]	0.4433912082816186
Sterol	cytosol [GO:0005829]	0.24089354836012805
Sterol	plasma membrane [GO:0005886]	0.6840716219598207
Sterol	postsynaptic membrane [GO:0045211]	0.8917058597928987
Sterol	external side of plasma membrane [GO:0009897]	0.8917058597928987
Sterol	membrane [GO:0016020]	0.8917058597928987
Sterol	dendrite [GO:0030425]	0.8917058597928987
Sterol	neuron projection [GO:0043005]	0.8917058597928987
Sterol	dendritic spine membrane [GO:0032591]	0.8917058597928987
Sterol	neuronal cell body [GO:0043025]	0.8917058597928987
Sterol	plasma membrane [GO:0005886]	0.8917058597928987
Sterol	cytoplasm [GO:0005737]	0.2926761995879985
Sterol	mitochondrial inner membrane [GO:0005743]	0.8801561945331914
Sterol	respiratory chain complex IV [GO:0045277]	0.8801561945331914
Sterol	non-motile cilium [GO:0097730]	0.4787660710787599
Sterol	ciliary membrane [GO:0060170]	0.4787660710787599
Sterol	cilium [GO:0005929]	0.4787660710787599
Sterol	plasma membrane [GO:0005886]	0.4787660710787599
Sterol	synapse [GO:0045202]	0.4787660710787599
Sterol	brush border membrane [GO:0031526]	0.4787660710787599
Sterol	periplasmic space [GO:0042597]	0.4787660710787599
Sterol	nucleoplasm [GO:0005654]	0.6734303534303535
Sterol	nucleus [GO:0005634]	0.6734303534303535
Sterol	RNA polymerase III complex [GO:0005666]	0.6734303534303535
Sterol	plasma membrane [GO:0005886]	0.9398810709306625
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.6761499218300008
Sterol	endoplasmic reticulum [GO:0005783]	0.6761499218300008
Sterol	Golgi membrane [GO:0000139]	0.6761499218300008
Sterol	Golgi apparatus [GO:0005794]	0.6761499218300008
Sterol	mitochondrion [GO:0005739]	0.8066969998578132
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.8066969998578132
Sterol	mitochondrial respirasome [GO:0005746]	0.8066969998578132
Sterol	respiratory chain complex IV [GO:0045277]	0.8066969998578132
Sterol	GABA-ergic synapse [GO:0098982]	0.5673755159621715
Sterol	plasma membrane [GO:0005886]	0.5673755159621715
Sterol	postsynaptic membrane [GO:0045211]	0.5673755159621715
Sterol	presynapse [GO:0098793]	0.5673755159621715
Sterol	presynaptic membrane [GO:0042734]	0.5673755159621715
Sterol	axon [GO:0030424]	0.5673755159621715
Sterol	cell surface [GO:0009986]	0.5673755159621715
Sterol	neuronal cell body [GO:0043025]	0.5673755159621715
Sterol	plasma membrane [GO:0005886]	0.7553770594924154
Sterol	voltage-gated calcium channel complex [GO:0005891]	0.6410108069330989
Sterol	plasma membrane [GO:0005886]	0.6410108069330989
Sterol	synapse [GO:0045202]	0.6410108069330989
Sterol	neuronal cell body [GO:0043025]	0.6410108069330989
Sterol	plasma membrane [GO:0005886]	0.28682232075022396
Sterol	lysosome [GO:0005764]	0.28682232075022396
Sterol	cardiac Troponin complex [GO:1990584]	0.5482025299003895
Sterol	troponin complex [GO:0005861]	0.5482025299003895
Sterol	cytosol [GO:0005829]	0.5482025299003895
Sterol	lateral plasma membrane [GO:0016328]	0.40863905325443783
Sterol	connexin complex [GO:0005922]	0.40863905325443783
Sterol	endoplasmic reticulum membrane [GO:0005789]	0.40863905325443783
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.9669861202908129
Sterol	respiratory chain complex IV [GO:0045277]	0.9669861202908129
Sterol	plasma membrane [GO:0005886]	1.0350829315625094
Sterol	cell projection [GO:0042995]	0.8416825736766144
Sterol	plasma membrane [GO:0005886]	0.8416825736766144
Sterol	postsynaptic membrane [GO:0045211]	0.8416825736766144
Sterol	presynaptic membrane [GO:0042734]	0.8416825736766144
Sterol	nucleus [GO:0005634]	0.8416825736766144
Sterol	cytosol [GO:0005829]	1.1325602699019148
Sterol	nucleoplasm [GO:0005654]	1.1325602699019148
Sterol	receptor complex [GO:0043235]	1.1325602699019148
Sterol	mitochondrion [GO:0005739]	1.1325602699019148
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	1.1325602699019148
Sterol	chromatin [GO:0000785]	1.1325602699019148
Sterol	transcription regulator complex [GO:0005667]	1.1325602699019148
Sterol	nucleus [GO:0005634]	1.1325602699019148
Sterol	cell surface [GO:0009986]	0.6630092601115631
Sterol	apical plasma membrane [GO:0016324]	0.6630092601115631
Sterol	external side of apical plasma membrane [GO:0098591]	0.6630092601115631
Sterol	extracellular exosome [GO:0070062]	0.6630092601115631
Sterol	plasma membrane [GO:0005886]	0.6630092601115631
Sterol	membrane [GO:0016020]	0.6630092601115631
Sterol	cytoplasm [GO:0005737]	0.6630092601115631
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3.1977196633788796
Sterol	respiratory chain complex IV [GO:0045277]	3.1977196633788796
Sterol	membrane [GO:0016020]	0.5770291634431026
Sterol	apical plasma membrane [GO:0016324]	0.5770291634431026
Sterol	extracellular exosome [GO:0070062]	0.5770291634431026
Sterol	cell surface [GO:0009986]	0.5770291634431026
Sterol	external side of apical plasma membrane [GO:0098591]	0.5770291634431026
Sterol	plasma membrane [GO:0005886]	0.5770291634431026
Sterol	cytoplasm [GO:0005737]	0.5770291634431026
Sterol	dendrite [GO:0030425]	1.6459957131722525
Sterol	axolemma [GO:0030673]	1.6459957131722525
Sterol	neuronal cell body [GO:0043025]	1.6459957131722525
Sterol	glutamatergic synapse [GO:0098978]	1.6459957131722525
Sterol	membrane [GO:0016020]	1.6459957131722525
Sterol	plasma membrane [GO:0005886]	1.6459957131722525
Sterol	postsynaptic membrane [GO:0045211]	1.6459957131722525
Sterol	presynaptic membrane [GO:0042734]	1.6459957131722525
Sterol	presynaptic active zone [GO:0048786]	1.6459957131722525
Sterol	periplasmic space [GO:0042597]	1.6459957131722525
Sterol	intermediate filament [GO:0005882]	1.6459957131722525
Sterol	asymmetric synapse [GO:0032279]	1.6459957131722525
Sterol	dendrite [GO:0030425]	0.8348761632773647
Sterol	axolemma [GO:0030673]	0.8348761632773647
Sterol	neuronal cell body [GO:0043025]	0.8348761632773647
Sterol	glutamatergic synapse [GO:0098978]	0.8348761632773647
Sterol	membrane [GO:0016020]	0.8348761632773647
Sterol	plasma membrane [GO:0005886]	0.8348761632773647
Sterol	postsynaptic membrane [GO:0045211]	0.8348761632773647
Sterol	presynaptic membrane [GO:0042734]	0.8348761632773647
Sterol	presynaptic active zone [GO:0048786]	0.8348761632773647
Sterol	periplasmic space [GO:0042597]	0.8348761632773647
Sterol	intermediate filament [GO:0005882]	0.8348761632773647
Sterol	asymmetric synapse [GO:0032279]	0.8348761632773647
Sterol	dendrite [GO:0030425]	0.7475525743292241
Sterol	sarcoplasmic reticulum membrane [GO:0033017]	0.7475525743292241
Sterol	cytoplasmic side of membrane [GO:0098562]	0.7475525743292241
Sterol	cytosol [GO:0005829]	0.7475525743292241
Sterol	Z disc [GO:0030018]	0.7475525743292241
Sterol	sarcoplasmic reticulum [GO:0016529]	0.7475525743292241
Sterol	terminal cisterna [GO:0014802]	0.7475525743292241
Sterol	glutamatergic synapse [GO:0098978]	0.7475525743292241
Sterol	membrane [GO:0016020]	0.7475525743292241
Sterol	plasma membrane [GO:0005886]	0.7475525743292241
Sterol	ryanodine receptor complex [GO:1990425]	0.7475525743292241
Sterol	astrocyte projection [GO:0097449]	0.7475525743292241
Sterol	presynaptic membrane [GO:0042734]	0.7475525743292241
Sterol	axon [GO:0030424]	0.7475525743292241
Sterol	cytoplasm [GO:0005737]	0.7475525743292241
Sterol	dendrite [GO:0030425]	0.41805334555948104
Sterol	axolemma [GO:0030673]	0.41805334555948104
Sterol	neuronal cell body [GO:0043025]	0.41805334555948104
Sterol	glutamatergic synapse [GO:0098978]	0.41805334555948104
Sterol	membrane [GO:0016020]	0.41805334555948104
Sterol	plasma membrane [GO:0005886]	0.41805334555948104
Sterol	postsynaptic membrane [GO:0045211]	0.41805334555948104
Sterol	presynaptic membrane [GO:0042734]	0.41805334555948104
Sterol	presynaptic active zone [GO:0048786]	0.41805334555948104
Sterol	periplasmic space [GO:0042597]	0.41805334555948104
Sterol	intermediate filament [GO:0005882]	0.41805334555948104
Sterol	asymmetric synapse [GO:0032279]	0.41805334555948104
Sterol	membrane [GO:0016020]	0.3166729642924618
Sterol	intracellular membrane-bounded organelle [GO:0043231]	0.3166729642924618
Sterol	cytoplasm [GO:0005737]	0.3166729642924618
Sterol	dendrite [GO:0030425]	0.33336405813131775
Sterol	endoplasmic reticulum [GO:0005783]	0.33336405813131775
Sterol	Golgi apparatus [GO:0005794]	0.33336405813131775
Sterol	ciliary membrane [GO:0060170]	0.33336405813131775
Sterol	ciliary tip [GO:0097542]	0.33336405813131775
Sterol	endocytic vesicle membrane [GO:0030666]	0.33336405813131775
Sterol	cilium [GO:0005929]	0.33336405813131775
Sterol	extracellular exosome [GO:0070062]	0.33336405813131775
Sterol	intracellular membrane-bounded organelle [GO:0043231]	0.33336405813131775
Sterol	plasma membrane [GO:0005886]	0.33336405813131775
Sterol	centriole [GO:0005814]	0.33336405813131775
Sterol	9+0 non-motile cilium [GO:0097731]	0.33336405813131775
Sterol	late endosome [GO:0005770]	0.33336405813131775
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	0.33336405813131775
Sterol	mitochondrion [GO:0005739]	1.1258359053497942
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	1.1258359053497942
Sterol	mitochondrial respirasome [GO:0005746]	1.1258359053497942
Sterol	respiratory chain complex IV [GO:0045277]	1.1258359053497942
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.9094993234100135
Sterol	respiratory chain complex IV [GO:0045277]	0.9094993234100135
Sterol	protein-containing complex [GO:0032991]	0.3779923951657533
Sterol	cytosol [GO:0005829]	0.3779923951657533
Sterol	nucleoplasm [GO:0005654]	0.3779923951657533
Sterol	plasma membrane [GO:0005886]	0.3779923951657533
Sterol	nuclear speck [GO:0016607]	0.3779923951657533
Sterol	chromatin [GO:0000785]	0.3779923951657533
Sterol	nucleus [GO:0005634]	0.3779923951657533
Sterol	cytoplasm [GO:0005737]	0.3779923951657533
Sterol	cytoplasm [GO:0005737]	0.6360474631751227
Sterol	apical plasma membrane [GO:0016324]	0.7288105060258326
Sterol	mitochondrial membrane [GO:0031966]	0.7288105060258326
Sterol	external side of apical plasma membrane [GO:0098591]	0.7288105060258326
Sterol	nucleoplasm [GO:0005654]	0.7288105060258326
Sterol	plasma membrane [GO:0005886]	0.7288105060258326
Sterol	brush border membrane [GO:0031526]	0.7288105060258326
Sterol	membrane raft [GO:0045121]	0.7288105060258326
