class	GO_CC	ratio
Glycerolipid	plasma membrane [GO:0005886]	0.4517903529771303
Glycerolipid	plasma membrane [GO:0005886]	0.24817262148412372
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	1.011648231416868
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	1.011648231416868
Glycerolipid	plasma membrane [GO:0005886]	2.773180308064029
Glycerolipid	plasma membrane [GO:0005886]	0.39373674287061045
Glycerolipid	plasma membrane [GO:0005886]	0.2933324665756571
Glycerolipid	plasma membrane [GO:0005886]	0.2646495071193867
Glycerolipid	plasma membrane [GO:0005886]	0.7486144515319462
Glycerolipid	plasma membrane [GO:0005886]	1.847609038360483
Glycerolipid	plasma membrane [GO:0005886]	0.567218090376632
Glycerolipid	plasma membrane [GO:0005886]	0.4802707445475057
Glycerolipid	plasma membrane [GO:0005886]	0.26254490670993164
Glycerolipid	plasma membrane [GO:0005886]	2.866200617785726
Glycerolipid	periplasmic space [GO:0042597]	0.4999261847350032
Glycerolipid	periplasmic space [GO:0042597]	0.5816654219566841
Glycerolipid	plasma membrane [GO:0005886]	0.9225425288721314
Glycerolipid	respirasome [GO:0070469]	0.9225425288721314
Glycerolipid	plasma membrane [GO:0005886]	0.7752880539690752
Glycerolipid	respirasome [GO:0070469]	0.7752880539690752
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	0.6418318856386086
Glycerolipid	respiratory chain complex IV [GO:0045277]	0.6418318856386086
Glycerolipid	plasma membrane [GO:0005886]	0.9381379422794718
Glycerolipid	respirasome [GO:0070469]	0.9381379422794718
Glycerolipid	plasma membrane [GO:0005886]	0.661798291369442
Glycerolipid	respirasome [GO:0070469]	0.661798291369442
Glycerolipid	plasma membrane [GO:0005886]	0.8823852295409182
Glycerolipid	respirasome [GO:0070469]	0.8823852295409182
Glycerolipid	plasma membrane [GO:0005886]	0.3752592788737367
Glycerolipid	respirasome [GO:0070469]	0.3752592788737367
Glycerolipid	plasma membrane [GO:0005886]	0.3091268878227267
Glycerolipid	respirasome [GO:0070469]	0.3091268878227267
Glycerolipid	plasma membrane [GO:0005886]	1.1365088182196919
Glycerolipid	respirasome [GO:0070469]	1.1365088182196919
Glycerolipid	plasma membrane [GO:0005886]	0.6206554335397295
Glycerolipid	respirasome [GO:0070469]	0.6206554335397295
Glycerolipid	plasma membrane [GO:0005886]	0.8001078642871151
Glycerolipid	respirasome [GO:0070469]	0.8001078642871151
Glycerolipid	plasma membrane [GO:0005886]	1.3902751119641714
Glycerolipid	respirasome [GO:0070469]	1.3902751119641714
Glycerolipid	plasma membrane [GO:0005886]	0.6947135344588984
Glycerolipid	respirasome [GO:0070469]	0.6947135344588984
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	1.118160300153602
Glycerolipid	respiratory chain complex IV [GO:0045277]	1.118160300153602
Glycerolipid	plasma membrane [GO:0005886]	1.0905651014205073
Glycerolipid	respirasome [GO:0070469]	1.0905651014205073
Glycerolipid	plasma membrane [GO:0005886]	2.7432029626953303
Glycerolipid	respirasome [GO:0070469]	2.7432029626953303
Glycerolipid	postsynaptic density membrane [GO:0098839]	0.26692159869557625
Glycerolipid	neuronal dense core vesicle [GO:0098992]	0.26692159869557625
Glycerolipid	plasma membrane [GO:0005886]	0.26692159869557625
Glycerolipid	presynaptic membrane [GO:0042734]	0.26692159869557625
Glycerolipid	neuron projection [GO:0043005]	0.26692159869557625
Glycerolipid	dendrite membrane [GO:0032590]	0.26692159869557625
Glycerolipid	synaptic vesicle membrane [GO:0030672]	0.26692159869557625
Glycerolipid	axon terminus [GO:0043679]	0.26692159869557625
Glycerolipid	spine apparatus [GO:0097444]	0.26692159869557625
Glycerolipid	postsynaptic density membrane [GO:0098839]	0.48931050903531415
Glycerolipid	neuronal dense core vesicle [GO:0098992]	0.48931050903531415
Glycerolipid	plasma membrane [GO:0005886]	0.48931050903531415
Glycerolipid	presynaptic membrane [GO:0042734]	0.48931050903531415
Glycerolipid	neuron projection [GO:0043005]	0.48931050903531415
Glycerolipid	dendrite membrane [GO:0032590]	0.48931050903531415
Glycerolipid	synaptic vesicle membrane [GO:0030672]	0.48931050903531415
Glycerolipid	axon terminus [GO:0043679]	0.48931050903531415
Glycerolipid	spine apparatus [GO:0097444]	0.48931050903531415
Glycerolipid	postsynaptic density membrane [GO:0098839]	0.8092057375294369
Glycerolipid	neuronal dense core vesicle [GO:0098992]	0.8092057375294369
Glycerolipid	plasma membrane [GO:0005886]	0.8092057375294369
Glycerolipid	presynaptic membrane [GO:0042734]	0.8092057375294369
Glycerolipid	neuron projection [GO:0043005]	0.8092057375294369
Glycerolipid	dendrite membrane [GO:0032590]	0.8092057375294369
Glycerolipid	synaptic vesicle membrane [GO:0030672]	0.8092057375294369
Glycerolipid	axon terminus [GO:0043679]	0.8092057375294369
Glycerolipid	spine apparatus [GO:0097444]	0.8092057375294369
Glycerolipid	postsynaptic density membrane [GO:0098839]	0.38929896935664127
Glycerolipid	neuronal dense core vesicle [GO:0098992]	0.38929896935664127
Glycerolipid	plasma membrane [GO:0005886]	0.38929896935664127
Glycerolipid	presynaptic membrane [GO:0042734]	0.38929896935664127
Glycerolipid	neuron projection [GO:0043005]	0.38929896935664127
Glycerolipid	dendrite membrane [GO:0032590]	0.38929896935664127
Glycerolipid	synaptic vesicle membrane [GO:0030672]	0.38929896935664127
Glycerolipid	axon terminus [GO:0043679]	0.38929896935664127
Glycerolipid	spine apparatus [GO:0097444]	0.38929896935664127
Glycerolipid	postsynaptic density membrane [GO:0098839]	0.339851992748239
Glycerolipid	neuronal dense core vesicle [GO:0098992]	0.339851992748239
Glycerolipid	plasma membrane [GO:0005886]	0.339851992748239
Glycerolipid	presynaptic membrane [GO:0042734]	0.339851992748239
Glycerolipid	neuron projection [GO:0043005]	0.339851992748239
Glycerolipid	dendrite membrane [GO:0032590]	0.339851992748239
Glycerolipid	synaptic vesicle membrane [GO:0030672]	0.339851992748239
Glycerolipid	axon terminus [GO:0043679]	0.339851992748239
