interaction_type	group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
hbond	glycerophospholipid	glycerolipid	115392203.0	0.9485995434517128	32546	7088	0.9485995434517128	False
hbond	glycerophospholipid	fattyacyl	471980353.5	1.5513478572946114e-20	32546	30138	1.974442727465869e-20	True
hbond	glycerolipid	fattyacyl	102707063.0	1.0746682168872474e-08	7088	30138	1.3082917422975185e-08	True
saltbridge	sterol	sphingolipid	669447.0	9.115716848793631e-08	6797	224	1.1601821443919166e-07	True
saltbridge	sterol	saccharolipid	324594.0	1.783469084649084e-265	6797	329	1.2484283592543588e-264	True
saltbridge	sterol	prenol	53419105.5	1.4765120999539343e-56	6797	14798	2.7561559199140107e-56	True
saltbridge	sterol	polyketide	8292342.0	5.05713879157309e-17	6797	2616	7.866660342447029e-17	True
saltbridge	sterol	glycerophospholipid	96253317.5	7.543959506970951e-118	6797	32546	1.920280601774424e-117	True
saltbridge	sterol	glycerolipid	23020535.5	1.613442617740417e-13	6797	7088	2.258819664836584e-13	True
saltbridge	sterol	fattyacyl	88804719.5	1.286858495407191e-121	6797	30138	3.603203787140135e-121	True
saltbridge	sphingolipid	saccharolipid	15792.5	2.9989933315092338e-33	224	329	5.248238330141159e-33	True
saltbridge	sphingolipid	prenol	1944514.0	1.903868798603202e-27	224	14798	3.1357839035817447e-27	True
saltbridge	sphingolipid	polyketide	310006.5	0.03523464371587094	224	2616	0.03946280096177545	True
saltbridge	sphingolipid	glycerophospholipid	3642438.0	0.9796830487582485	224	32546	0.9796830487582485	False
saltbridge	sphingolipid	glycerolipid	857605.0	0.0017155109672927673	224	7088	0.002088448134095543	True
saltbridge	sphingolipid	fattyacyl	3356327.0	0.8469347520049014	224	30138	0.8783027057828607	False
saltbridge	saccharolipid	prenol	4202123.0	0.0	329	14798	0.0	True
saltbridge	saccharolipid	polyketide	715380.0	2.5747251710064516e-145	329	2616	1.2015384131363441e-144	True
saltbridge	saccharolipid	glycerophospholipid	8611269.5	8.600848926235471e-138	329	32546	3.010297124182415e-137	True
saltbridge	saccharolipid	glycerolipid	1969281.0	6.964106178038049e-206	329	7088	3.8998994597013073e-205	True
saltbridge	saccharolipid	fattyacyl	7925488.0	3.683219863885951e-132	329	30138	1.1458906243200734e-131	True
saltbridge	prenol	polyketide	16890752.0	2.8433228092204847e-112	14798	2616	6.634419888181131e-112	True
saltbridge	prenol	glycerophospholipid	196059323.0	0.0	14798	32546	0.0	True
saltbridge	prenol	glycerolipid	46829014.0	7.233543510302459e-143	14798	7088	2.8934174041209835e-142	True
saltbridge	prenol	fattyacyl	180852181.5	0.0	14798	30138	0.0	True
saltbridge	polyketide	glycerophospholipid	39851029.5	4.017534709563603e-13	2616	32546	5.356712946084804e-13	True
saltbridge	polyketide	glycerolipid	9496477.0	0.005227251912766819	2616	7088	0.006098460564894622	True
saltbridge	polyketide	fattyacyl	36764998.0	2.892850592337588e-14	2616	30138	4.263148241339603e-14	True
saltbridge	glycerophospholipid	glycerolipid	125605046.0	5.747351144373474e-57	32546	7088	1.1494702288746947e-56	True
saltbridge	glycerophospholipid	fattyacyl	488419519.0	0.23920162741971707	32546	30138	0.25760175260584917	False
saltbridge	glycerolipid	fattyacyl	96974752.0	8.331843050063188e-60	7088	30138	1.7945508107828404e-59	True
pistacking	sterol	sphingolipid	770971.5	0.14411817509815936	6797	224	0.15520418856724855	False
pistacking	sterol	saccharolipid	950081.5	2.190757516291415e-67	6797	329	5.576473677832693e-67	True
pistacking	sterol	prenol	49616205.0	1.1159538493694725e-08	6797	14798	1.4203048991975105e-08	True
pistacking	sterol	polyketide	6856795.5	3.7902980795070672e-292	6797	2616	1.7688057704366316e-291	True
pistacking	sterol	glycerophospholipid	112508125.5	9.530597979961287e-123	6797	32546	2.6685674343891604e-122	True
pistacking	sterol	glycerolipid	24503216.0	1.3690692609486791e-28	6797	7088	2.3958712066601885e-28	True
pistacking	sterol	fattyacyl	103234984.5	9.887900094660159e-09	6797	30138	1.3183866792880211e-08	True
pistacking	sphingolipid	saccharolipid	30848.5	4.975786512751253e-10	224	329	6.966101117851754e-10	True
pistacking	sphingolipid	prenol	1614023.0	0.023239030299495863	224	14798	0.026027713935435366	True
pistacking	sphingolipid	polyketide	222509.5	2.378694172385259e-16	224	2616	3.7001909348215136e-16	True
pistacking	sphingolipid	glycerophospholipid	3661313.0	2.5715544952507264e-17	224	32546	4.235501521589432e-17	True
pistacking	sphingolipid	glycerolipid	797400.0	1.8614869086949927e-08	224	7088	2.2661579758026e-08	True
pistacking	sphingolipid	fattyacyl	3359321.5	0.4551042661476351	224	30138	0.4719599797086586	False
pistacking	saccharolipid	prenol	2767609.5	2.4658789060456692e-42	329	14798	4.602973957951916e-42	True
pistacking	saccharolipid	polyketide	393218.5	0.0005752447917832875	329	2616	0.0006711189237471688	True
pistacking	saccharolipid	glycerophospholipid	6248671.5	0.0	329	32546	0.0	True
pistacking	saccharolipid	glycerolipid	1360896.0	1.4995948781054335e-261	329	7088	5.998379512421734e-261	True
pistacking	saccharolipid	fattyacyl	5738116.5	3.0679951495168455e-164	329	30138	9.544873798496852e-164	True
pistacking	prenol	polyketide	15172634.5	0.0	14798	2616	0.0	True
pistacking	prenol	glycerophospholipid	248172140.0	7.66956447408735e-220	14798	32546	2.6843475659305725e-219	True
pistacking	prenol	glycerolipid	54049544.0	4.1545155827071063e-50	14798	7088	8.309031165414213e-50	True
pistacking	prenol	fattyacyl	227734416.5	5.55490842732554e-63	14798	30138	1.1964418151162702e-62	True
pistacking	polyketide	glycerophospholipid	52983690.5	0.0	2616	32546	0.0	True
pistacking	polyketide	glycerolipid	11539264.0	0.0	2616	7088	0.0	True
pistacking	polyketide	fattyacyl	48691652.0	0.0	2616	30138	0.0	True
pistacking	glycerophospholipid	glycerolipid	115346568.0	0.6407806792381363	32546	7088	0.6407806792381363	False
pistacking	glycerophospholipid	fattyacyl	485926781.5	7.071024039982865e-67	32546	30138	1.6499056093293352e-66	True
pistacking	glycerolipid	fattyacyl	105823840.0	4.815409208809227e-16	7088	30138	7.096392518245176e-16	True
pication	sterol	sphingolipid	760430.5	0.7825040951088174	6797	224	0.8114857282609957	False
pication	sterol	saccharolipid	1104900.0	0.00082525338617428	6797	329	0.0012837274896044355	True
pication	sterol	prenol	50298064.5	0.8670685394055715	6797	14798	0.8670685394055715	False
pication	sterol	polyketide	8543128.5	1.3543007258264687e-46	6797	2616	1.2640140107713709e-45	True
pication	sterol	glycerophospholipid	108778997.5	1.0272938917164352e-21	6797	32546	3.196025440895576e-21	True
pication	sterol	glycerolipid	24170080.0	9.521811781025817e-07	6797	7088	1.7774048657914859e-06	True
pication	sterol	fattyacyl	101742794.5	1.1366125206215086e-07	6797	30138	2.2732250412430172e-07	True
pication	sphingolipid	saccharolipid	36455.0	0.2356657935765596	224	329	0.29993828273380313	False
pication	sphingolipid	prenol	1659422.5	0.747760824619063	224	14798	0.8052808880512986	False
pication	sphingolipid	polyketide	281912.0	0.005271109035641716	224	2616	0.0077679501577877915	True
pication	sphingolipid	glycerophospholipid	3589127.5	0.09991490788225547	224	32546	0.13321987717634062	False
pication	sphingolipid	glycerolipid	797400.0	1.8614869086949927e-08	224	7088	4.009356418727676e-08	True
pication	sphingolipid	fattyacyl	3356780.5	0.40656552586547245	224	30138	0.4743264468430512	False
pication	saccharolipid	prenol	2463367.5	0.0002846440756291825	329	14798	0.0004688255363304183	True
pication	saccharolipid	polyketide	418557.5	0.016223605024189507	329	2616	0.02271304703386531	True
pication	saccharolipid	glycerophospholipid	5328378.5	0.5388587659067805	329	32546	0.6035218178155941	False
pication	saccharolipid	glycerolipid	1183696.0	3.014833318724286e-25	329	7088	1.2059333274897144e-24	True
pication	saccharolipid	fattyacyl	4983022.0	0.3562700280083303	329	30138	0.43372003409709775	False
pication	prenol	polyketide	18596806.0	3.7951610230414392e-84	14798	2616	1.062645086451603e-82	True
pication	prenol	glycerophospholipid	236792734.0	2.2883697249030926e-44	14798	32546	1.2814870459457317e-43	True
