class	GO_CC	as_max_dst
Sterol	synapse [GO:0045202]	16.47
Sterol	presynaptic membrane [GO:0042734]	16.47
Sterol	membrane raft [GO:0045121]	16.47
Sterol	cytosol [GO:0005829]	16.97
Sterol	plasma membrane [GO:0005886]	12.63
Sterol	postsynaptic membrane [GO:0045211]	21.2
Sterol	external side of plasma membrane [GO:0009897]	21.2
Sterol	membrane [GO:0016020]	21.2
Sterol	dendrite [GO:0030425]	21.2
Sterol	neuron projection [GO:0043005]	21.2
Sterol	dendritic spine membrane [GO:0032591]	21.2
Sterol	neuronal cell body [GO:0043025]	21.2
Sterol	plasma membrane [GO:0005886]	21.2
Sterol	cytoplasm [GO:0005737]	15.42
Sterol	mitochondrial inner membrane [GO:0005743]	13.07
Sterol	respiratory chain complex IV [GO:0045277]	13.07
Sterol	non-motile cilium [GO:0097730]	24.91
Sterol	ciliary membrane [GO:0060170]	24.91
Sterol	cilium [GO:0005929]	24.91
Sterol	plasma membrane [GO:0005886]	24.91
Sterol	synapse [GO:0045202]	24.91
Sterol	brush border membrane [GO:0031526]	24.91
Sterol	periplasmic space [GO:0042597]	24.91
Sterol	nucleoplasm [GO:0005654]	17.54
Sterol	nucleus [GO:0005634]	17.54
Sterol	RNA polymerase III complex [GO:0005666]	17.54
Sterol	plasma membrane [GO:0005886]	14.8
Sterol	endoplasmic reticulum membrane [GO:0005789]	14.77
Sterol	endoplasmic reticulum [GO:0005783]	14.77
Sterol	Golgi membrane [GO:0000139]	14.77
Sterol	Golgi apparatus [GO:0005794]	14.77
Sterol	mitochondrion [GO:0005739]	12.84
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	12.84
Sterol	mitochondrial respirasome [GO:0005746]	12.84
Sterol	respiratory chain complex IV [GO:0045277]	12.84
Sterol	GABA-ergic synapse [GO:0098982]	16.58
Sterol	plasma membrane [GO:0005886]	16.58
Sterol	postsynaptic membrane [GO:0045211]	16.58
Sterol	presynapse [GO:0098793]	16.58
Sterol	presynaptic membrane [GO:0042734]	16.58
Sterol	axon [GO:0030424]	16.58
Sterol	cell surface [GO:0009986]	16.58
Sterol	neuronal cell body [GO:0043025]	16.58
Sterol	plasma membrane [GO:0005886]	14.56
Sterol	voltage-gated calcium channel complex [GO:0005891]	12.34
Sterol	plasma membrane [GO:0005886]	12.34
Sterol	synapse [GO:0045202]	12.34
Sterol	neuronal cell body [GO:0043025]	12.34
Sterol	plasma membrane [GO:0005886]	14.56
Sterol	lysosome [GO:0005764]	14.56
Sterol	cardiac Troponin complex [GO:1990584]	12.64
Sterol	troponin complex [GO:0005861]	12.64
Sterol	cytosol [GO:0005829]	12.64
Sterol	lateral plasma membrane [GO:0016328]	15.6
Sterol	connexin complex [GO:0005922]	15.6
Sterol	endoplasmic reticulum membrane [GO:0005789]	15.6
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	10.93
Sterol	respiratory chain complex IV [GO:0045277]	10.93
Sterol	plasma membrane [GO:0005886]	11.47
Sterol	cell projection [GO:0042995]	17.2
Sterol	plasma membrane [GO:0005886]	17.2
Sterol	postsynaptic membrane [GO:0045211]	17.2
Sterol	presynaptic membrane [GO:0042734]	17.2
Sterol	nucleus [GO:0005634]	17.2
Sterol	cytosol [GO:0005829]	14.63
Sterol	nucleoplasm [GO:0005654]	14.63
Sterol	receptor complex [GO:0043235]	14.63
Sterol	mitochondrion [GO:0005739]	14.63
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	14.63
Sterol	chromatin [GO:0000785]	14.63
Sterol	transcription regulator complex [GO:0005667]	14.63
Sterol	nucleus [GO:0005634]	14.63
Sterol	cell surface [GO:0009986]	21.77
Sterol	apical plasma membrane [GO:0016324]	21.77
Sterol	external side of apical plasma membrane [GO:0098591]	21.77
Sterol	extracellular exosome [GO:0070062]	21.77
Sterol	plasma membrane [GO:0005886]	21.77
Sterol	membrane [GO:0016020]	21.77
Sterol	cytoplasm [GO:0005737]	21.77
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	3.94
Sterol	respiratory chain complex IV [GO:0045277]	3.94
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	-1.0
Sterol	respiratory chain complex IV [GO:0045277]	-1.0
Sterol	mitochondrion [GO:0005739]	-1.0
Sterol	mitochondrial respirasome [GO:0005746]	-1.0
Sterol	membrane [GO:0016020]	15.4
Sterol	apical plasma membrane [GO:0016324]	15.4
Sterol	extracellular exosome [GO:0070062]	15.4
Sterol	cell surface [GO:0009986]	15.4
Sterol	external side of apical plasma membrane [GO:0098591]	15.4
Sterol	plasma membrane [GO:0005886]	15.4
Sterol	cytoplasm [GO:0005737]	15.4
Sterol	dendrite [GO:0030425]	11.81
Sterol	axolemma [GO:0030673]	11.81
Sterol	neuronal cell body [GO:0043025]	11.81
Sterol	glutamatergic synapse [GO:0098978]	11.81
Sterol	membrane [GO:0016020]	11.81
Sterol	plasma membrane [GO:0005886]	11.81
Sterol	postsynaptic membrane [GO:0045211]	11.81
Sterol	presynaptic membrane [GO:0042734]	11.81
Sterol	presynaptic active zone [GO:0048786]	11.81
Sterol	periplasmic space [GO:0042597]	11.81
Sterol	intermediate filament [GO:0005882]	11.81
Sterol	asymmetric synapse [GO:0032279]	11.81
Sterol	dendrite [GO:0030425]	16.45
Sterol	axolemma [GO:0030673]	16.45
Sterol	neuronal cell body [GO:0043025]	16.45
Sterol	glutamatergic synapse [GO:0098978]	16.45
Sterol	membrane [GO:0016020]	16.45
Sterol	plasma membrane [GO:0005886]	16.45
Sterol	postsynaptic membrane [GO:0045211]	16.45
Sterol	presynaptic membrane [GO:0042734]	16.45
Sterol	presynaptic active zone [GO:0048786]	16.45
Sterol	periplasmic space [GO:0042597]	16.45
Sterol	intermediate filament [GO:0005882]	16.45
Sterol	asymmetric synapse [GO:0032279]	16.45
Sterol	dendrite [GO:0030425]	16.36
Sterol	sarcoplasmic reticulum membrane [GO:0033017]	16.36
Sterol	cytoplasmic side of membrane [GO:0098562]	16.36
Sterol	cytosol [GO:0005829]	16.36
Sterol	Z disc [GO:0030018]	16.36
Sterol	sarcoplasmic reticulum [GO:0016529]	16.36
Sterol	terminal cisterna [GO:0014802]	16.36
Sterol	glutamatergic synapse [GO:0098978]	16.36
Sterol	membrane [GO:0016020]	16.36
Sterol	plasma membrane [GO:0005886]	16.36
Sterol	ryanodine receptor complex [GO:1990425]	16.36
Sterol	astrocyte projection [GO:0097449]	16.36
Sterol	presynaptic membrane [GO:0042734]	16.36
Sterol	axon [GO:0030424]	16.36
Sterol	cytoplasm [GO:0005737]	16.36
Sterol	dendrite [GO:0030425]	21.61
Sterol	axolemma [GO:0030673]	21.61
Sterol	neuronal cell body [GO:0043025]	21.61
Sterol	glutamatergic synapse [GO:0098978]	21.61
Sterol	membrane [GO:0016020]	21.61
Sterol	plasma membrane [GO:0005886]	21.61
Sterol	postsynaptic membrane [GO:0045211]	21.61
Sterol	presynaptic membrane [GO:0042734]	21.61
Sterol	presynaptic active zone [GO:0048786]	21.61
Sterol	periplasmic space [GO:0042597]	21.61
Sterol	intermediate filament [GO:0005882]	21.61
Sterol	asymmetric synapse [GO:0032279]	21.61
Sterol	membrane [GO:0016020]	16.49
Sterol	intracellular membrane-bounded organelle [GO:0043231]	16.49
Sterol	cytoplasm [GO:0005737]	16.49
Sterol	dendrite [GO:0030425]	18.89
Sterol	endoplasmic reticulum [GO:0005783]	18.89
Sterol	Golgi apparatus [GO:0005794]	18.89
Sterol	ciliary membrane [GO:0060170]	18.89
Sterol	ciliary tip [GO:0097542]	18.89
Sterol	endocytic vesicle membrane [GO:0030666]	18.89
Sterol	cilium [GO:0005929]	18.89
Sterol	extracellular exosome [GO:0070062]	18.89
Sterol	intracellular membrane-bounded organelle [GO:0043231]	18.89
Sterol	plasma membrane [GO:0005886]	18.89
Sterol	centriole [GO:0005814]	18.89
Sterol	9+0 non-motile cilium [GO:0097731]	18.89
Sterol	late endosome [GO:0005770]	18.89
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	18.89
Sterol	mitochondrion [GO:0005739]	9.84
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	9.84
Sterol	mitochondrial respirasome [GO:0005746]	9.84
Sterol	respiratory chain complex IV [GO:0045277]	9.84
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	8.43
Sterol	respiratory chain complex IV [GO:0045277]	8.43
Sterol	protein-containing complex [GO:0032991]	13.69
Sterol	cytosol [GO:0005829]	13.69
