class	GO_CC	as_max_dst
Polyketide	filopodium [GO:0030175]	21.74
Polyketide	protein-containing complex [GO:0032991]	12.22
Polyketide	cytosol [GO:0005829]	12.22
Polyketide	nucleoplasm [GO:0005654]	12.22
Polyketide	membrane [GO:0016020]	12.22
Polyketide	plasma membrane [GO:0005886]	12.22
Polyketide	euchromatin [GO:0000791]	12.22
Polyketide	chromatin [GO:0000785]	12.22
Polyketide	transcription regulator complex [GO:0005667]	12.22
Polyketide	nucleus [GO:0005634]	12.22
Polyketide	cytoplasm [GO:0005737]	12.22
Polyketide	Golgi apparatus [GO:0005794]	12.22
Polyketide	nucleoplasm [GO:0005654]	17.55
Polyketide	nucleus [GO:0005634]	17.55
Polyketide	chromatin [GO:0000785]	17.55
Polyketide	microtubule [GO:0005874]	15.13
Polyketide	cytoplasm [GO:0005737]	15.13
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	12.44
Polyketide	endoplasmic reticulum membrane [GO:0005789]	12.44
Polyketide	cell body [GO:0044297]	22.89
Polyketide	actin filament [GO:0005884]	22.89
Polyketide	skeletal muscle myofibril [GO:0098723]	22.89
Polyketide	stress fiber [GO:0001725]	22.89
Polyketide	filamentous actin [GO:0031941]	22.89
Polyketide	actin filament bundle [GO:0032432]	22.89
Polyketide	lamellipodium [GO:0030027]	22.89
Polyketide	striated muscle thin filament [GO:0005865]	22.89
Polyketide	cytoplasm [GO:0005737]	22.89
Polyketide	filopodium [GO:0030175]	22.89
Polyketide	cytosol [GO:0005829]	12.85
Polyketide	extracellular exosome [GO:0070062]	12.85
Polyketide	membrane [GO:0016020]	11.58
Polyketide	vesicle [GO:0031982]	20.26
Polyketide	cytoplasm [GO:0005737]	20.26
Polyketide	secretory granule lumen [GO:0034774]	20.26
Polyketide	cytosol [GO:0005829]	20.26
Polyketide	ficolin-1-rich granule lumen [GO:1904813]	20.26
Polyketide	extracellular exosome [GO:0070062]	20.26
Polyketide	nucleoplasm [GO:0005654]	20.26
Polyketide	plasma membrane [GO:0005886]	20.26
Polyketide	extracellular region [GO:0005576]	20.26
Polyketide	extracellular space [GO:0005615]	20.26
Polyketide	cell surface [GO:0009986]	20.26
Polyketide	protein-containing complex [GO:0032991]	16.12
Polyketide	cytosol [GO:0005829]	16.12
Polyketide	nucleoplasm [GO:0005654]	16.12
Polyketide	membrane [GO:0016020]	16.12
Polyketide	plasma membrane [GO:0005886]	16.12
Polyketide	euchromatin [GO:0000791]	16.12
Polyketide	chromatin [GO:0000785]	16.12
Polyketide	transcription regulator complex [GO:0005667]	16.12
Polyketide	nucleus [GO:0005634]	16.12
Polyketide	cytoplasm [GO:0005737]	16.12
Polyketide	Golgi apparatus [GO:0005794]	16.12
Polyketide	endocytic vesicle [GO:0030139]	18.62
Polyketide	focal adhesion [GO:0005925]	18.62
Polyketide	intercellular canaliculus [GO:0046581]	18.62
Polyketide	apical plasma membrane [GO:0016324]	18.62
Polyketide	lamellipodium membrane [GO:0031258]	18.62
Polyketide	lamellipodium [GO:0030027]	18.62
Polyketide	extracellular exosome [GO:0070062]	18.62
Polyketide	plasma membrane [GO:0005886]	18.62
Polyketide	membrane [GO:0016020]	18.62
Polyketide	extracellular region [GO:0005576]	18.62
Polyketide	membrane raft [GO:0045121]	18.62
Polyketide	lysosomal membrane [GO:0005765]	18.62
Polyketide	cell surface [GO:0009986]	18.62
Polyketide	nuclear envelope [GO:0005635]	12.49
Polyketide	perinuclear region of cytoplasm [GO:0048471]	12.49
Polyketide	cytosol [GO:0005829]	12.49
Polyketide	pericentriolar material [GO:0000242]	12.49
Polyketide	Golgi membrane [GO:0000139]	12.49
Polyketide	chromosome, telomeric region [GO:0000781]	12.49
Polyketide	nucleus [GO:0005634]	12.49
Polyketide	cytoplasm [GO:0005737]	12.49
Polyketide	extracellular space [GO:0005615]	14.12
Polyketide	azurophil granule lumen [GO:0035578]	14.12
Polyketide	extracellular region [GO:0005576]	14.12
Polyketide	extracellular exosome [GO:0070062]	14.12
Polyketide	neuron projection [GO:0043005]	15.97
Polyketide	cytosol [GO:0005829]	15.97
Polyketide	postsynaptic density [GO:0014069]	15.97
Polyketide	Golgi membrane [GO:0000139]	15.97
Polyketide	plasma membrane [GO:0005886]	15.97
Polyketide	Golgi apparatus [GO:0005794]	15.97
Polyketide	protein-containing complex [GO:0032991]	10.24
Polyketide	endocytic vesicle membrane [GO:0030666]	10.24
Polyketide	cytosol [GO:0005829]	10.24
Polyketide	transcription repressor complex [GO:0017053]	10.24
Polyketide	nucleoplasm [GO:0005654]	10.24
Polyketide	plasma membrane [GO:0005886]	10.24
Polyketide	nucleus [GO:0005634]	10.24
Polyketide	cytoplasm [GO:0005737]	10.24
Polyketide	nucleolus [GO:0005730]	10.24
Polyketide	protein-containing complex [GO:0032991]	13.09
Polyketide	cytosol [GO:0005829]	13.09
Polyketide	nucleoplasm [GO:0005654]	13.09
Polyketide	membrane [GO:0016020]	13.09
Polyketide	plasma membrane [GO:0005886]	13.09
Polyketide	euchromatin [GO:0000791]	13.09
Polyketide	chromatin [GO:0000785]	13.09
Polyketide	transcription regulator complex [GO:0005667]	13.09
Polyketide	nucleus [GO:0005634]	13.09
Polyketide	cytoplasm [GO:0005737]	13.09
Polyketide	Golgi apparatus [GO:0005794]	13.09
Polyketide	chromosome [GO:0005694]	17.27
Polyketide	cytoplasm [GO:0005737]	17.27
Polyketide	protein-containing complex [GO:0032991]	17.24
Polyketide	cytosol [GO:0005829]	17.24
Polyketide	nucleoplasm [GO:0005654]	17.24
Polyketide	membrane [GO:0016020]	17.24
Polyketide	plasma membrane [GO:0005886]	17.24
Polyketide	euchromatin [GO:0000791]	17.24
Polyketide	chromatin [GO:0000785]	17.24
Polyketide	transcription regulator complex [GO:0005667]	17.24
Polyketide	nucleus [GO:0005634]	17.24
Polyketide	cytoplasm [GO:0005737]	17.24
Polyketide	Golgi apparatus [GO:0005794]	17.24
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	9.64
Polyketide	nucleoplasm [GO:0005654]	9.64
Polyketide	mitochondrion [GO:0005739]	9.64
Polyketide	chromatin [GO:0000785]	9.64
Polyketide	nucleus [GO:0005634]	9.64
Polyketide	host cell nucleus [GO:0042025]	15.09
Polyketide	host cell cytoplasm [GO:0030430]	15.09
Polyketide	cell body [GO:0044297]	13.63
Polyketide	actin filament [GO:0005884]	13.63
