class	GO_CC	as_max_dst
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	14.2
Fatty Acyl	recycling endosome [GO:0055037]	22.13
Fatty Acyl	cytosol [GO:0005829]	22.13
Fatty Acyl	clathrin-coated vesicle [GO:0030136]	22.13
Fatty Acyl	nucleus [GO:0005634]	22.13
Fatty Acyl	cytoplasm [GO:0005737]	22.13
Fatty Acyl	nucleolus [GO:0005730]	22.13
Fatty Acyl	plasma membrane [GO:0005886]	14.49
Fatty Acyl	membrane [GO:0016020]	-1.0
Fatty Acyl	respiratory chain complex IV [GO:0045277]	9.51
Fatty Acyl	mitochondrial respiratory chain complex IV [GO:0005751]	9.51
Fatty Acyl	cytoplasm [GO:0005737]	7.65
Fatty Acyl	cytosol [GO:0005829]	17.74
Fatty Acyl	fascia adherens [GO:0005916]	17.74
Fatty Acyl	contractile fiber [GO:0043292]	17.74
Fatty Acyl	Golgi membrane [GO:0000139]	17.74
Fatty Acyl	intercalated disc [GO:0014704]	17.74
Fatty Acyl	connexin complex [GO:0005922]	17.74
Fatty Acyl	focal adhesion [GO:0005925]	17.74
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	17.74
Fatty Acyl	apical plasma membrane [GO:0016324]	17.74
Fatty Acyl	plasma membrane [GO:0005886]	17.74
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	17.74
Fatty Acyl	membrane raft [GO:0045121]	17.74
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	17.74
Fatty Acyl	lateral plasma membrane [GO:0016328]	17.74
Fatty Acyl	tight junction [GO:0070160]	17.74
Fatty Acyl	cytoplasm [GO:0005737]	17.74
Fatty Acyl	Golgi apparatus [GO:0005794]	17.74
Fatty Acyl	mitochondrion [GO:0005739]	17.74
Fatty Acyl	cell junction [GO:0030054]	17.74
Fatty Acyl	gap junction [GO:0005921]	17.74
Fatty Acyl	intermediate filament [GO:0005882]	17.74
Fatty Acyl	cell-cell contact zone [GO:0044291]	17.74
Fatty Acyl	nucleoplasm [GO:0005654]	17.74
Fatty Acyl	nucleus [GO:0005634]	17.74
Fatty Acyl	membrane [GO:0016020]	18.75
Fatty Acyl	cytoplasm [GO:0005737]	25.01
Fatty Acyl	extracellular exosome [GO:0070062]	21.27
Fatty Acyl	cytoplasm [GO:0005737]	21.27
Fatty Acyl	protein-containing complex [GO:0032991]	21.27
Fatty Acyl	blood microparticle [GO:0072562]	21.27
Fatty Acyl	Golgi apparatus [GO:0005794]	21.27
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	21.27
Fatty Acyl	extracellular region [GO:0005576]	21.27
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	21.27
Fatty Acyl	extracellular space [GO:0005615]	21.27
Fatty Acyl	nucleus [GO:0005634]	21.27
Fatty Acyl	endoplasmic reticulum [GO:0005783]	21.27
Fatty Acyl	host cell cytoplasm [GO:0030430]	17.12
Fatty Acyl	cytosol [GO:0005829]	6.16
Fatty Acyl	chloride channel complex [GO:0034707]	10.37
Fatty Acyl	postsynaptic membrane [GO:0045211]	10.37
Fatty Acyl	plasma membrane [GO:0005886]	10.37
Fatty Acyl	presynaptic membrane [GO:0042734]	10.37
Fatty Acyl	GABA-A receptor complex [GO:1902711]	10.37
Fatty Acyl	GABA-ergic synapse [GO:0098982]	10.37
Fatty Acyl	glutamatergic synapse [GO:0098978]	10.37
Fatty Acyl	neuron projection [GO:0043005]	10.37
Fatty Acyl	synapse [GO:0045202]	10.37
Fatty Acyl	transmembrane transporter complex [GO:1902495]	10.37
Fatty Acyl	membrane [GO:0016020]	15.0
Fatty Acyl	plasma membrane [GO:0005886]	14.88
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	14.88
Fatty Acyl	plasma membrane [GO:0005886]	9.47
Fatty Acyl	ciliary plasm [GO:0097014]	6.07
Fatty Acyl	cytosol [GO:0005829]	6.07
Fatty Acyl	cytoplasm [GO:0005737]	6.07
Fatty Acyl	glycosome [GO:0020015]	6.07
Fatty Acyl	cytoophidium [GO:0097268]	6.2
Fatty Acyl	cytosol [GO:0005829]	6.2
Fatty Acyl	protein-containing complex [GO:0032991]	6.2
Fatty Acyl	membrane [GO:0016020]	18.26
Fatty Acyl	host cell plasma membrane [GO:0020002]	18.26
Fatty Acyl	host cell cytoplasm [GO:0030430]	18.26
Fatty Acyl	virion membrane [GO:0055036]	18.26
Fatty Acyl	T=4 icosahedral viral capsid [GO:0039619]	18.26
Fatty Acyl	host cell nucleus [GO:0042025]	18.26
Fatty Acyl	chloride channel complex [GO:0034707]	7.7
Fatty Acyl	postsynaptic membrane [GO:0045211]	7.7
Fatty Acyl	plasma membrane [GO:0005886]	7.7
Fatty Acyl	presynaptic membrane [GO:0042734]	7.7
Fatty Acyl	GABA-A receptor complex [GO:1902711]	7.7
Fatty Acyl	GABA-ergic synapse [GO:0098982]	7.7
Fatty Acyl	glutamatergic synapse [GO:0098978]	7.7
Fatty Acyl	neuron projection [GO:0043005]	7.7
Fatty Acyl	synapse [GO:0045202]	7.7
Fatty Acyl	transmembrane transporter complex [GO:1902495]	7.7
Fatty Acyl	mitochondrion [GO:0005739]	5.7
Fatty Acyl	cytoplasm [GO:0005737]	5.7
Fatty Acyl	apical plasma membrane [GO:0016324]	7.56
Fatty Acyl	astrocyte projection [GO:0097449]	7.56
Fatty Acyl	cell surface [GO:0009986]	7.56
Fatty Acyl	plasma membrane [GO:0005886]	7.56
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	7.56
Fatty Acyl	calyx of Held [GO:0044305]	7.56
Fatty Acyl	neuronal cell body [GO:0043025]	7.56
Fatty Acyl	axon [GO:0030424]	7.56
Fatty Acyl	axon terminus [GO:0043679]	7.56
Fatty Acyl	endoplasmic reticulum [GO:0005783]	7.56
Fatty Acyl	plasma membrane [GO:0005886]	19.05
Fatty Acyl	connexin complex [GO:0005922]	19.05
Fatty Acyl	synapse [GO:0045202]	19.05
Fatty Acyl	periplasmic space [GO:0042597]	5.69
Fatty Acyl	cytosol [GO:0005829]	20.26
Fatty Acyl	cytoplasm [GO:0005737]	20.26
Fatty Acyl	chloride channel complex [GO:0034707]	11.86
Fatty Acyl	postsynaptic membrane [GO:0045211]	11.86
Fatty Acyl	plasma membrane [GO:0005886]	11.86
Fatty Acyl	GABA-A receptor complex [GO:1902711]	11.86
Fatty Acyl	neuron projection [GO:0043005]	11.86
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	11.86
Fatty Acyl	synapse [GO:0045202]	11.86
Fatty Acyl	extracellular exosome [GO:0070062]	10.88
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	10.88
Fatty Acyl	endolysosome lumen [GO:0036021]	10.88
Fatty Acyl	Golgi apparatus [GO:0005794]	10.88
Fatty Acyl	extracellular space [GO:0005615]	10.88
Fatty Acyl	chromaffin granule [GO:0042583]	10.88
Fatty Acyl	apical plasma membrane [GO:0016324]	10.88
Fatty Acyl	lysosomal lumen [GO:0043202]	10.88
Fatty Acyl	plasma membrane [GO:0005886]	10.88
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	10.88
Fatty Acyl	multivesicular body [GO:0005771]	10.88
Fatty Acyl	lysosome [GO:0005764]	10.88
Fatty Acyl	extracellular region [GO:0005576]	10.88
Fatty Acyl	endocytic vesicle lumen [GO:0071682]	10.88
Fatty Acyl	nucleus [GO:0005634]	10.88
Fatty Acyl	plasma membrane [GO:0005886]	9.6
Fatty Acyl	chloride channel complex [GO:0034707]	7.79
Fatty Acyl	GABA receptor complex [GO:1902710]	7.79
Fatty Acyl	plasma membrane [GO:0005886]	7.79
Fatty Acyl	postsynaptic specialization membrane [GO:0099634]	7.79
Fatty Acyl	GABA-A receptor complex [GO:1902711]	7.79
Fatty Acyl	GABA-ergic synapse [GO:0098982]	7.79
Fatty Acyl	glutamatergic synapse [GO:0098978]	7.79
Fatty Acyl	neuron projection [GO:0043005]	7.79
Fatty Acyl	presynaptic active zone membrane [GO:0048787]	7.79
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	7.79
Fatty Acyl	synapse [GO:0045202]	7.79
Fatty Acyl	pore complex [GO:0046930]	6.73
Fatty Acyl	cell outer membrane [GO:0009279]	6.73
Fatty Acyl	plasma membrane [GO:0005886]	-1.0
Fatty Acyl	membrane [GO:0016020]	-1.0
Fatty Acyl	cell-cell junction [GO:0005911]	16.93
Fatty Acyl	cytosol [GO:0005829]	16.93
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	16.93
Fatty Acyl	ciliary basal body [GO:0036064]	16.93
Fatty Acyl	basal plasma membrane [GO:0009925]	16.93
