class	GO_CC	as_max_dst
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	28.84
Prenol	photosystem I reaction center [GO:0009538]	28.84
Prenol	plasma membrane-derived photosystem I [GO:0030094]	28.84
Prenol	plasma membrane light-harvesting complex [GO:0030077]	37.65
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	37.65
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	23.02
Prenol	photosystem I [GO:0009522]	23.02
Prenol	plasma membrane light-harvesting complex [GO:0030077]	10.06
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	10.06
Prenol	membrane [GO:0016020]	18.51
Prenol	chloroplast [GO:0009507]	18.51
Prenol	light-harvesting complex [GO:0030076]	18.51
Prenol	thylakoid [GO:0009579]	18.51
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.06
Prenol	photosystem I [GO:0009522]	20.06
Prenol	lipid droplet [GO:0005811]	10.47
Prenol	nucleoplasm [GO:0005654]	10.47
Prenol	nucleus [GO:0005634]	10.47
Prenol	cytosol [GO:0005829]	10.47
Prenol	protein farnesyltransferase complex [GO:0005965]	20.45
Prenol	microtubule associated complex [GO:0005875]	20.45
Prenol	cytosol [GO:0005829]	17.17
Prenol	extracellular exosome [GO:0070062]	17.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.68
Prenol	photosystem I [GO:0009522]	17.68
Prenol	photosystem II [GO:0009523]	17.47
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.47
Prenol	photosystem II [GO:0009523]	17.47
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.47
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	26.03
Prenol	photosystem I [GO:0009522]	26.03
Prenol	photosystem II [GO:0009523]	29.51
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.51
Prenol	photosystem II [GO:0009523]	29.51
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.51
Prenol	chloroplast thylakoid membrane [GO:0009535]	22.71
Prenol	plastoglobule [GO:0010287]	22.71
Prenol	chloroplast thylakoid [GO:0009534]	22.71
Prenol	photosystem I reaction center [GO:0009538]	22.71
Prenol	chloroplast [GO:0009507]	22.71
Prenol	chloroplast envelope [GO:0009941]	22.71
Prenol	nucleus [GO:0005634]	22.71
Prenol	thylakoid [GO:0009579]	22.71
Prenol	plasma membrane [GO:0005886]	11.06
Prenol	organelle inner membrane [GO:0019866]	11.06
Prenol	plasma membrane light-harvesting complex [GO:0030077]	11.06
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	8.29
Prenol	photosystem [GO:0009521]	8.29
Prenol	nucleus [GO:0005634]	11.59
Prenol	cytoplasm [GO:0005737]	11.59
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	8.18
Prenol	plasma membrane-derived photosystem I [GO:0030094]	8.18
Prenol	plasma membrane [GO:0005886]	12.68
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	29.5
Prenol	photosystem I [GO:0009522]	29.5
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	32.01
Prenol	photosystem I reaction center [GO:0009538]	32.01
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	32.01
Prenol	photosystem I [GO:0009522]	32.01
Prenol	plasma membrane light-harvesting complex [GO:0030077]	25.98
