class	GO_CC	as_max_dst
Glycerolipid	periplasmic space [GO:0042597]	13.89
Glycerolipid	plasma membrane [GO:0005886]	20.37
Glycerolipid	respirasome [GO:0070469]	20.37
Glycerolipid	plasma membrane [GO:0005886]	17.59
Glycerolipid	respirasome [GO:0070469]	17.59
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	21.12
Glycerolipid	respiratory chain complex IV [GO:0045277]	21.12
Glycerolipid	plasma membrane [GO:0005886]	14.45
Glycerolipid	respirasome [GO:0070469]	14.45
Glycerolipid	plasma membrane [GO:0005886]	15.19
Glycerolipid	respirasome [GO:0070469]	15.19
Glycerolipid	plasma membrane [GO:0005886]	8.69
Glycerolipid	respirasome [GO:0070469]	8.69
Glycerolipid	plasma membrane [GO:0005886]	11.89
Glycerolipid	respirasome [GO:0070469]	11.89
Glycerolipid	plasma membrane [GO:0005886]	16.77
Glycerolipid	respirasome [GO:0070469]	16.77
Glycerolipid	plasma membrane [GO:0005886]	9.36
Glycerolipid	respirasome [GO:0070469]	9.36
Glycerolipid	plasma membrane [GO:0005886]	16.34
Glycerolipid	respirasome [GO:0070469]	16.34
Glycerolipid	plasma membrane [GO:0005886]	14.36
Glycerolipid	respirasome [GO:0070469]	14.36
Glycerolipid	plasma membrane [GO:0005886]	6.24
Glycerolipid	respirasome [GO:0070469]	6.24
Glycerolipid	plasma membrane [GO:0005886]	18.07
Glycerolipid	respirasome [GO:0070469]	18.07
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	17.71
Glycerolipid	respiratory chain complex IV [GO:0045277]	17.71
Glycerolipid	plasma membrane [GO:0005886]	11.47
Glycerolipid	respirasome [GO:0070469]	11.47
Glycerolipid	plasma membrane [GO:0005886]	1.62
Glycerolipid	respirasome [GO:0070469]	1.62
Glycerolipid	postsynaptic density membrane [GO:0098839]	10.29
Glycerolipid	neuronal dense core vesicle [GO:0098992]	10.29
Glycerolipid	plasma membrane [GO:0005886]	10.29
Glycerolipid	presynaptic membrane [GO:0042734]	10.29
Glycerolipid	neuron projection [GO:0043005]	10.29
Glycerolipid	dendrite membrane [GO:0032590]	10.29
Glycerolipid	synaptic vesicle membrane [GO:0030672]	10.29
Glycerolipid	axon terminus [GO:0043679]	10.29
Glycerolipid	spine apparatus [GO:0097444]	10.29
Glycerolipid	postsynaptic density membrane [GO:0098839]	18.48
Glycerolipid	neuronal dense core vesicle [GO:0098992]	18.48
Glycerolipid	plasma membrane [GO:0005886]	18.48
Glycerolipid	presynaptic membrane [GO:0042734]	18.48
Glycerolipid	neuron projection [GO:0043005]	18.48
Glycerolipid	dendrite membrane [GO:0032590]	18.48
Glycerolipid	synaptic vesicle membrane [GO:0030672]	18.48
Glycerolipid	axon terminus [GO:0043679]	18.48
Glycerolipid	spine apparatus [GO:0097444]	18.48
Glycerolipid	postsynaptic density membrane [GO:0098839]	7.73
Glycerolipid	neuronal dense core vesicle [GO:0098992]	7.73
