class	GO_CC	as_max_dst
Sphingolipid	extracellular space [GO:0005615]	24.88
Sphingolipid	external side of plasma membrane [GO:0009897]	24.88
Sphingolipid	lysosomal membrane [GO:0005765]	24.88
Sphingolipid	cell surface [GO:0009986]	24.88
Sphingolipid	late endosome [GO:0005770]	28.8
Sphingolipid	endoplasmic reticulum [GO:0005783]	28.8
Sphingolipid	cytoplasm [GO:0005737]	28.8
Sphingolipid	endosome membrane [GO:0010008]	28.8
Sphingolipid	lysosome [GO:0005764]	28.8
Sphingolipid	early endosome [GO:0005769]	28.8
Sphingolipid	extracellular space [GO:0005615]	28.8
Sphingolipid	external side of plasma membrane [GO:0009897]	28.8
Sphingolipid	lysosomal membrane [GO:0005765]	28.8
Sphingolipid	cell surface [GO:0009986]	28.8
Sphingolipid	endosome membrane [GO:0010008]	19.88
Sphingolipid	cytosol [GO:0005829]	19.88
Sphingolipid	plasma membrane [GO:0005886]	19.88
Sphingolipid	nuclear outer membrane [GO:0005640]	19.88
Sphingolipid	Golgi apparatus [GO:0005794]	19.88
Sphingolipid	endosome membrane [GO:0010008]	12.47
Sphingolipid	cytosol [GO:0005829]	12.47
Sphingolipid	plasma membrane [GO:0005886]	12.47
Sphingolipid	nuclear outer membrane [GO:0005640]	12.47
Sphingolipid	Golgi apparatus [GO:0005794]	12.47
Sphingolipid	membrane [GO:0016020]	17.86
Sphingolipid	cytosol [GO:0005829]	17.86
Sphingolipid	endoplasmic reticulum [GO:0005783]	17.86
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	17.86
Sphingolipid	SPOTS complex [GO:0035339]	28.72
Sphingolipid	endoplasmic reticulum [GO:0005783]	28.72
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	28.72
Sphingolipid	protein-containing complex [GO:0032991]	12.92
Sphingolipid	spindle pole [GO:0000922]	12.92
Sphingolipid	cytoplasm [GO:0005737]	12.92
Sphingolipid	cytosol [GO:0005829]	12.92
Sphingolipid	plasma membrane [GO:0005886]	11.1
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	11.1
Sphingolipid	late endosome [GO:0005770]	26.5
Sphingolipid	endoplasmic reticulum [GO:0005783]	26.5
Sphingolipid	cytoplasm [GO:0005737]	26.5
Sphingolipid	endosome membrane [GO:0010008]	26.5
Sphingolipid	lysosome [GO:0005764]	26.5
Sphingolipid	early endosome [GO:0005769]	26.5
Sphingolipid	extracellular space [GO:0005615]	26.5
Sphingolipid	external side of plasma membrane [GO:0009897]	26.5
Sphingolipid	lysosomal membrane [GO:0005765]	26.5
Sphingolipid	cell surface [GO:0009986]	26.5
Sphingolipid	late endosome [GO:0005770]	11.42
Sphingolipid	endoplasmic reticulum [GO:0005783]	11.42
Sphingolipid	cytoplasm [GO:0005737]	11.42
Sphingolipid	endosome membrane [GO:0010008]	11.42
Sphingolipid	lysosome [GO:0005764]	11.42
Sphingolipid	early endosome [GO:0005769]	11.42
Sphingolipid	extracellular space [GO:0005615]	11.42
Sphingolipid	external side of plasma membrane [GO:0009897]	11.42
Sphingolipid	lysosomal membrane [GO:0005765]	11.42
Sphingolipid	cell surface [GO:0009986]	11.42
Sphingolipid	cytosol [GO:0005829]	15.83
Sphingolipid	plasma membrane [GO:0005886]	17.46
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	17.46
Sphingolipid	axon [GO:0030424]	17.46
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	17.46
Sphingolipid	membrane raft [GO:0045121]	26.09
Sphingolipid	endosome membrane [GO:0010008]	26.09
Sphingolipid	plasma membrane [GO:0005886]	26.09
Sphingolipid	extracellular space [GO:0005615]	26.09
Sphingolipid	external side of plasma membrane [GO:0009897]	26.09
Sphingolipid	apical plasma membrane [GO:0016324]	7.54
Sphingolipid	astrocyte projection [GO:0097449]	7.54
Sphingolipid	cell surface [GO:0009986]	7.54
Sphingolipid	plasma membrane [GO:0005886]	7.54
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	7.54
Sphingolipid	calyx of Held [GO:0044305]	7.54
Sphingolipid	neuronal cell body [GO:0043025]	7.54
Sphingolipid	axon [GO:0030424]	7.54
Sphingolipid	axon terminus [GO:0043679]	7.54
Sphingolipid	endoplasmic reticulum [GO:0005783]	7.54
Sphingolipid	late endosome [GO:0005770]	26.59
Sphingolipid	endoplasmic reticulum [GO:0005783]	26.59
Sphingolipid	cytoplasm [GO:0005737]	26.59
Sphingolipid	endosome membrane [GO:0010008]	26.59
Sphingolipid	basolateral plasma membrane [GO:0016323]	26.59
Sphingolipid	lysosome [GO:0005764]	26.59
Sphingolipid	early endosome [GO:0005769]	26.59
Sphingolipid	plasma membrane [GO:0005886]	26.59
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	26.59
Sphingolipid	extracellular space [GO:0005615]	26.59
Sphingolipid	external side of plasma membrane [GO:0009897]	26.59
Sphingolipid	lysosomal membrane [GO:0005765]	26.59
Sphingolipid	cell surface [GO:0009986]	26.59
Sphingolipid	endosome membrane [GO:0010008]	26.68
Sphingolipid	cytosol [GO:0005829]	26.68
Sphingolipid	plasma membrane [GO:0005886]	26.68
Sphingolipid	nuclear outer membrane [GO:0005640]	26.68
Sphingolipid	Golgi apparatus [GO:0005794]	26.68
Sphingolipid	plasma membrane [GO:0005886]	23.49
Sphingolipid	membrane [GO:0016020]	23.49
Sphingolipid	endosome membrane [GO:0010008]	23.49
Sphingolipid	membrane [GO:0016020]	20.26
Sphingolipid	cytosol [GO:0005829]	20.26
Sphingolipid	endoplasmic reticulum [GO:0005783]	20.26
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	20.26
Sphingolipid	late endosome [GO:0005770]	29.05
Sphingolipid	endoplasmic reticulum [GO:0005783]	29.05
Sphingolipid	cytoplasm [GO:0005737]	29.05
Sphingolipid	endosome membrane [GO:0010008]	29.05
Sphingolipid	lysosome [GO:0005764]	29.05
Sphingolipid	early endosome [GO:0005769]	29.05
Sphingolipid	extracellular space [GO:0005615]	29.05
Sphingolipid	external side of plasma membrane [GO:0009897]	29.05
Sphingolipid	lysosomal membrane [GO:0005765]	29.05
Sphingolipid	cell surface [GO:0009986]	29.05
Sphingolipid	axon terminus [GO:0043679]	24.2
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	24.2
Sphingolipid	endoplasmic reticulum [GO:0005783]	24.2
Sphingolipid	cell surface [GO:0009986]	24.2
Sphingolipid	apical plasma membrane [GO:0016324]	24.2
Sphingolipid	plasma membrane [GO:0005886]	24.2
Sphingolipid	astrocyte projection [GO:0097449]	24.2
Sphingolipid	axon [GO:0030424]	24.2
Sphingolipid	calyx of Held [GO:0044305]	24.2
Sphingolipid	neuronal cell body [GO:0043025]	24.2
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	16.5
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	16.5
Sphingolipid	extracellular space [GO:0005615]	20.54
Sphingolipid	lipopolysaccharide receptor complex [GO:0046696]	20.54
Sphingolipid	receptor complex [GO:0043235]	20.54
Sphingolipid	plasma membrane [GO:0005886]	20.54
Sphingolipid	cytoplasm [GO:0005737]	22.37
Sphingolipid	apical plasma membrane [GO:0016324]	8.2
Sphingolipid	gap junction [GO:0005921]	8.2
Sphingolipid	plasma membrane [GO:0005886]	8.2
Sphingolipid	endoplasmic reticulum [GO:0005783]	8.2
Sphingolipid	cytoplasm [GO:0005737]	13.11
Sphingolipid	membrane [GO:0016020]	18.84
Sphingolipid	cytosol [GO:0005829]	18.84
Sphingolipid	endoplasmic reticulum [GO:0005783]	18.84
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	18.84
Sphingolipid	endosome membrane [GO:0010008]	24.46
Sphingolipid	cytosol [GO:0005829]	24.46
Sphingolipid	plasma membrane [GO:0005886]	24.46
Sphingolipid	nuclear outer membrane [GO:0005640]	24.46
Sphingolipid	Golgi apparatus [GO:0005794]	24.46
Sphingolipid	endosome membrane [GO:0010008]	1.35
Sphingolipid	cytosol [GO:0005829]	1.35
Sphingolipid	plasma membrane [GO:0005886]	1.35
Sphingolipid	nuclear outer membrane [GO:0005640]	1.35
Sphingolipid	Golgi apparatus [GO:0005794]	1.35
Sphingolipid	plasma membrane [GO:0005886]	26.16
Sphingolipid	membrane [GO:0016020]	26.16
Sphingolipid	endosome membrane [GO:0010008]	26.16
Sphingolipid	membrane [GO:0016020]	17.7
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	17.7
Sphingolipid	endoplasmic reticulum [GO:0005783]	17.7
Sphingolipid	vacuole [GO:0005773]	17.7
Sphingolipid	extracellular region [GO:0005576]	11.77
Sphingolipid	cytosol [GO:0005829]	24.16
Sphingolipid	clathrin-coated pit [GO:0005905]	16.61
Sphingolipid	membrane [GO:0016020]	16.61
Sphingolipid	cytosol [GO:0005829]	16.61
Sphingolipid	endocytic vesicle [GO:0030139]	16.61
Sphingolipid	cytoplasm [GO:0005737]	16.61
Sphingolipid	plasma membrane [GO:0005886]	16.61
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	16.61
Sphingolipid	presynapse [GO:0098793]	16.61
Sphingolipid	nucleoplasm [GO:0005654]	16.61
Sphingolipid	early endosome membrane [GO:0031901]	16.61
Sphingolipid	nucleus [GO:0005634]	16.61
Sphingolipid	plasma membrane [GO:0005886]	11.46
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	11.46
Sphingolipid	late endosome [GO:0005770]	28.27
Sphingolipid	endoplasmic reticulum [GO:0005783]	28.27
Sphingolipid	cytoplasm [GO:0005737]	28.27
Sphingolipid	endosome membrane [GO:0010008]	28.27
Sphingolipid	lysosome [GO:0005764]	28.27
Sphingolipid	early endosome [GO:0005769]	28.27
Sphingolipid	extracellular space [GO:0005615]	28.27
Sphingolipid	external side of plasma membrane [GO:0009897]	28.27
Sphingolipid	lysosomal membrane [GO:0005765]	28.27
Sphingolipid	cell surface [GO:0009986]	28.27
Sphingolipid	apical plasma membrane [GO:0016324]	11.57
Sphingolipid	astrocyte projection [GO:0097449]	11.57
Sphingolipid	cell surface [GO:0009986]	11.57
Sphingolipid	plasma membrane [GO:0005886]	11.57
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	11.57
Sphingolipid	calyx of Held [GO:0044305]	11.57
Sphingolipid	Schaffer collateral - CA1 synapse [GO:0098685]	11.57
Sphingolipid	neuronal cell body [GO:0043025]	11.57
Sphingolipid	axon [GO:0030424]	11.57
Sphingolipid	axon terminus [GO:0043679]	11.57
Sphingolipid	postsynapse [GO:0098794]	11.57
Sphingolipid	endoplasmic reticulum [GO:0005783]	11.57
Sphingolipid	apical plasma membrane [GO:0016324]	5.57
Sphingolipid	gap junction [GO:0005921]	5.57
Sphingolipid	plasma membrane [GO:0005886]	5.57
Sphingolipid	endoplasmic reticulum [GO:0005783]	5.57
Sphingolipid	cytosol [GO:0005829]	18.55
Sphingolipid	nucleoplasm [GO:0005654]	18.55
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	18.55
Sphingolipid	mitochondrion [GO:0005739]	18.55
Sphingolipid	Golgi apparatus [GO:0005794]	18.55
Sphingolipid	axon terminus [GO:0043679]	23.15
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	23.15
Sphingolipid	endoplasmic reticulum [GO:0005783]	23.15
Sphingolipid	cell surface [GO:0009986]	23.15
Sphingolipid	apical plasma membrane [GO:0016324]	23.15
Sphingolipid	plasma membrane [GO:0005886]	23.15
Sphingolipid	astrocyte projection [GO:0097449]	23.15
Sphingolipid	axon [GO:0030424]	23.15
Sphingolipid	calyx of Held [GO:0044305]	23.15
Sphingolipid	neuronal cell body [GO:0043025]	23.15
Sphingolipid	recycling endosome [GO:0055037]	8.82
Sphingolipid	endosome [GO:0005768]	8.82
Sphingolipid	Golgi membrane [GO:0000139]	8.82
Sphingolipid	plasma membrane [GO:0005886]	8.82
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	8.82
Sphingolipid	mitochondrion [GO:0005739]	8.82
Sphingolipid	external side of plasma membrane [GO:0009897]	8.82
Sphingolipid	Golgi apparatus [GO:0005794]	8.82
Sphingolipid	membrane [GO:0016020]	19.81
Sphingolipid	cytosol [GO:0005829]	19.81
Sphingolipid	endoplasmic reticulum [GO:0005783]	19.81
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	19.81
Sphingolipid	membrane raft [GO:0045121]	25.46
Sphingolipid	endosome membrane [GO:0010008]	25.46
Sphingolipid	plasma membrane [GO:0005886]	25.46
Sphingolipid	extracellular space [GO:0005615]	25.46
Sphingolipid	external side of plasma membrane [GO:0009897]	25.46
Sphingolipid	apical plasma membrane [GO:0016324]	20.81
Sphingolipid	gap junction [GO:0005921]	20.81
Sphingolipid	plasma membrane [GO:0005886]	20.81
Sphingolipid	endoplasmic reticulum [GO:0005783]	20.81
Sphingolipid	cytoplasm [GO:0005737]	25.12
Sphingolipid	plasma membrane [GO:0005886]	24.15
Sphingolipid	cytoplasm [GO:0005737]	24.15
Sphingolipid	postsynapse [GO:0098794]	24.15
Sphingolipid	membrane [GO:0016020]	18.23
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	18.23
Sphingolipid	endoplasmic reticulum [GO:0005783]	18.23
Sphingolipid	vacuole [GO:0005773]	18.23
Sphingolipid	endocytic vesicle lumen [GO:0071682]	11.03
Sphingolipid	cytosol [GO:0005829]	11.03
Sphingolipid	extracellular exosome [GO:0070062]	11.03
Sphingolipid	membrane [GO:0016020]	11.03
Sphingolipid	blood microparticle [GO:0072562]	11.03
Sphingolipid	extracellular region [GO:0005576]	11.03
Sphingolipid	extracellular space [GO:0005615]	11.03
Sphingolipid	hemoglobin complex [GO:0005833]	11.03
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	11.03
Sphingolipid	late endosome [GO:0005770]	23.1
Sphingolipid	endoplasmic reticulum [GO:0005783]	23.1
Sphingolipid	cytoplasm [GO:0005737]	23.1
Sphingolipid	endosome membrane [GO:0010008]	23.1
Sphingolipid	lysosome [GO:0005764]	23.1
Sphingolipid	early endosome [GO:0005769]	23.1
Sphingolipid	extracellular space [GO:0005615]	23.1
Sphingolipid	external side of plasma membrane [GO:0009897]	23.1
Sphingolipid	lysosomal membrane [GO:0005765]	23.1
Sphingolipid	cell surface [GO:0009986]	23.1
Sphingolipid	recycling endosome [GO:0055037]	29.64
Sphingolipid	endosome [GO:0005768]	29.64
Sphingolipid	Golgi membrane [GO:0000139]	29.64
Sphingolipid	plasma membrane [GO:0005886]	29.64
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	29.64
Sphingolipid	mitochondrion [GO:0005739]	29.64
Sphingolipid	external side of plasma membrane [GO:0009897]	29.64
Sphingolipid	Golgi apparatus [GO:0005794]	29.64
Sphingolipid	very-low-density lipoprotein particle [GO:0034361]	19.51
Sphingolipid	low-density lipoprotein particle [GO:0034362]	19.51
Sphingolipid	spherical high-density lipoprotein particle [GO:0034366]	19.51
Sphingolipid	extracellular region [GO:0005576]	19.51
Sphingolipid	high-density lipoprotein particle [GO:0034364]	19.51
Sphingolipid	discoidal high-density lipoprotein particle [GO:0034365]	19.51
Sphingolipid	plasma membrane [GO:0005886]	26.85
Sphingolipid	membrane [GO:0016020]	26.85
Sphingolipid	endosome membrane [GO:0010008]	26.85
Sphingolipid	voltage-gated sodium channel complex [GO:0001518]	17.48
Sphingolipid	axon [GO:0030424]	17.48
Sphingolipid	plasma membrane [GO:0005886]	17.48
Sphingolipid	voltage-gated calcium channel complex [GO:0005891]	17.48
Sphingolipid	endosome membrane [GO:0010008]	-1.0
Sphingolipid	cytosol [GO:0005829]	-1.0
Sphingolipid	plasma membrane [GO:0005886]	-1.0
Sphingolipid	nuclear outer membrane [GO:0005640]	-1.0
Sphingolipid	Golgi apparatus [GO:0005794]	-1.0
Sphingolipid	endosome membrane [GO:0010008]	-1.0
Sphingolipid	cytosol [GO:0005829]	-1.0
Sphingolipid	plasma membrane [GO:0005886]	-1.0
Sphingolipid	nuclear outer membrane [GO:0005640]	-1.0
Sphingolipid	Golgi apparatus [GO:0005794]	-1.0
Sphingolipid	cytoplasm [GO:0005737]	3.62
Sphingolipid	apical plasma membrane [GO:0016324]	21.07
Sphingolipid	gap junction [GO:0005921]	21.07
Sphingolipid	plasma membrane [GO:0005886]	21.07
Sphingolipid	endoplasmic reticulum [GO:0005783]	21.07
Sphingolipid	late endosome [GO:0005770]	24.53
Sphingolipid	endoplasmic reticulum [GO:0005783]	24.53
Sphingolipid	cytoplasm [GO:0005737]	24.53
Sphingolipid	endosome membrane [GO:0010008]	24.53
Sphingolipid	lysosome [GO:0005764]	24.53
Sphingolipid	early endosome [GO:0005769]	24.53
Sphingolipid	extracellular space [GO:0005615]	24.53
Sphingolipid	external side of plasma membrane [GO:0009897]	24.53
Sphingolipid	lysosomal membrane [GO:0005765]	24.53
Sphingolipid	cell surface [GO:0009986]	24.53
Sphingolipid	membrane [GO:0016020]	17.08
Sphingolipid	cytosol [GO:0005829]	17.08
Sphingolipid	endoplasmic reticulum [GO:0005783]	17.08
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	17.08
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	24.19
Sphingolipid	endoplasmic reticulum [GO:0005783]	24.19
Sphingolipid	membrane raft [GO:0045121]	26.06
Sphingolipid	endosome [GO:0005768]	26.06
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	26.06
Sphingolipid	nucleoplasm [GO:0005654]	26.06
Sphingolipid	plasma membrane [GO:0005886]	26.06
Sphingolipid	external side of plasma membrane [GO:0009897]	26.06
Sphingolipid	cytoplasm [GO:0005737]	26.06
Sphingolipid	late endosome [GO:0005770]	25.72
Sphingolipid	endoplasmic reticulum [GO:0005783]	25.72
Sphingolipid	cytoplasm [GO:0005737]	25.72
Sphingolipid	endosome membrane [GO:0010008]	25.72
Sphingolipid	lysosome [GO:0005764]	25.72
Sphingolipid	early endosome [GO:0005769]	25.72
Sphingolipid	extracellular space [GO:0005615]	25.72
Sphingolipid	external side of plasma membrane [GO:0009897]	25.72
Sphingolipid	lysosomal membrane [GO:0005765]	25.72
Sphingolipid	cell surface [GO:0009986]	25.72
Sphingolipid	endocytic vesicle lumen [GO:0071682]	11.5
Sphingolipid	cytosol [GO:0005829]	11.5
Sphingolipid	extracellular exosome [GO:0070062]	11.5
Sphingolipid	membrane [GO:0016020]	11.5
Sphingolipid	blood microparticle [GO:0072562]	11.5
Sphingolipid	extracellular region [GO:0005576]	11.5
Sphingolipid	extracellular space [GO:0005615]	11.5
Sphingolipid	hemoglobin complex [GO:0005833]	11.5
Sphingolipid	haptoglobin-hemoglobin complex [GO:0031838]	11.5
Sphingolipid	very-low-density lipoprotein particle [GO:0034361]	19.19
Sphingolipid	low-density lipoprotein particle [GO:0034362]	19.19
Sphingolipid	spherical high-density lipoprotein particle [GO:0034366]	19.19
Sphingolipid	extracellular region [GO:0005576]	19.19
