StruCluster	SC0	SC1	SC2	SC3	SC4	SC5	SC6	SC7
SC0	0.36281555555555556	0.1790653623188406	0.0	0.1892724031007752	0.22047606060606062	0.17862555555555557	0.06017242424242424	0.09292012578616353
SC1	0.18399130434782607	0.5261474952741021	0.0	0.15104056791371756	0.16855838932806325	0.16094830917874398	0.07047411067193676	0.06580574241181296
SC2	0.0	0.0	0.99245	0.0	0.0	0.0	0.0	0.0
SC3	0.19259204134366925	0.14641870576339736	0.0	0.2737535304368728	0.25442012156448207	0.21365495262704565	0.07050641296687808	0.0869185022670762
SC4	0.22951060606060605	0.15779204545454545	0.0	0.2504469168428471	0.32003496900826445	0.2515842171717172	0.06592101239669422	0.09801376072041167
SC5	0.1784851851851852	0.15525821256038647	0.0	0.22265762704565029	0.26623207070707067	0.4224922839506172	0.055701262626262626	0.0547637106918239
SC6	0.06256424242424242	0.0717302371541502	0.0	0.07432283298097252	0.07255254132231405	0.055559090909090905	0.36367499999999997	0.018643224699828473
SC7	0.09001056603773584	0.060223215750615254	0.0	0.08649224513675588	0.0988233704974271	0.051768763102725365	0.015302229845626073	0.4339498042007832
