class	ratio
Sterol	0.32074758546604737
Sterol	1.0348854507587026
Sterol	0.7365285798735847
Sterol	0.8203247400655177
Sterol	0.47554247885251927
Sterol	0.693122446075342
Sterol	0.7348254931714719
Sterol	0.3804953389596778
Sterol	0.9713995649021029
Sterol	0.5522655089496015
Sterol	0.27436646378277824
Sterol	0.1828846270191784
Sterol	0.4265820994571307
Sterol	0.6498847237639827
Sterol	0.98287775943252
Sterol	0.6050390227349848
Sterol	0.2585698411770112
Sterol	0.22821339107010233
Sterol	0.3288934875441719
Sterol	0.3168906081900794
Sterol	0.5556388698329637
Sterol	0.7743404312307487
Sterol	0.26042246961159465
Sterol	1.0253030623658514
Sterol	1.9597862463564721
Sterol	0.4120578137948105
Sterol	0.8716297408937289
Sterol	0.3003006944610171
Sterol	0.4433912082816186
Sterol	0.24089354836012805
Sterol	0.6840716219598207
Sterol	0.8917058597928987
Sterol	0.2926761995879985
Sterol	0.8801561945331914
Sterol	0.19885753344399965
Sterol	0.3306148055207026
Sterol	0.4787660710787599
Sterol	0.6734303534303535
Sterol	0.9398810709306625
Sterol	0.6761499218300008
Sterol	0.8066969998578132
Sterol	0.5673755159621715
Sterol	0.7553770594924154
Sterol	0.6410108069330989
Sterol	0.28682232075022396
Sterol	0.5482025299003895
Sterol	0.40863905325443783
Sterol	0.9669861202908129
Sterol	1.0350829315625094
Sterol	0.8416825736766144
Sterol	1.1325602699019148
Sterol	0.6630092601115631
Sterol	3.1977196633788796
Sterol	0.5770291634431026
Sterol	1.6459957131722525
Sterol	0.8348761632773647
Sterol	0.7475525743292241
Sterol	0.41805334555948104
Sterol	0.3166729642924618
Sterol	0.33336405813131775
Sterol	1.1258359053497942
Sterol	0.9094993234100135
Sterol	0.3779923951657533
Sterol	0.6360474631751227
Sterol	0.7288105060258326
Sterol	0.8711247353285085
Sterol	0.37820676021745314
Sterol	0.585078961699038
Sterol	1.8968674098524008
Sterol	2.4582901310208314
Sterol	1.5033402571155898
Sterol	1.023835659400972
Sterol	0.861102094829093
Sterol	0.8593610918801305
Sterol	0.9534103447499381
Sterol	0.7431192660550457
Sterol	2.346672466289691
Sterol	0.5980243661508068
Sterol	0.31561550256631565
Sterol	1.3982469940442745
Sterol	0.400957810718358
Sterol	2.079025266941537
