class	pi-stacking_angle
Prenol	4.92
Prenol	10.72
Prenol	11.77
Prenol	27.21
Prenol	28.32
Prenol	5.55
Prenol	7.34
Prenol	8.62
Prenol	9.88
Prenol	19.71
Prenol	21.48
Prenol	20.49
Prenol	14.39
Prenol	8.51
Prenol	9.76
Prenol	6.83
Prenol	6.0
Prenol	13.29
Prenol	9.62
Prenol	13.83
Prenol	3.58
Prenol	10.66
Prenol	11.39
Prenol	6.78
Prenol	3.58
Prenol	10.66
Prenol	10.98
Prenol	10.66
Prenol	8.3
Prenol	10.2
Prenol	8.68
Prenol	16.84
Prenol	16.79
Prenol	6.42
Prenol	6.39
Prenol	7.9
Prenol	5.49
Prenol	8.64
Prenol	6.95
Prenol	10.33
Prenol	25.16
Prenol	12.92
Prenol	9.97
Prenol	12.74
Prenol	12.61
Prenol	7.08
Prenol	12.93
Prenol	14.07
Prenol	4.75
Prenol	5.02
Prenol	5.96
Prenol	12.13
Prenol	8.96
Prenol	75.54
Prenol	62.09
Prenol	13.35
Prenol	13.57
Prenol	61.58
Prenol	8.41
Prenol	61.17
Prenol	4.23
Prenol	15.72
Prenol	9.91
Prenol	84.5
Prenol	19.5
Prenol	19.68
Prenol	13.62
Prenol	13.7
Prenol	14.4
Prenol	6.76
Prenol	8.23
Prenol	11.1
Prenol	10.71
Prenol	8.89
Prenol	9.22
Prenol	9.04
Prenol	74.46
Prenol	87.61
Prenol	64.31
Prenol	14.41
Prenol	5.11
Prenol	4.03
Prenol	6.37
Prenol	10.9
Prenol	6.44
Prenol	12.34
Prenol	19.89
Prenol	9.57
Prenol	7.29
Prenol	9.46
Prenol	7.24
Prenol	18.31
Prenol	13.08
Prenol	11.14
Prenol	5.41
Prenol	11.17
Prenol	5.4
Prenol	81.9
Prenol	81.77
Prenol	81.76
Prenol	81.6
Prenol	83.52
Prenol	85.92
Prenol	71.08
Prenol	16.7
Prenol	14.91
Prenol	17.39
Prenol	8.36
Prenol	8.62
Prenol	13.11
Prenol	13.34
Prenol	7.65
Prenol	8.27
Prenol	8.01
Prenol	7.39
Prenol	12.18
Prenol	11.63
Prenol	8.67
Prenol	10.86
saccharo lipid	14.07
saccharo lipid	19.31
saccharo lipid	8.41
saccharo lipid	14.05
saccharo lipid	6.45
saccharo lipid	14.68
saccharo lipid	8.92
saccharo lipid	7.68
saccharo lipid	5.97
saccharo lipid	12.13
saccharo lipid	19.29
saccharo lipid	16.43
saccharo lipid	4.42
saccharo lipid	20.61
saccharo lipid	29.24
saccharo lipid	28.87
saccharo lipid	29.47
saccharo lipid	10.55
saccharo lipid	6.33
saccharo lipid	8.48
saccharo lipid	4.2
saccharo lipid	5.8
saccharo lipid	4.38
saccharo lipid	12.31
saccharo lipid	12.29
saccharo lipid	11.26
saccharo lipid	16.5
saccharo lipid	14.71
saccharo lipid	15.69
saccharo lipid	14.95
saccharo lipid	3.98
saccharo lipid	15.07
saccharo lipid	3.77
saccharo lipid	11.51
saccharo lipid	8.9
saccharo lipid	11.74
saccharo lipid	8.5
saccharo lipid	76.05
saccharo lipid	13.7
saccharo lipid	21.62
saccharo lipid	88.82
saccharo lipid	6.32
saccharo lipid	87.03
saccharo lipid	12.95
saccharo lipid	5.57
saccharo lipid	5.67
saccharo lipid	63.76
saccharo lipid	67.21
saccharo lipid	60.06
saccharo lipid	12.84
saccharo lipid	7.77
saccharo lipid	7.0
saccharo lipid	3.93
saccharo lipid	0.6
saccharo lipid	13.06
saccharo lipid	10.07
saccharo lipid	3.43
saccharo lipid	8.96
saccharo lipid	6.6
saccharo lipid	10.78
saccharo lipid	3.66
saccharo lipid	15.29
saccharo lipid	12.86
Spingo lipid	73.29
Fatty Acyl	62.47
Fatty Acyl	12.63
Fatty Acyl	12.98
Fatty Acyl	14.5
Fatty Acyl	14.27
Fatty Acyl	7.57
Fatty Acyl	7.76
Fatty Acyl	13.27
Fatty Acyl	13.28
Fatty Acyl	70.36
Fatty Acyl	70.57
Fatty Acyl	62.43
Fatty Acyl	62.09
Fatty Acyl	72.35
Fatty Acyl	84.94
Fatty Acyl	84.54
Fatty Acyl	83.31
Fatty Acyl	83.23
Fatty Acyl	66.19
Fatty Acyl	66.0
Fatty Acyl	68.59
Fatty Acyl	68.58
Fatty Acyl	69.52
Fatty Acyl	69.32
Fatty Acyl	3.72
Fatty Acyl	3.44
Fatty Acyl	3.52
Fatty Acyl	77.88
Fatty Acyl	68.96
Fatty Acyl	63.0
Fatty Acyl	78.4
Fatty Acyl	64.74
Fatty Acyl	74.54
Fatty Acyl	73.48
Fatty Acyl	71.04
Fatty Acyl	71.91
Fatty Acyl	74.97
Fatty Acyl	75.47
Fatty Acyl	78.48
Fatty Acyl	17.82
Fatty Acyl	78.08
Fatty Acyl	16.73
Fatty Acyl	67.51
Fatty Acyl	16.68
Fatty Acyl	15.96
Fatty Acyl	66.09
Fatty Acyl	70.1
Fatty Acyl	69.26
Fatty Acyl	70.79
Fatty Acyl	71.32
Fatty Acyl	75.93
Fatty Acyl	74.68
Fatty Acyl	67.35
Fatty Acyl	67.46
Fatty Acyl	86.05
Fatty Acyl	82.1
Fatty Acyl	5.78
Fatty Acyl	6.13
Fatty Acyl	5.76
Fatty Acyl	3.73
Fatty Acyl	3.31
Fatty Acyl	10.67
Fatty Acyl	9.73
Fatty Acyl	20.0
Fatty Acyl	20.04
Fatty Acyl	19.19
Fatty Acyl	19.15
Fatty Acyl	21.99
Fatty Acyl	22.04
Fatty Acyl	1.28
Fatty Acyl	23.65
Fatty Acyl	88.85
Fatty Acyl	14.31
Fatty Acyl	14.18
Fatty Acyl	63.58
Fatty Acyl	63.74
Fatty Acyl	81.41
Fatty Acyl	12.95
Fatty Acyl	12.63
Fatty Acyl	83.58
Fatty Acyl	69.56
Fatty Acyl	25.05
Fatty Acyl	25.61
Fatty Acyl	25.14
Fatty Acyl	80.82
Fatty Acyl	82.64
Fatty Acyl	84.04
Fatty Acyl	84.68
Fatty Acyl	80.33
Fatty Acyl	80.94
Fatty Acyl	83.49
Fatty Acyl	83.96
Fatty Acyl	79.51
Fatty Acyl	79.53
Fatty Acyl	84.07
Fatty Acyl	83.46
Fatty Acyl	84.24
Fatty Acyl	84.04
Fatty Acyl	80.76
Fatty Acyl	79.33
Fatty Acyl	61.01
Fatty Acyl	61.09
Fatty Acyl	6.94
Fatty Acyl	7.06
Fatty Acyl	11.21
Fatty Acyl	11.13
Fatty Acyl	75.94
Fatty Acyl	82.21
Fatty Acyl	61.24
Fatty Acyl	12.38
Fatty Acyl	12.4
Fatty Acyl	1.07
Fatty Acyl	0.71
Fatty Acyl	12.26
Fatty Acyl	12.13
Fatty Acyl	84.26
Fatty Acyl	82.53
Fatty Acyl	4.86
Fatty Acyl	4.94
Fatty Acyl	83.26
Fatty Acyl	79.74
Fatty Acyl	82.57
Fatty Acyl	77.05
Fatty Acyl	86.46
Fatty Acyl	15.72
Fatty Acyl	2.65
Fatty Acyl	3.17
Fatty Acyl	67.51
Fatty Acyl	5.4
Fatty Acyl	7.63
Fatty Acyl	84.53
Fatty Acyl	2.15
Fatty Acyl	2.08
Fatty Acyl	2.34
Fatty Acyl	17.8
Fatty Acyl	17.78
Fatty Acyl	17.7
Fatty Acyl	27.85
Fatty Acyl	67.13
Fatty Acyl	64.65
Fatty Acyl	86.14
Fatty Acyl	80.95
Fatty Acyl	80.66
Fatty Acyl	85.03
Fatty Acyl	81.83
Fatty Acyl	68.18
Fatty Acyl	83.19
Fatty Acyl	86.32
Fatty Acyl	61.19
Fatty Acyl	61.92
Fatty Acyl	62.08
Fatty Acyl	28.37
Fatty Acyl	74.36
Fatty Acyl	83.98
Fatty Acyl	87.12
Fatty Acyl	87.06
Fatty Acyl	89.43
Fatty Acyl	89.24
Fatty Acyl	81.63
Fatty Acyl	83.03
Fatty Acyl	63.32
Fatty Acyl	78.09
Fatty Acyl	81.83
Fatty Acyl	11.69
Fatty Acyl	11.47
Fatty Acyl	8.39
Fatty Acyl	8.04
Fatty Acyl	6.19
Fatty Acyl	6.26
Fatty Acyl	11.42
Fatty Acyl	11.54
Fatty Acyl	9.99
Fatty Acyl	10.21
Fatty Acyl	83.49
Fatty Acyl	80.83
Fatty Acyl	74.61
Fatty Acyl	66.39
Fatty Acyl	24.03
Fatty Acyl	65.58
Fatty Acyl	79.2
Fatty Acyl	81.42
Fatty Acyl	66.16
Fatty Acyl	9.44
Fatty Acyl	10.55
Fatty Acyl	68.11
Fatty Acyl	67.94
Fatty Acyl	81.63
Fatty Acyl	71.42
Fatty Acyl	71.29
Fatty Acyl	89.25
Fatty Acyl	86.48
Fatty Acyl	83.15
Fatty Acyl	83.14
Fatty Acyl	83.4
Fatty Acyl	67.22
Fatty Acyl	4.58
Fatty Acyl	6.74
Fatty Acyl	0.29
Fatty Acyl	5.56
Fatty Acyl	5.44
Fatty Acyl	71.36
Fatty Acyl	71.31
Fatty Acyl	73.91
Fatty Acyl	73.56
Fatty Acyl	77.1
Fatty Acyl	77.0
Fatty Acyl	9.28
Fatty Acyl	9.15
Fatty Acyl	19.52
Fatty Acyl	19.53
Fatty Acyl	12.8
Fatty Acyl	12.81
Fatty Acyl	12.76
Fatty Acyl	12.82
Fatty Acyl	67.95
Fatty Acyl	89.49
Fatty Acyl	78.83
Fatty Acyl	10.01
Fatty Acyl	21.64
Fatty Acyl	21.97
Fatty Acyl	27.85
Fatty Acyl	28.0
Fatty Acyl	7.76
Fatty Acyl	7.61
Fatty Acyl	25.07
Fatty Acyl	25.28
Fatty Acyl	23.61
Fatty Acyl	23.9
Fatty Acyl	8.43
Fatty Acyl	8.43
Fatty Acyl	5.03
Fatty Acyl	5.02
Fatty Acyl	3.6
Fatty Acyl	3.73
Fatty Acyl	22.27
Fatty Acyl	22.46
Fatty Acyl	78.48
Fatty Acyl	78.62
Fatty Acyl	76.85
Fatty Acyl	87.68
Fatty Acyl	81.48
Fatty Acyl	65.49
Fatty Acyl	63.01
Fatty Acyl	25.97
Fatty Acyl	25.64
Fatty Acyl	89.65
Fatty Acyl	81.84
Fatty Acyl	7.57
Fatty Acyl	85.93
Fatty Acyl	21.78
Fatty Acyl	84.65
Fatty Acyl	3.36
Fatty Acyl	2.79
Fatty Acyl	4.49
Fatty Acyl	3.98
Fatty Acyl	2.3
Fatty Acyl	2.28
Fatty Acyl	14.01
Fatty Acyl	29.05
Fatty Acyl	82.55
Fatty Acyl	2.48
Fatty Acyl	2.44
Fatty Acyl	2.5
Fatty Acyl	67.35
Fatty Acyl	62.41
Fatty Acyl	2.82
Fatty Acyl	2.32
Fatty Acyl	3.14
Fatty Acyl	1.91
Fatty Acyl	1.39
Fatty Acyl	1.98
Fatty Acyl	78.18
Fatty Acyl	7.54
Fatty Acyl	10.36
Fatty Acyl	10.43
Fatty Acyl	14.31
Fatty Acyl	66.7
Fatty Acyl	3.16
Fatty Acyl	8.3
Fatty Acyl	10.75
Fatty Acyl	10.75
Fatty Acyl	9.55
Fatty Acyl	9.38
Fatty Acyl	60.06
Fatty Acyl	7.54
Fatty Acyl	12.81
Fatty Acyl	12.78
Fatty Acyl	16.46
Fatty Acyl	16.49
Fatty Acyl	4.57
Fatty Acyl	4.8
Fatty Acyl	6.4
Fatty Acyl	5.84
Fatty Acyl	6.83
Fatty Acyl	7.32
Fatty Acyl	4.02
Fatty Acyl	64.46
Fatty Acyl	9.24
Fatty Acyl	14.37
Fatty Acyl	69.84
Fatty Acyl	69.38
Fatty Acyl	24.52
Fatty Acyl	24.33
Fatty Acyl	68.2
Fatty Acyl	67.67
Fatty Acyl	70.28
Fatty Acyl	70.23
Fatty Acyl	65.09
Fatty Acyl	65.95
Fatty Acyl	87.48
Fatty Acyl	83.73
Fatty Acyl	85.67
Fatty Acyl	79.21
Fatty Acyl	88.85
Fatty Acyl	4.73
Fatty Acyl	4.76
Fatty Acyl	8.91
Fatty Acyl	9.69
Fatty Acyl	12.72
Fatty Acyl	12.92
Fatty Acyl	12.11
Fatty Acyl	11.61
Fatty Acyl	29.62
Fatty Acyl	28.66
Fatty Acyl	11.85
Fatty Acyl	11.69
Fatty Acyl	11.49
Fatty Acyl	78.59
Fatty Acyl	17.32
Fatty Acyl	84.55
Fatty Acyl	69.52
Fatty Acyl	81.74
Fatty Acyl	79.58
Fatty Acyl	76.7
Fatty Acyl	78.09
Fatty Acyl	76.2
Fatty Acyl	77.23
Fatty Acyl	77.28
Fatty Acyl	72.82
Fatty Acyl	65.85
Fatty Acyl	77.33
Fatty Acyl	74.98
Fatty Acyl	75.04
Fatty Acyl	16.47
Fatty Acyl	16.49
Fatty Acyl	2.25
Fatty Acyl	3.17
Fatty Acyl	61.88
Fatty Acyl	60.65
Fatty Acyl	72.6
Fatty Acyl	75.21
Fatty Acyl	75.34
Fatty Acyl	7.56
Fatty Acyl	7.64
Fatty Acyl	12.21
Fatty Acyl	8.26
Fatty Acyl	8.32
Fatty Acyl	16.8
Fatty Acyl	16.69
Fatty Acyl	4.41
Fatty Acyl	89.68
Fatty Acyl	6.99
Fatty Acyl	7.04
Fatty Acyl	3.19
Fatty Acyl	3.15
Fatty Acyl	3.74
Fatty Acyl	3.61
Fatty Acyl	64.32
Fatty Acyl	64.27
Fatty Acyl	64.3
Fatty Acyl	64.25
Fatty Acyl	74.94
Fatty Acyl	72.95
Fatty Acyl	27.22
Fatty Acyl	23.73
Fatty Acyl	8.27
Fatty Acyl	8.31
Fatty Acyl	12.4
Fatty Acyl	12.88
Fatty Acyl	12.26
Fatty Acyl	12.73
Fatty Acyl	8.9
Fatty Acyl	8.12
Fatty Acyl	8.77
Fatty Acyl	2.0
Fatty Acyl	10.36
Fatty Acyl	10.49
Fatty Acyl	8.39
Fatty Acyl	8.32
Fatty Acyl	2.14
Fatty Acyl	2.08
Fatty Acyl	14.68
Fatty Acyl	14.61
Fatty Acyl	14.59
Fatty Acyl	4.75
Fatty Acyl	4.7
Fatty Acyl	4.74
Fatty Acyl	10.71
Fatty Acyl	10.37
Fatty Acyl	78.21
Fatty Acyl	5.54
Fatty Acyl	5.51
Fatty Acyl	5.5
Fatty Acyl	5.54
Fatty Acyl	5.5
Fatty Acyl	5.51
Fatty Acyl	5.55
Fatty Acyl	5.53
Fatty Acyl	5.52
Fatty Acyl	5.51
Fatty Acyl	5.52
Fatty Acyl	5.53
Fatty Acyl	6.16
Fatty Acyl	6.55
Fatty Acyl	7.01
Fatty Acyl	6.71
Fatty Acyl	4.75
Fatty Acyl	4.27
Fatty Acyl	6.2
Fatty Acyl	6.68
Fatty Acyl	16.35
Fatty Acyl	20.3
Fatty Acyl	18.97
Fatty Acyl	87.29
Fatty Acyl	65.69
Fatty Acyl	67.33
Glycerophopspholipid	28.32
