class	centdist
Prenol	4.11
Prenol	4.02
Prenol	3.95
Prenol	4.78
Prenol	4.73
Prenol	4.66
Prenol	4.32
Prenol	3.92
Prenol	3.87
Prenol	4.05
Prenol	4.01
Prenol	4.07
Prenol	3.99
Prenol	4.39
Prenol	3.55
Prenol	3.48
Prenol	3.5
Prenol	3.38
Prenol	3.55
Prenol	3.48
Prenol	4.31
Prenol	4.5
Prenol	3.58
Prenol	3.38
Prenol	3.36
Prenol	3.73
Prenol	3.73
Prenol	3.51
Prenol	3.36
Prenol	3.48
Prenol	3.43
Prenol	3.44
Prenol	3.46
Prenol	4.38
Prenol	5.38
Prenol	3.49
Prenol	3.4
Prenol	3.5
Prenol	3.56
Prenol	3.48
Prenol	3.58
Prenol	3.44
Prenol	3.52
Prenol	3.8
Prenol	3.78
Prenol	3.52
Prenol	3.51
Prenol	4.6
Prenol	4.74
Prenol	3.81
Prenol	3.77
Prenol	5.14
Prenol	3.75
Prenol	4.88
Prenol	3.8
Prenol	3.37
Prenol	3.4
Prenol	4.91
Prenol	4.62
Prenol	3.82
Prenol	4.26
Prenol	3.91
Prenol	3.43
Prenol	3.4
Prenol	3.72
Prenol	3.69
Prenol	4.25
Prenol	3.62
Prenol	3.43
Prenol	4.11
Prenol	5.23
Prenol	5.31
Prenol	5.13
Prenol	3.67
Prenol	4.03
Prenol	3.96
Prenol	3.97
Prenol	3.68
Prenol	3.64
Prenol	3.49
Prenol	4.02
Prenol	3.63
Prenol	3.77
Prenol	3.47
Prenol	3.48
Prenol	3.55
Prenol	3.67
Prenol	3.57
Prenol	3.64
Prenol	3.57
Prenol	3.64
Prenol	5.03
Prenol	4.94
Prenol	4.97
Prenol	4.9
Prenol	4.66
Prenol	4.67
Prenol	4.43
Prenol	3.81
Prenol	3.95
Prenol	3.89
Prenol	3.38
Prenol	3.33
Prenol	3.65
Prenol	3.41
Prenol	3.5
Prenol	3.49
Prenol	3.5
Prenol	3.55
Prenol	3.51
Prenol	3.53
Prenol	3.57
Prenol	3.64
saccharo lipid	3.82
saccharo lipid	4.05
saccharo lipid	3.71
saccharo lipid	3.91
saccharo lipid	3.75
saccharo lipid	3.9
saccharo lipid	4.12
saccharo lipid	3.62
saccharo lipid	3.56
saccharo lipid	4.06
saccharo lipid	4.04
saccharo lipid	3.93
saccharo lipid	4.11
saccharo lipid	3.84
saccharo lipid	4.44
saccharo lipid	4.37
saccharo lipid	4.46
saccharo lipid	3.47
saccharo lipid	3.63
saccharo lipid	3.64
saccharo lipid	3.51
saccharo lipid	3.8
saccharo lipid	3.86
saccharo lipid	3.98
saccharo lipid	3.95
saccharo lipid	3.42
saccharo lipid	3.82
saccharo lipid	4.16
saccharo lipid	4.11
saccharo lipid	3.82
saccharo lipid	3.72
saccharo lipid	3.81
saccharo lipid	3.71
saccharo lipid	3.87
saccharo lipid	3.86
saccharo lipid	3.78
saccharo lipid	3.84
saccharo lipid	5.38
saccharo lipid	3.94
saccharo lipid	3.95
saccharo lipid	5.13
saccharo lipid	3.6
saccharo lipid	4.9
saccharo lipid	3.59
saccharo lipid	3.67
saccharo lipid	3.56
saccharo lipid	4.74
saccharo lipid	4.71
saccharo lipid	5.23
saccharo lipid	4.08
saccharo lipid	3.52
saccharo lipid	3.53
saccharo lipid	3.57
saccharo lipid	3.64
saccharo lipid	3.7
saccharo lipid	3.52
saccharo lipid	3.51
saccharo lipid	3.48
saccharo lipid	3.55
saccharo lipid	3.49
saccharo lipid	3.64
saccharo lipid	3.41
saccharo lipid	4.08
Spingo lipid	5.32
Fatty Acyl	4.62
Fatty Acyl	3.61
Fatty Acyl	4.0
Fatty Acyl	4.2
Fatty Acyl	3.8
Fatty Acyl	3.71
Fatty Acyl	4.06
Fatty Acyl	4.16
Fatty Acyl	3.56
Fatty Acyl	5.05
Fatty Acyl	4.92
Fatty Acyl	5.09
Fatty Acyl	5.17
Fatty Acyl	4.95
Fatty Acyl	5.45
Fatty Acyl	5.14
Fatty Acyl	4.9
Fatty Acyl	4.73
Fatty Acyl	5.25
Fatty Acyl	5.12
Fatty Acyl	5.37
Fatty Acyl	5.18
Fatty Acyl	5.28
Fatty Acyl	5.5
Fatty Acyl	3.8
Fatty Acyl	3.5
Fatty Acyl	3.76
Fatty Acyl	5.15
Fatty Acyl	4.76
Fatty Acyl	4.5
Fatty Acyl	4.66
Fatty Acyl	4.7
Fatty Acyl	4.96
Fatty Acyl	4.99
Fatty Acyl	5.14
Fatty Acyl	4.97
Fatty Acyl	5.1
Fatty Acyl	5.16
Fatty Acyl	4.79
Fatty Acyl	4.16
Fatty Acyl	5.15
Fatty Acyl	3.97
Fatty Acyl	5.1
Fatty Acyl	3.94
Fatty Acyl	3.97
Fatty Acyl	4.81
Fatty Acyl	4.95
Fatty Acyl	4.96
Fatty Acyl	5.11
Fatty Acyl	4.99
Fatty Acyl	5.09
Fatty Acyl	4.99
Fatty Acyl	4.88
Fatty Acyl	5.26
Fatty Acyl	4.9
Fatty Acyl	4.95
Fatty Acyl	3.85
Fatty Acyl	3.68
Fatty Acyl	3.77
Fatty Acyl	3.43
Fatty Acyl	3.53
Fatty Acyl	3.7
Fatty Acyl	3.88
Fatty Acyl	3.97
Fatty Acyl	4.08
Fatty Acyl	3.99
Fatty Acyl	4.35
Fatty Acyl	4.01
Fatty Acyl	4.3
Fatty Acyl	4.19
Fatty Acyl	4.57
Fatty Acyl	5.39
Fatty Acyl	3.74
Fatty Acyl	3.89
Fatty Acyl	5.25
Fatty Acyl	4.99
Fatty Acyl	5.29
Fatty Acyl	4.28
Fatty Acyl	4.23
Fatty Acyl	5.42
Fatty Acyl	4.81
Fatty Acyl	4.36
Fatty Acyl	4.17
Fatty Acyl	4.16
Fatty Acyl	5.31
Fatty Acyl	5.35
Fatty Acyl	5.16
Fatty Acyl	5.19
Fatty Acyl	5.2
Fatty Acyl	5.19
Fatty Acyl	5.18
Fatty Acyl	5.18
Fatty Acyl	5.23
Fatty Acyl	5.13
Fatty Acyl	5.13
Fatty Acyl	5.0
Fatty Acyl	5.2
Fatty Acyl	4.99
Fatty Acyl	5.04
Fatty Acyl	4.99
Fatty Acyl	4.95
Fatty Acyl	4.98
Fatty Acyl	3.54
Fatty Acyl	3.84
Fatty Acyl	3.54
Fatty Acyl	4.08
Fatty Acyl	5.09
Fatty Acyl	5.02
Fatty Acyl	5.0
Fatty Acyl	3.62
Fatty Acyl	3.7
Fatty Acyl	3.77
Fatty Acyl	3.55
Fatty Acyl	3.92
Fatty Acyl	3.57
Fatty Acyl	4.79
Fatty Acyl	4.88
Fatty Acyl	3.65
Fatty Acyl	3.74
Fatty Acyl	5.27
Fatty Acyl	5.32
Fatty Acyl	5.3
Fatty Acyl	5.21
Fatty Acyl	5.46
Fatty Acyl	3.79
Fatty Acyl	3.66
Fatty Acyl	3.6
Fatty Acyl	4.77
Fatty Acyl	3.46
Fatty Acyl	3.45
Fatty Acyl	5.11
Fatty Acyl	3.89
Fatty Acyl	3.67
Fatty Acyl	3.94
Fatty Acyl	3.8
Fatty Acyl	4.0
Fatty Acyl	3.94
Fatty Acyl	4.01
Fatty Acyl	5.02
Fatty Acyl	5.06
Fatty Acyl	4.93
Fatty Acyl	5.16
Fatty Acyl	4.87
Fatty Acyl	5.0
Fatty Acyl	5.2
Fatty Acyl	4.65
Fatty Acyl	5.13
Fatty Acyl	5.1
Fatty Acyl	4.64
Fatty Acyl	5.34
Fatty Acyl	5.36
Fatty Acyl	3.45
Fatty Acyl	4.91
Fatty Acyl	4.96
Fatty Acyl	4.95
Fatty Acyl	4.93
Fatty Acyl	4.96
Fatty Acyl	4.82
Fatty Acyl	4.91
Fatty Acyl	4.9
Fatty Acyl	5.45
Fatty Acyl	4.84
Fatty Acyl	4.91
Fatty Acyl	3.62
Fatty Acyl	3.6
Fatty Acyl	3.61
Fatty Acyl	3.44
Fatty Acyl	3.66
Fatty Acyl	3.74
Fatty Acyl	3.7
Fatty Acyl	3.85
Fatty Acyl	3.81
Fatty Acyl	3.67
Fatty Acyl	4.15
Fatty Acyl	5.46
Fatty Acyl	5.15
Fatty Acyl	5.12
Fatty Acyl	4.59
Fatty Acyl	5.11
Fatty Acyl	5.13
Fatty Acyl	5.36
Fatty Acyl	4.82
Fatty Acyl	3.72
Fatty Acyl	3.69
Fatty Acyl	4.87
Fatty Acyl	5.03
Fatty Acyl	4.89
Fatty Acyl	4.87
Fatty Acyl	4.96
Fatty Acyl	5.31
Fatty Acyl	4.89
Fatty Acyl	5.26
Fatty Acyl	4.98
Fatty Acyl	4.95
Fatty Acyl	4.76
Fatty Acyl	3.59
Fatty Acyl	3.78
Fatty Acyl	3.7
Fatty Acyl	3.79
Fatty Acyl	3.71
Fatty Acyl	4.92
Fatty Acyl	4.81
Fatty Acyl	5.0
Fatty Acyl	4.92
Fatty Acyl	4.92
Fatty Acyl	4.92
Fatty Acyl	3.49
Fatty Acyl	4.02
Fatty Acyl	3.75
Fatty Acyl	3.82
Fatty Acyl	3.59
Fatty Acyl	3.78
Fatty Acyl	3.67
Fatty Acyl	3.68
Fatty Acyl	5.3
Fatty Acyl	5.22
Fatty Acyl	5.14
Fatty Acyl	3.84
Fatty Acyl	3.83
Fatty Acyl	3.96
Fatty Acyl	3.89
Fatty Acyl	3.9
Fatty Acyl	3.96
Fatty Acyl	3.49
Fatty Acyl	3.92
Fatty Acyl	3.99
Fatty Acyl	3.82
Fatty Acyl	3.93
Fatty Acyl	3.95
Fatty Acyl	3.57
Fatty Acyl	3.76
Fatty Acyl	3.73
Fatty Acyl	3.65
Fatty Acyl	3.57
Fatty Acyl	4.27
Fatty Acyl	4.38
Fatty Acyl	4.5
Fatty Acyl	5.44
Fatty Acyl	5.18
Fatty Acyl	5.03
Fatty Acyl	5.18
Fatty Acyl	4.63
Fatty Acyl	4.2
Fatty Acyl	4.52
Fatty Acyl	4.38
Fatty Acyl	5.29
Fatty Acyl	4.97
Fatty Acyl	4.22
Fatty Acyl	5.43
Fatty Acyl	4.25
Fatty Acyl	4.61
Fatty Acyl	3.58
Fatty Acyl	3.86
Fatty Acyl	3.68
Fatty Acyl	3.86
Fatty Acyl	3.9
Fatty Acyl	3.71
Fatty Acyl	4.09
Fatty Acyl	4.15
Fatty Acyl	5.04
Fatty Acyl	3.68
Fatty Acyl	3.47
Fatty Acyl	3.45
Fatty Acyl	5.41
Fatty Acyl	5.14
Fatty Acyl	3.57
Fatty Acyl	3.47
Fatty Acyl	3.56
Fatty Acyl	3.57
Fatty Acyl	3.5
Fatty Acyl	3.61
Fatty Acyl	4.92
Fatty Acyl	3.85
Fatty Acyl	3.43
Fatty Acyl	3.75
Fatty Acyl	4.43
Fatty Acyl	5.48
Fatty Acyl	3.9
Fatty Acyl	3.87
Fatty Acyl	3.56
Fatty Acyl	3.57
Fatty Acyl	3.57
Fatty Acyl	3.57
Fatty Acyl	4.72
Fatty Acyl	4.13
Fatty Acyl	3.88
Fatty Acyl	3.96
Fatty Acyl	3.83
Fatty Acyl	4.12
Fatty Acyl	3.53
Fatty Acyl	3.54
Fatty Acyl	3.51
Fatty Acyl	3.57
Fatty Acyl	3.44
Fatty Acyl	3.5
Fatty Acyl	3.45
Fatty Acyl	4.49
Fatty Acyl	3.56
Fatty Acyl	3.71
Fatty Acyl	5.26
Fatty Acyl	5.14
Fatty Acyl	3.65
Fatty Acyl	3.45
Fatty Acyl	5.25
Fatty Acyl	5.15
Fatty Acyl	5.41
Fatty Acyl	5.48
Fatty Acyl	4.71
Fatty Acyl	4.8
Fatty Acyl	5.16
Fatty Acyl	5.15
Fatty Acyl	5.34
Fatty Acyl	4.84
Fatty Acyl	4.41
Fatty Acyl	4.13
Fatty Acyl	4.0
Fatty Acyl	3.75
Fatty Acyl	3.77
Fatty Acyl	3.67
Fatty Acyl	3.61
Fatty Acyl	3.66
Fatty Acyl	3.73
Fatty Acyl	4.3
Fatty Acyl	3.87
Fatty Acyl	3.61
Fatty Acyl	4.13
Fatty Acyl	4.26
Fatty Acyl	5.41
Fatty Acyl	4.2
Fatty Acyl	5.25
Fatty Acyl	5.0
Fatty Acyl	5.25
Fatty Acyl	5.38
Fatty Acyl	4.95
Fatty Acyl	5.06
Fatty Acyl	5.21
Fatty Acyl	4.87
Fatty Acyl	5.2
Fatty Acyl	4.73
Fatty Acyl	4.94
Fatty Acyl	4.63
Fatty Acyl	4.57
Fatty Acyl	4.92
Fatty Acyl	4.2
Fatty Acyl	4.45
Fatty Acyl	3.92
Fatty Acyl	3.55
Fatty Acyl	5.11
Fatty Acyl	5.1
Fatty Acyl	5.3
Fatty Acyl	5.22
Fatty Acyl	5.45
Fatty Acyl	3.72
Fatty Acyl	3.98
Fatty Acyl	3.99
Fatty Acyl	3.79
Fatty Acyl	3.94
Fatty Acyl	4.2
Fatty Acyl	4.14
Fatty Acyl	3.8
Fatty Acyl	5.11
Fatty Acyl	3.71
Fatty Acyl	3.65
Fatty Acyl	3.58
Fatty Acyl	3.59
Fatty Acyl	3.63
Fatty Acyl	3.62
Fatty Acyl	5.04
Fatty Acyl	5.04
Fatty Acyl	5.04
Fatty Acyl	5.04
Fatty Acyl	5.12
Fatty Acyl	5.1
Fatty Acyl	3.85
Fatty Acyl	4.06
Fatty Acyl	4.32
Fatty Acyl	4.86
Fatty Acyl	4.35
Fatty Acyl	3.98
Fatty Acyl	3.45
Fatty Acyl	4.15
Fatty Acyl	3.82
Fatty Acyl	3.46
Fatty Acyl	3.97
Fatty Acyl	3.52
Fatty Acyl	3.85
Fatty Acyl	3.6
Fatty Acyl	3.88
Fatty Acyl	3.58
Fatty Acyl	3.63
Fatty Acyl	3.55
Fatty Acyl	4.25
Fatty Acyl	4.18
Fatty Acyl	4.3
Fatty Acyl	4.02
Fatty Acyl	3.94
Fatty Acyl	3.95
Fatty Acyl	4.14
Fatty Acyl	4.11
Fatty Acyl	5.43
Fatty Acyl	3.81
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	3.81
Fatty Acyl	4.29
Fatty Acyl	3.81
Fatty Acyl	3.81
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	3.81
Fatty Acyl	4.29
Fatty Acyl	3.81
Fatty Acyl	3.56
Fatty Acyl	3.48
Fatty Acyl	3.49
Fatty Acyl	3.49
Fatty Acyl	3.52
Fatty Acyl	3.55
Fatty Acyl	3.54
Fatty Acyl	3.4
Fatty Acyl	3.86
Fatty Acyl	5.02
Fatty Acyl	4.27
Fatty Acyl	5.05
Fatty Acyl	5.05
Fatty Acyl	5.06
Glycerophopspholipid	4.18
