LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33
LC00	0.03126428877309685	0.010634335765571186	0.017518246066941863	0.008881989440844732	0.011883780394342647	0.004898369147417359	0.017824048133292192	0.024701259542800936	0.019654556799092435	0.019990024921083236	0.0065492648172561785	0.008265091716606334	0.0326418661551852	0.007351957106589368	0.005812606570421735	0.005781340635606294	0.028528040372154843	0.003860084233261339	0.020968592145281437	0.0011066290081408873	0.007800370012504263	0.013995129297764287	0.02988658327333813	0.008445698344132469	0.01578328540573897	0.010265652202369264	0.011990336515014282	0.007756630669546436	0.011002135349172068	0.060074576519592714	0.050154473927800064	0.009473736501079914	0.01748101625554166	0.004551355891528677
LC01	0.007557790438386551	0.30503592403214025	0.0033397984967215738	0.05918956193693693	0.10495989058413252	0.0003329317453046267	0.005515649935649936	0.0022696976184104897	0.0011272781872781873	0.05339737699237699	0.21561816777816778	0.0020604248191853827	0.002266663977410246	0.1579522987197724	0.0035336652441915603	0.0	0.006246683991683992	0.15367778378378377	0.0014158521787093216	0.00012885654885654886	0.0006726742532005689	0.0006203944485025566	0.014017492492492492	0.002474174174174174	0.003705235521235521	0.0021346109746109747	0.00440868352223191	0.0	0.0032403603603603608	0.0062120656370656365	0.013605714285714285	0.013431981981981983	0.00622145092460882	0.15645003003003002
LC02	0.015139238565056806	0.0049216216216216215	0.8836453380483876	0.007067755588428665	0.0035724193548387095	0.03704051750075218	0.02013227387996619	0.0027666061280684287	0.00013194668579283964	0.007335395994538006	0.00217749942365327	0.04289306608884074	0.04894376931908505	0.003933810858507215	0.002604827156649019	0.0031081783601014366	8.720983158852982e-05	0.006566035502958579	0.0	0.0	0.014089746184989099	0.0049806812729889655	0.0026391847468770543	0.08777112097304406	0.0009784615384615385	0.05926759906759906	0.033728020614621115	0.007216873449131514	0.005539447731755424	0.0006329881656804735	0.0	0.06941538461538461	0.0018775147928994085	0.0
LC03	0.009369491690664748	0.07138084159159158	0.00989780161078238	0.1547126909722222	0.09176805443548387	0.0022919785781544254	0.009377387566137567	5.630500550055005e-05	0.005117080527497194	0.011525240384615386	0.14977205988455988	0.0025217527386541473	0.001824347014925373	0.09398170565302144	0.0007676169590643275	0.0	0.010128365384615385	0.11164277777777779	0.0037650510204081627	0.0	0.0034459429824561403	0.00413809496996997	0.03185819830246914	0.005682388117283951	0.014533642857142858	0.019609175084175083	0.0008358198924731182	0.0005056451612903226	0.004180877314814815	0.025032986111111113	0.01863328373015873	0.02544403935185185	0.02512470760233918	0.15138912037037036
LC04	0.013594547307183168	0.13025238273757628	0.0023490074441687345	0.10399932235663081	0.4382805424037461	0.0018755330781848004	0.013586562211981568	0.001367183008623443	0.009035394265232975	0.02806004135649297	0.40159160033514874	0.003304668332576102	0.018709138180067402	0.2050535936615733	0.002419057724957555	0.0	0.032461755583126556	0.1800891935483871	0.07921188281764319	0.0007228287841191068	0.0007070033955857386	0.06097273757628597	0.01871999775985663	0.013053360215053763	0.008729769585253457	0.08305312805474097	0.0020579604578563997	0.0020093912591050986	0.018849344086021503	0.02998631912442396	0.055405702764976965	0.0939622311827957	0.09673522920203735	0.22661810035842295
LC05	0.006522445729765348	0.002536298671552909	0.053709071306789695	0.007921598399246704	0.005267905959540732	0.9020029014650962	0.0008957384987893463	0.0	0.0008121383324773157	2.2468491960017387e-05	0.00021993176315210215	0.0035831463356409644	0.12640156842904124	0.00027546833184656554	0.0	0.0	0.0004739406779661017	0.0036790169491525424	0.0	0.0	0.006535102586975914	0.0024451672010994043	0.001226789077212806	0.028633709981167606	0.002929176755447942	0.015747406266050337	0.009767413887370147	0.001455303444505194	0.0022700282485875706	0.00025063559322033904	0.0	0.0	0.0	0.0
LC06	0.01712500503959683	0.005143032175032175	0.01144174133558749	0.007954152777777777	0.008044609831029186	5.96771589991929e-05	0.6750821859410431	0.0046536633663366335	0.013198659932659933	0.011594019536019535	0.0003586147186147186	0.0018597129443326625	0.021704761904761904	0.0008749874686716792	0.0009961904761904763	0.0	0.007784175824175825	0.00013573333333333334	0.014312964042759961	0.007508791208791208	0.0050100751879699245	0.006779868725868725	0.043739304232804234	0.0012971428571428574	0.02646464761904762	0.0028801443001443003	0.003832657450076805	0.0003118279569892473	0.014708688888888889	0.016720278911564624	0.14590636054421768	0.011817579365079364	0.008206165413533834	0.000897989417989418
LC07	0.0232694694523448	0.000356933369012577	0.0012847794246880308	0.0	0.0017283375918236985	0.0	0.0018565393682225366	0.9954117047348299	0.16506518651865187	6.354404671236355e-05	0.0	0.0	0.002244391901876755	0.0	0.0	0.0	0.006038613861386139	0.0	0.0	0.0	0.0	0.0	0.010401787678767876	0.0	0.06115530410183875	0.0	0.0	0.0	0.0	0.08946815063649222	0.0	0.002476732673267327	0.0	0.0
LC08	0.0202032355956978	0.0016227300027300026	0.0001328013866475405	0.005275869809203143	0.0073714719778429465	0.00014501797637390856	0.011146767676767675	0.16712650265026502	0.9379983981226405	0.016866731416731416	0.00021012724649088288	3.6192915066154504e-05	0.0023750942258404946	0.0	0.0	0.0	0.08238090520590521	0.0	0.2031770562770563	0.0005716135716135716	0.0	0.015447583947583948	0.01069320987654321	0.00021234567901234569	0.018904761904761907	0.0013835322926232017	0.00042026718800912356	0.0	0.0	0.014382503607503608	0.07295082972582972	0.0001069023569023569	0.030704253056884633	0.0
LC09	0.016807102508722378	0.0782119404019404	0.0021263086026399635	0.01016025641025641	0.02675309346567411	0.0	0.009651680097680098	2.9690276719979693e-05	0.02578053613053613	0.9752715811965812	0.02568444888444888	0.000658414590104731	0.00015296593953310374	0.029725371120107962	0.037388618983355826	0.0	0.014087204142011834	0.09122633333333334	0.0010571690214547357	0.0	0.004968049932523617	0.0	0.01218479700854701	8.475783475783476e-05	0.0025427838827838827	0.007703613053613054	0.002249255583126551	0.0	0.033960829059829056	0.14654757326007326	0.03638072344322344	0.012868643162393164	0.004245074224021593	0.00812037037037037
LC10	0.003856663207203164	0.22517730431730432	0.00029849381387842927	0.14053373917748918	0.3682078026811898	2.9782082324455203e-05	0.00013630179344465058	0.0	0.0	0.017373543123543122	0.7588051610726936	0.0004360526797146515	0.0	0.23646085668717245	0.0003493734335839599	0.0	0.0	0.27037745454545453	0.0	0.0	0.000455434039644566	0.0	0.004150974025974026	0.0006641053391053391	8.185528756957328e-05	0.02579177489177489	0.00014373690825303728	0.0	0.006938484848484848	0.0002112708719851577	0.0	0.009824458874458875	0.0	0.2784191919191919
LC11	0.006680181608006571	0.002921769318614389	0.03683988665722143	0.0028784037558685447	0.0015182417083144026	4.411554070183814e-05	0.00381140174379611	7.789708548319621e-05	0.0008306729264475743	0.007862502708559047	0.008237314797878178	0.8257297163261258	0.002406895101955014	0.002977761304670126	0.013942846553002224	0.015886896378269618	0.0029062026002166846	0.0016653521126760566	0.00012112676056338028	0.0	0.01922527798369162	0.0017362009897221166	0.01025866979655712	0.02128928012519562	0.0004614889336016097	0.052181988903115664	0.036336437982735115	0.0030626987732848706	0.004904093896713615	0.0008219818913480885	0.0	0.0011589201877934272	9.325426241660488e-05	0.0
LC12	0.03380895941459012	0.003809447357805567	0.11737186258058818	0.0054896351575456056	0.022395872652864707	0.03719296736655704	0.06032221321961621	0.006340638392197428	0.0024493894165535956	0.023503195560658247	0.0017801899592944368	0.015957977717048558	0.921624860770773	0.000829222309505106	0.0017203456402199529	0.1652300106609808	0.018822936280137773	0.010850089552238807	0.026628175449284194	0.0014697282816685802	0.009073212882953652	0.0854371924162969	0.05336423300165838	0.019560489220563845	0.021660848614072494	0.029551650836725465	0.02282806933076553	0.02360442946557535	0.010371442786069652	0.11336194029850746	0.18258587420042643	0.08576100746268657	0.005101178318931658	0.0
LC13	0.004944674320791179	0.17279990327169276	0.001278926606456971	0.09040196150097465	0.19839112903225806	0.0	0.000620718462823726	0.0	0.0	0.029102024291497976	0.24860790612895878	0.0014771929824561403	0.0	0.9004841797476146	0.00151812865497076	0.0	0.0	0.19339533333333334	0.0	0.0	0.0	0.002414528212422949	0.025897368421052634	0.0	0.001470125313283208	0.052085114300903776	0.0	0.0	0.0008916959064327485	0.0004953634085213032	0.0	0.04496703216374269	0.0	0.24029863547758284
LC14	0.0016748171725209351	0.0014623233760075864	0.0	0.00013388157894736843	0.00018713921901528013	0.0	3.5622389306599834e-05	0.0	0.0	0.005176788124156545	0.000337388926862611	0.0001987398072646405	0.0005648599109714586	0.0	0.935688027085257	0.0	0.0	0.0007945964912280701	0.0	0.0009818713450292398	0.0	0.0	0.0	0.0	0.0	0.0	0.0009210526315789473	0.0	0.0	0.0	0.0	0.017014692982456142	0.0	0.0
LC15	0.009596652267818574	0.0004997876447876447	0.013513778529163144	0.0047258308531746025	0.003083021313364055	0.0	0.0026175000000000005	0.0	0.0008864538239538239	0.00026110347985347986	0.0	0.04015505533199195	0.23321186034115135	0.005867418546365915	0.0	0.9149706632653061	0.0	0.0007234285714285714	0.0	0.0	0.3884244830827068	0.0030810810810810814	0.0008024305555555555	0.004896875	0.0019887244897959185	0.015181818181818182	0.011534101382488478	0.040125702764976956	0.000493452380952381	0.0	0.0	0.0	0.0	0.0
LC16	0.028553553331118125	0.007608669438669439	0.0	0.0065046207264957264	0.024773402605459058	0.0	0.008466849816849817	0.010023629093678599	0.09109135586635587	0.014006360946745563	0.0	0.0019238624052004332	0.009664557979334097	0.0	0.003037280701754386	0.0	0.6829692677514794	0.0	0.005850274725274726	0.0	0.0005032894736842105	0.00030992723492723494	0.08563295940170941	0.0004005876068376068	0.0070960439560439565	0.0	0.00012810173697270472	0.0	0.0	0.16014876373626372	0.00586717032967033	0.00219775641025641	0.054341902834008096	0.0
LC17	0.003915023758099352	0.1848563783783784	0.009202272189349112	0.12673505555555556	0.19192800000000002	7.215254237288136e-05	0.00039847619047619047	0.0	0.0	0.1306978717948718	0.2972510649350649	0.0019356901408450705	0.02404220895522388	0.25716863859649125	0.005486456140350877	0.0	0.0	0.9467344400000001	0.0	0.00012164102564102565	0.0005908421052631578	0.004433135135135135	0.004377277777777778	0.003869	0.0	0.004361030303030303	0.05490006451612903	0.0	0.0	0.0005310714285714286	0.0	0.0269995	0.02267936842105263	0.18184722222222224
LC18	0.015220800458412306	0.000278830667402096	0.0	0.003277168367346939	0.05999106319947334	0.0	0.010255451895043732	0.0	0.17277788084930942	0.0006710099424385139	0.0	0.0	0.017307736826073714	0.0	0.0	0.0	0.0002896389324960754	0.0	0.9532895460224906	0.0	0.0	0.3003746828461114	0.00539484126984127	0.0	0.0013373177842565596	0.0	0.0	0.0	0.0020664625850340137	0.010097157434402333	0.18108104956268223	0.0	0.1078626208378088	0.0
LC19	0.0006488287090878884	7.819819819819821e-05	0.0	0.0	0.0	0.0	0.0009975824175824175	0.0	0.0003978243978243978	0.0	0.0	0.0	0.0009242250287026407	0.0	0.0007417004048582996	0.0	0.0	0.0	0.0	0.9990967126890203	0.0	0.0	0.0	0.0	0.0	0.0	0.0017471464019851114	0.0	0.0004357264957264958	0.0	0.0004054945054945055	0.0	0.0057739541160593795	0.0
LC20	0.0196614686825054	0.003857382645803698	0.0564393397695422	0.004844316520467836	0.00164866298811545	0.02486342551293488	0.0063796716791979955	0.0	0.0002886762360446571	0.02483249662618084	0.0034724538619275457	0.05968350630096368	0.09745530243519246	0.0006054478301015697	0.0072100646352723915	0.40445042293233086	0.006966751012145748	0.0007226842105263157	0.0	0.0	0.7198844875346261	0.004035064011379801	0.002012134502923977	0.03308925438596491	0.0007736842105263157	0.03810374800637959	0.012593803056027164	0.03880594227504244	0.0024028333333333336	0.0086171992481203	0.0	0.001132017543859649	0.0	0.0
